"1528191","-105.12708498","40.55648321","2718","","","","Garden","","",""," ","2718 Garden ","Fort Collins","80526","Larimer"
"1528192","-105.1269093","40.55655604","2712","","","","Garden","","",""," ","2712 Garden ","Fort Collins","80526","Larimer"
"1528193","-105.12672039","40.55668826","2706","","","","Garden","","",""," ","2706 Garden ","Fort Collins","80526","Larimer"
"1528194","-105.1265513","40.55682397","2700","","","","Garden","","",""," ","2700 Garden ","Fort Collins","80526","Larimer"
"1528195","-105.12634855","40.55694096","2654","","","","Garden","","",""," ","2654 Garden ","Fort Collins","80526","Larimer"
"1528196","-105.12609885","40.55700033","2648","","","","Garden","","",""," ","2648 Garden ","Fort Collins","80526","Larimer"
"1528197","-105.09991341","40.43168308","3943","","","","Boulder","","",""," ","3943 Boulder ","Loveland","80538","Larimer"
"1528198","-105.0996615","40.43168462","3931","","","","Boulder","","",""," ","3931 Boulder ","Loveland","80538","Larimer"
"1528199","-105.04545495","40.55651288","1724","","","","Sagewood","","",""," ","1724 Sagewood ","Fort Collins","80525","Larimer"
"1528200","-105.04521679","40.5564447","1730","","","","Sagewood","","",""," ","1730 Sagewood ","Fort Collins","80525","Larimer"
"1528201","-105.0312985","40.5787856","610","","","","Eric","","",""," ","610 Eric ","Fort Collins","80524","Larimer"
"1528202","-105.03129653","40.57892283","608","","","","Eric","","",""," ","608 Eric ","Fort Collins","80524","Larimer"
"1528203","-105.03129455","40.57906007","606","","","","Eric","","",""," ","606 Eric ","Fort Collins","80524","Larimer"
"1528204","-105.03129257","40.57919731","604","","","","Eric","","",""," ","604 Eric ","Fort Collins","80524","Larimer"
"1528205","-105.03129059","40.57933455","602","","","","Eric","","",""," ","602 Eric ","Fort Collins","80524","Larimer"
"1528206","-105.03128847","40.57948145","600","","","","Eric","","",""," ","600 Eric ","Fort Collins","80524","Larimer"
"1528207","-105.03173348","40.57945132","601","","","","Eric","","",""," ","601 Eric ","Fort Collins","80524","Larimer"
"1528208","-105.03173601","40.57928628","603","","","","Eric","","",""," ","603 Eric ","Fort Collins","80524","Larimer"
"1528209","-105.03173827","40.57913538","605","","","","Eric","","",""," ","605 Eric ","Fort Collins","80524","Larimer"
"1528210","-105.03174039","40.57899822","607","","","","Eric","","",""," ","607 Eric ","Fort Collins","80524","Larimer"
"1528211","-105.03174248","40.57886089","609","","","","Eric","","",""," ","609 Eric ","Fort Collins","80524","Larimer"
"1528212","-105.03174458","40.57872368","611","","","","Eric","","",""," ","611 Eric ","Fort Collins","80524","Larimer"
"1528213","-105.03174667","40.57858641","613","","","","Eric","","",""," ","613 Eric ","Fort Collins","80524","Larimer"
"1528214","-105.08537279","40.52702125","519","","","","Goldeneye","","",""," ","519 Goldeneye ","Fort Collins","80526","Larimer"
"1528215","-105.08513243","40.52697241","513","","","","Goldeneye","","",""," ","513 Goldeneye ","Fort Collins","80526","Larimer"
"1528216","-105.0848439","40.5269648","507","","","","Goldeneye","","",""," ","507 Goldeneye ","Fort Collins","80526","Larimer"
"1528217","-105.08460382","40.52700317","501","","","","Goldeneye","","",""," ","501 Goldeneye ","Fort Collins","80526","Larimer"
"1528218","-105.08437566","40.52704976","419","","","","Goldeneye","","",""," ","419 Goldeneye ","Fort Collins","80526","Larimer"
"1528219","-105.0841438","40.52709468","413","","","","Goldeneye","","",""," ","413 Goldeneye ","Fort Collins","80526","Larimer"
"1528220","-105.08391193","40.52713959","407","","","","Goldeneye","","",""," ","407 Goldeneye ","Fort Collins","80526","Larimer"
"1528221","-105.08366899","40.52717839","4325","","","","Warbler","","",""," ","4325 Warbler ","Fort Collins","80526","Larimer"
"1528222","-105.08585225","40.52910454","4206","","","","Goldeneye","","",""," ","4206 Goldeneye ","Fort Collins","80526","Larimer"
"1528223","-105.08585101","40.52930903","4200","","","","Goldeneye","","",""," ","4200 Goldeneye ","Fort Collins","80526","Larimer"
"1528224","-105.08123973","40.58225652","415","","","","Howes","","","Unit","N301","415 Howes Unit N301","Fort Collins","80521","Larimer"
