"238133","-104.8423041","39.59797825","6578"," ","South"," ","Racine","Circle"," ",""," ","6578 South Racine Circle ","Centennial Co","80111","Arapahoe"
"238134","-104.84171535","39.59823819","6598"," ","South"," ","Racine","Circle"," ",""," ","6598 South Racine Circle ","Centennial Co","80111","Arapahoe"
"238135","-104.84298343","39.59787873","6568"," ","South"," ","Racine","Circle"," ",""," ","6568 South Racine Circle ","Centennial Co","80111","Arapahoe"
"238136","-104.79678454","39.5871963","7100"," ","South"," ","Parker","Road"," ",""," ","7100 South Parker Road ","Foxfield Co"," ","Arapahoe"
"238137","-104.79598688","39.58998496","6986"," ","South"," ","Norfolk","Street"," ",""," ","6986 South Norfolk Street ","Foxfield Co","80016","Arapahoe"
"238138","-104.79487147","39.58899741","16618"," ","East"," ","Davies","Avenue"," ",""," ","16618 East Davies Avenue ","Foxfield Co","80016","Arapahoe"
"238139","-104.79599092","39.58818229","7056"," ","South"," ","Norfolk","Street"," ",""," ","7056 South Norfolk Street ","Foxfield Co","80016","Arapahoe"
"238140","-104.79486938","39.58998574","16617"," ","East"," ","Davies","Avenue"," ",""," ","16617 East Davies Avenue ","Foxfield Co","80016","Arapahoe"
"238141","-104.78100518","39.57436931","17852"," ","East"," ","Long","Avenue"," ",""," ","17852 East Long Avenue ","Centennial Co","80016","Arapahoe"
"238142","-104.78040289","39.57453898","17914"," ","East"," ","Long","Avenue"," ",""," ","17914 East Long Avenue ","Centennial Co","80016","Arapahoe"
"238143","-104.78182527","39.5740025","17700"," ","East"," ","Long","Avenue"," ",""," ","17700 East Long Avenue ","Centennial Co","80016","Arapahoe"
"238144","-104.77507896","39.58083392","18350"," ","East"," ","Hinsdale","Avenue"," ",""," ","18350 East Hinsdale Avenue ","Foxfield Co","80016","Arapahoe"
"238145","-104.77740637","39.58084463","18150"," ","East"," ","Hinsdale","Avenue"," ",""," ","18150 East Hinsdale Avenue ","Foxfield Co","80016","Arapahoe"
"238146","-104.77623791","39.58083543","18250"," ","East"," ","Hinsdale","Avenue"," ",""," ","18250 East Hinsdale Avenue ","Foxfield Co","80016","Arapahoe"
"238147","-104.7785772","39.58093255","18058"," ","East"," ","Hinsdale","Avenue"," ",""," ","18058 East Hinsdale Avenue ","Foxfield Co","80016","Arapahoe"
"238148","-104.77922881","39.57826576","7633"," ","South"," ","Waco","Street"," ",""," ","7633 South Waco Street ","Centennial Co","80016","Arapahoe"
"238149","-104.77741529","39.57877168","7594"," ","South"," ","Waco","Street"," ",""," ","7594 South Waco Street ","Centennial Co","80016","Arapahoe"
"238150","-104.77893249","39.57540231","7811"," ","South"," ","Ventura","Court"," ",""," ","7811 South Ventura Court ","Centennial Co","80016","Arapahoe"
