40000,081-002695-004010,42,-107.74106927,40.55113060,2695,,,Co Rd,County Road 15 ,,,,,2695 County Road 15 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010CFCC0CEAD6DEF5AC060269A728B464440
40001,081-001085-004011,42,-107.87674141,40.55115191,1085,,,Co Rd,County Road 175 ,,,,,1085 County Road 175 ,Maybell,81640,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010CACE502881CF85AC048BB58258C464440
40002,081-003468-004012,42,-107.39242207,40.55609878,3468,,,Co Rd,County Road 29 ,,,,,3468 County Road 29 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010CFC5D77711DD95AC05093AA3E2E474440
40003,081-002618-004013,42,-107.39982581,40.54598267,2618,,,Co Rd,County Road 29 ,,,,,2618 County Road 29 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010CDC95FFBE96D95AC0E05B9EC2E2454440
40004,081-002620-004014,42,-107.39286401,40.54562504,2620,,,Co Rd,County Road 29 ,,,,,2620 County Road 29 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010C6CAE16AF24D95AC068A2970AD7454440
40005,081-000551-004015,42,-107.57890225,40.54139807,551,,,Co Rd,County Road 31 ,,,,,551 County Road 31 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010C0CE806BC0CE55AC048F936884C454440
40006,081-000556-004016,42,-107.57710112,40.54011097,556,,,Co Rd,County Road 31 ,,,,,556 County Road 31 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010C1CED8439EFE45AC0382E345B22454440
40007,081-000425-004017,42,-107.65621954,40.53571931,425,,,Co Rd,County Road 209 ,,,,,425 County Road 209 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010CF0D23D80FFE95AC058B3437392444440
40008,081-000315-004018,42,-107.65057248,40.53621513,315,,,Co Rd,County Road 209 ,,,,,315 County Road 209 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010CA464C2FAA2E95AC0B83083B2A2444440
40009,081-000055-004019,42,-107.77503106,40.53445916,55,,,Co Rd,County Road 15 ,,,,,55 County Road 15 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010CA0DFDD1B9AF15AC078C5642869444440
40010,081-019495-004020,42,-107.88262058,40.52595733,19495,,,Co Rd,County Road 17 ,,,,,19495 County Road 17 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010CB41902DB7CF85AC0086DD99152434440
40011,081-001550-004021,42,-107.73173496,40.50813976,1550,,,Co Rd,County Road 174 ,,,,,1550 County Road 174 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010CE869DBBED4EE5AC0B07F41B90A414440
40012,081-001802-004022,42,-107.72164417,40.51037355,1802,,,Co Rd,County Road 174 ,,,,,1802 County Road 174 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010C6C14036B2FEE5AC030FFA4EB53414440
40013,081-000848-004023,42,-107.59425828,40.51162704,1,, ,,30, , , , ,1 30 ,Craig,81625,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Moffat,0xAD100000010C48A4E35308E65AC0D0FAA9FE7C414440
40014,081-002155-004024,42,-107.62797078,40.50148763,2155,,,Co Rd,County Road 30 ,,,,,2155 County Road 30 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010C60BC5AAC30E85AC0B88A2BBF30404440
40015,081-001865-004025,42,-107.62032894,40.49918236,1865,,,Co Rd,County Road 30 ,,,,,1865 County Road 30 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010C78382378B3E75AC098522135E53F4440
40016,081-001125-004026,42,-107.60954477,40.50017973,1125,,,Co Rd,County Road 30 ,,,,,1125 County Road 30 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010C044C13C802E75AC0B816ADE305404440
40017,081-001983-004027,42,-107.62400826,40.49769495,1983,,,Co Rd,County Road 30 ,,,,,1983 County Road 30 ,Craig,81625,NULL,NULL,2017-05-18 00:00:00.0000000,ACTIVE,NO CHANGE,Moffat,0xAD100000010C705B58C0EFE75AC08042DD77B43F4440
