2419992,117-000033-035792,NULL,-106.04288484,39.47390092,33,NULL,,NULL,Broken Lance,Drive,,UNIT,306S,33 Broken Lance Drive UNIT 306S,Breckenridge,80424,NULL,6507122,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C102D0CA0BE825AC028EA12C9A8BC4340
2419993,117-000033-035793,NULL,-106.04288484,39.47390092,33,NULL,,NULL,Broken Lance,Drive,,UNIT,102S,33 Broken Lance Drive UNIT 102S,Breckenridge,80424,NULL,6507103,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C102D0CA0BE825AC028EA12C9A8BC4340
2419994,117-000033-035794,NULL,-106.04288484,39.47390092,33,NULL,,NULL,Broken Lance,Drive,,UNIT,101S,33 Broken Lance Drive UNIT 101S,Breckenridge,80424,NULL,6507102,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C102D0CA0BE825AC028EA12C9A8BC4340
2419995,117-000033-035795,NULL,-106.04288484,39.47390092,33,NULL,,NULL,Broken Lance,Drive,,UNIT,205S,33 Broken Lance Drive UNIT 205S,Breckenridge,80424,NULL,6507114,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C102D0CA0BE825AC028EA12C9A8BC4340
2419996,117-000820-035796,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,17,820 Columbine Road UNIT 17,Breckenridge,80424,NULL,303709,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2419997,117-000820-035797,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,23,820 Columbine Road UNIT 23,Breckenridge,80424,NULL,300522,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2419998,117-000820-035798,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,12,820 Columbine Road UNIT 12,Breckenridge,80424,NULL,300931,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2419999,117-000820-035799,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,15,820 Columbine Road UNIT 15,Breckenridge,80424,NULL,300361,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420000,117-000820-035800,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,3,820 Columbine Road UNIT 3,Breckenridge,80424,NULL,304441,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420001,117-000820-035801,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,16,820 Columbine Road UNIT 16,Breckenridge,80424,NULL,301357,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420002,117-000820-035802,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,22,820 Columbine Road UNIT 22,Breckenridge,80424,NULL,300521,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420003,117-000820-035803,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,14,820 Columbine Road UNIT 14,Breckenridge,80424,NULL,303347,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420004,117-000820-035804,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,10,820 Columbine Road UNIT 10,Breckenridge,80424,NULL,300520,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420005,117-000820-035805,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,11,820 Columbine Road UNIT 11,Breckenridge,80424,NULL,301262,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420006,117-000820-035806,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,19,820 Columbine Road UNIT 19,Breckenridge,80424,NULL,300044,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420007,117-000820-035807,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,18,820 Columbine Road UNIT 18,Breckenridge,80424,NULL,300624,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420008,117-000820-035808,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,5,820 Columbine Road UNIT 5,Breckenridge,80424,NULL,301340,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420009,117-000820-035809,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,6,820 Columbine Road UNIT 6,Breckenridge,80424,NULL,302490,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420010,117-000820-035810,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,4,820 Columbine Road UNIT 4,Breckenridge,80424,NULL,301503,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420011,117-000820-035811,NULL,-106.04509322,39.47348489,820,NULL,,NULL,Columbine,Road,,UNIT,7,820 Columbine Road UNIT 7,Breckenridge,80424,NULL,301983,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010C70FFA7CEE2825AC0E8B320279BBC4340
2420012,117-005526-035812,NULL,-106.04413064,39.41851702,5526,NULL,,Hwy,9,,,NULL,NULL,5526 Hwy 9,Blue River,80424,NULL,100416,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010CAC415709D3825AC0E0013BF791B54340
2420013,117-039932-035813,NULL,-106.20498380,39.81926886,39932,NULL,,Hwy,9,,,NULL,NULL,39932 Hwy 9,Unincorporated Summit County,80498,NULL,1406091,2019-04-17 00:00:00.0000000,ACTIVE,ADD,Summit,0xAD100000010CEC9863741E8D5AC0F07554CDDDE84340
