680016,031-001620-364367,NULL,-105.00378434,39.75574903,1620,NULL,NULL,NULL,Little Raven,Street,NULL,Unit,503,1620 Little Raven Street Unit 503,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C98FCA9003E405AC0389F5762BCE04340
680017,031-001620-364368,NULL,-105.00378434,39.75574903,1620,NULL,NULL,NULL,Little Raven,Street,NULL,Unit,504,1620 Little Raven Street Unit 504,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C98FCA9003E405AC0389F5762BCE04340
680018,031-001620-364369,NULL,-105.00378434,39.75574903,1620,NULL,NULL,NULL,Little Raven,Street,NULL,Unit,505,1620 Little Raven Street Unit 505,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C98FCA9003E405AC0389F5762BCE04340
680019,031-001620-364370,NULL,-105.00378434,39.75574903,1620,NULL,NULL,NULL,Little Raven,Street,NULL,Unit,602,1620 Little Raven Street Unit 602,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C98FCA9003E405AC0389F5762BCE04340
680020,031-001620-364371,NULL,-105.00378434,39.75574903,1620,NULL,NULL,NULL,Little Raven,Street,NULL,Unit,603,1620 Little Raven Street Unit 603,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C98FCA9003E405AC0389F5762BCE04340
680021,031-001620-364372,NULL,-105.00378434,39.75574903,1620,NULL,NULL,NULL,Little Raven,Street,NULL,Unit,604,1620 Little Raven Street Unit 604,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C98FCA9003E405AC0389F5762BCE04340
680022,031-001620-364373,NULL,-105.00378434,39.75574903,1620,NULL,NULL,NULL,Little Raven,Street,NULL,Unit,605,1620 Little Raven Street Unit 605,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C98FCA9003E405AC0389F5762BCE04340
680023,031-001620-364374,NULL,-105.00378434,39.75574903,1620,NULL,NULL,NULL,Little Raven,Street,NULL,Unit,701,1620 Little Raven Street Unit 701,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C98FCA9003E405AC0389F5762BCE04340
680024,031-001620-364375,NULL,-105.00378434,39.75574903,1620,NULL,NULL,NULL,Little Raven,Street,NULL,Unit,702,1620 Little Raven Street Unit 702,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C98FCA9003E405AC0389F5762BCE04340
680025,031-001620-364376,NULL,-105.00378434,39.75574903,1620,NULL,NULL,NULL,Little Raven,Street,NULL,Unit,703,1620 Little Raven Street Unit 703,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C98FCA9003E405AC0389F5762BCE04340
