1410000,067-000200-047419,NULL,-107.96677282,37.24525048,200,NULL, ,NULL,Red Oaks,Lane,NULL,NULL, ,200 Red Oaks Lane ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010CF0231B9BDFFD5AC0D876235E649F4240
1410001,067-000900-047420,NULL,-107.94868253,37.24442163,900,NULL, ,NULL,Spring,Road,NULL,NULL, ,900 Spring Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010CF802EC36B7FC5AC0800D3535499F4240
1410002,067-001003-047421,NULL,-107.95089822,37.24367731,1003,NULL, ,NULL,Spring,Road,NULL,NULL, ,1003 Spring Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010C9C083384DBFC5AC058E063D1309F4240
1410003,067-000714-047422,NULL,-107.86850844,37.24560755,714,NULL, ,NULL,Sawmill,Road,NULL,NULL, ,714 Sawmill Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010C04BF6FA495F75AC050737511709F4240
1410004,067-001071-047423,NULL,-107.95267812,37.24433796,1071,NULL, ,NULL,Spring,Road,NULL,NULL, ,1071 Spring Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010C9079A9ADF8FC5AC090AF5D77469F4240
1410005,067-001201-047424,NULL,-107.68190587,37.24934118,1201,NULL, ,NULL,Skyview,Road,NULL,NULL, ,1201 Skyview Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010C8C938358A4EB5AC078616469EA9F4240
1410006,067-001200-047425,NULL,-107.68346308,37.25078448,1200,NULL, ,NULL,Skyview,Road,NULL,NULL, ,1200 Skyview Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010CA44DF0DBBDEB5AC0E061A9B419A04240
1410007,067-000696-047426,NULL,-107.86904079,37.24623168,696,NULL, ,NULL,Sawmill,Road,NULL,NULL, ,696 Sawmill Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010C080F445D9EF75AC078021385849F4240
1410008,067-000350-047427,NULL,-107.95853488,37.24428183,350,NULL, ,NULL,Wildcat,Road,NULL,NULL, ,350 Wildcat Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010C7445ACA258FD5AC000DF89A0449F4240
1410009,067-001005-047428,NULL,-107.95130154,37.24462753,1005,NULL, ,NULL,Spring,Road,NULL,NULL, ,1005 Spring Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010CCCBBDA1FE2FC5AC0D0C969F44F9F4240
1410010,067-000500-047429,NULL,-108.15941482,37.24040253,500,NULL, ,NULL,Sand Ridge,Court,NULL,NULL, ,500 Sand Ridge Court ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010CB07335DA330A5BC070689A82C59E4240
1410011,067-000984-047430,NULL,-107.94917883,37.24491379,984,NULL, ,NULL,Spring,Road,NULL,NULL, ,984 Spring Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010CF0399058BFFC5AC0200CC555599F4240
1410012,067-000602-047431,NULL,-107.87013651,37.24689819,602,NULL, ,NULL,Sawmill,Road,NULL,NULL, ,602 Sawmill Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010CD4140751B0F75AC03830285C9A9F4240
1410013,067-000615-047432,NULL,-107.95034087,37.24531279,615,NULL, ,NULL,West Fork,Road,NULL,NULL, ,615 West Fork Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010C508B8862D2FC5AC0D805D368669F4240
1410014,067-001111-047433,NULL,-107.95278144,37.24556117,1111,NULL, ,NULL,Spring,Road,NULL,NULL, ,1111 Spring Road ,NULL,NULL,NULL,NULL,2019-01-05 00:00:00.0000000,ACTIVE,NO CHANGE,La Plata,0xAD100000010CCC8D055FFAFC5AC068B75E8C6E9F4240
