"1487114","-105.07060381","40.54951124","2748","","","","Leisure","","",""," ","2748 Leisure ","Fort Collins","80525","Larimer"
"1487115","-105.06996904","40.55057073","2701","","","","Stanford","","",""," ","2701 Stanford ","Fort Collins","80525","Larimer"
"1487116","-105.06993617","40.54966143","2703","","","","Stanford Thru","","","","","2703 Stanford Thru","Fort Collins","80525","Larimer"
"1487118","-105.06968484","40.54999373","2709","","","","Stanford Thru","","","","","2709 Stanford Thru","Fort Collins","80525","Larimer"
"1487120","-105.06795092","40.55809532","612","","","","Columbia","","",""," ","612 Columbia ","Fort Collins","80525","Larimer"
"1487121","-105.06819564","40.55809632","608","","","","Columbia","","",""," ","608 Columbia ","Fort Collins","80525","Larimer"
"1487122","-105.06844034","40.55810009","604","","","","Columbia","","",""," ","604 Columbia ","Fort Collins","80525","Larimer"
"1487123","-105.11021952","40.57331994","1021","","","","Skyline","","",""," ","1021 Skyline ","Fort Collins","80521","Larimer"
"1487124","-105.11021807","40.57309486","1025","","","","Skyline","","",""," ","1025 Skyline ","Fort Collins","80521","Larimer"
"1487125","-105.11021662","40.57286978","1029","","","","Skyline","","",""," ","1029 Skyline ","Fort Collins","80521","Larimer"
"1487126","-105.11021535","40.57263372","1033","","","","Skyline","","",""," ","1033 Skyline ","Fort Collins","80521","Larimer"
"1487127","-105.10814458","40.55381168","2520","","","","Constitution","","",""," ","2520 Constitution ","Fort Collins","80526","Larimer"
"1487128","-105.10805748","40.55400575","2516","","","","Constitution","","",""," ","2516 Constitution ","Fort Collins","80526","Larimer"
"1487129","-105.10787273","40.5541471","2512","","","","Constitution","","",""," ","2512 Constitution ","Fort Collins","80526","Larimer"
"1487130","-105.10765034","40.55429461","2508","","","","Constitution","","",""," ","2508 Constitution ","Fort Collins","80526","Larimer"
"1487131","-105.10741333","40.55445764","2504","","","","Constitution","","",""," ","2504 Constitution ","Fort Collins","80526","Larimer"
"1487132","-105.10728897","40.55464881","2500","","","","Constitution","","",""," ","2500 Constitution ","Fort Collins","80526","Larimer"
"1487133","-105.10718379","40.55508515","2412","","","","Constitution","","",""," ","2412 Constitution ","Fort Collins","80526","Larimer"
