"493022","-106.78263552","37.22074237","10600"," "," ","Cr","326"," ","",""," ","10600 Cr 326 ","Archuleta","","Archuleta"
"493023","-106.98429427","37.2247495","3142","B"," ","Us Hwy","84"," ","",""," ","3142 B Us Hwy 84 ","Archuleta","","Archuleta"
"493024","-107.15525007","37.23871509","9902"," ","West","Us Hwy","160"," ","",""," ","9902 West Us Hwy 160 ","Archuleta","","Archuleta"
"493025","-107.16630998","37.23811492","10533"," ","West","Us Hwy","160"," ","",""," ","10533 West Us Hwy 160 ","Archuleta","","Archuleta"
"493026","-107.16713023","37.23790926","10577"," ","West","Us Hwy","160"," ","",""," ","10577 West Us Hwy 160 ","Archuleta","","Archuleta"
"493027","-107.16576634","37.23825925","10501"," ","West","Us Hwy","160"," ","",""," ","10501 West Us Hwy 160 ","Archuleta","","Archuleta"
"493028","-107.02224375","37.25016584","1410","A"," ","Cr","500"," ","",""," ","1410 A Cr 500 ","Archuleta","","Archuleta"
"493029","-106.99077995","37.25433753","275","A"," ","","Tierra Del Oro","Drive","",""," ","275 A Tierra Del Oro Drive ","Archuleta","","Archuleta"
"493030","-106.98734693","37.27553409","1742"," ","East","Us Hwy","160"," ","",""," ","1742 East Us Hwy 160 ","Archuleta","","Archuleta"
"493031","-106.98024114","37.28469119","2392"," ","East","Us Hwy","160"," ","",""," ","2392 East Us Hwy 160 ","Archuleta","","Archuleta"
"493032","-107.48146616","37.28655742","31863"," ","West","Us Hwy","160"," ","",""," ","31863 West Us Hwy 160 ","Archuleta","","Archuleta"
"493033","-107.01338356","37.26611871","511"," "," ","","San Juan","Street","",""," ","511 San Juan Street ","Pagosa Springs","","Archuleta"
"493034","-106.79114393","37.00178221","27067"," "," ","Us Hwy","84"," ","",""," ","27067 Us Hwy 84 ","Archuleta","","Archuleta"
"493035","-107.17192283","37.23736361","10855"," ","West","Us Hwy","160"," ","",""," ","10855 West Us Hwy 160 ","Archuleta","","Archuleta"
"493036","-107.44158247","37.02675118","18861","A"," ","St Hwy","151"," ","",""," ","18861 A St Hwy 151 ","Archuleta","","Archuleta"
"493037","-106.96263131","37.19648332","6091"," "," ","Us Hwy","84"," ","",""," ","6091 Us Hwy 84 ","Archuleta","","Archuleta"
"493038","-107.41848007","37.02706414","17449"," "," ","St Hwy","151"," ","",""," ","17449 St Hwy 151 ","Archuleta","","Archuleta"
"493039","-107.16991128","37.23620574","10642"," ","West","Us Hwy","160"," ","",""," ","10642 West Us Hwy 160 ","Archuleta","","Archuleta"
"493040","-106.97292122","37.29055152","2763","C","East","Us Hwy","160"," ","",""," ","2763 C East Us Hwy 160 ","Archuleta","","Archuleta"
"493041","-106.92925591","37.14281272","881"," "," ","Cr","339"," ","",""," ","881 Cr 339 ","Archuleta","","Archuleta"
"493042","-107.41412601","37.02222643","369"," "," ","Cr","982"," ","",""," ","369 Cr 982 ","Archuleta","","Archuleta"
"493043","-107.42232147","37.0228867","17834"," "," ","St Hwy","151"," ","",""," ","17834 St Hwy 151 ","Archuleta","","Archuleta"
"493044","-107.41938278","37.02321997","53"," "," ","Cr","982"," ","",""," ","53 Cr 982 ","Archuleta","","Archuleta"
"493045","-107.41510826","37.02233373","301"," "," ","Cr","982"," ","",""," ","301 Cr 982 ","Archuleta","","Archuleta"
"493046","-107.41349343","37.02182264","407"," "," ","Cr","982"," ","",""," ","407 Cr 982 ","Archuleta","","Archuleta"
"493047","-107.41292106","37.02304598","400"," "," ","Cr","982"," ","",""," ","400 Cr 982 ","Archuleta","","Archuleta"
"493048","-107.44009411","37.02555454","18851"," "," ","St Hwy","151"," ","",""," ","18851 St Hwy 151 ","Archuleta","","Archuleta"
"493049","-107.47920045","37.02511152","21011"," "," ","St Hwy","151"," ","",""," ","21011 St Hwy 151 ","Archuleta","","Archuleta"
"493050","-107.41832675","37.02792025","17365"," "," ","St Hwy","151"," ","",""," ","17365 St Hwy 151 ","Archuleta","","Archuleta"
"493051","-107.39312965","37.03208185","39679"," "," ","Cr","500"," ","",""," ","39679 Cr 500 ","Archuleta","","Archuleta"
"493052","-107.41736683","37.03374917","95"," "," ","Cr","973"," ","",""," ","95 Cr 973 ","Archuleta","","Archuleta"
"493053","-107.44190441","37.03939003","1670"," "," ","Cr","973"," ","",""," ","1670 Cr 973 ","Archuleta","","Archuleta"
