1600000,069-004455-371136,NULL,-104.98134808,40.43837578,4455,NULL,,,Fairgrounds,,,NULL, ,4455 Fairgrounds ,Windsor,80550,NULL,8635308001,2019-06-05 00:00:00.0000000,ACTIVE,ADD,Larimer,0xAD100000010C641A2968CE3E5AC0C0D19BB21C384440
1600001,069-006400-371137,NULL,-104.98101102,40.43651513,6400,NULL,,,Crossroads,,,NULL, ,6400 Crossroads ,Windsor,80550,NULL,8635308005,2019-06-05 00:00:00.0000000,ACTIVE,ADD,Larimer,0xAD100000010C349C6CE2C83E5AC060ED51BADF374440
1600002,069-002538-371138,NULL,-105.11226128,40.33497261,2538,NULL,,,Heron,Lakes,,NULL, ,2538 Heron Lakes ,Berthoud,80513,NULL,9403327014,2019-06-05 00:00:00.0000000,ACTIVE,ADD,Larimer,0xAD100000010C20A0F0492F475AC0883DF561E02A4440
1600003,069-002526-371139,NULL,-105.11243095,40.33479501,2526,NULL,,,Heron,Lakes,,NULL, ,2526 Heron Lakes ,Berthoud,80513,NULL,9403327015,2019-06-05 00:00:00.0000000,ACTIVE,ADD,Larimer,0xAD100000010C3408911132475AC0F88D1B90DA2A4440
1600004,069-002514-371140,NULL,-105.11262835,40.33461109,2514,NULL,,,Heron,Lakes,,NULL, ,2514 Heron Lakes ,Berthoud,80513,NULL,9403327016,2019-06-05 00:00:00.0000000,ACTIVE,ADD,Larimer,0xAD100000010C10428E4D35475AC030114289D42A4440
1600005,069-002502-371141,NULL,-105.11271266,40.33438178,2502,NULL,,,Heron,Lakes,,NULL, ,2502 Heron Lakes ,Berthoud,80513,NULL,9403327017,2019-06-05 00:00:00.0000000,ACTIVE,ADD,Larimer,0xAD100000010CC4352AAF36475AC08097AA05CD2A4440
1600006,069-002494-371142,NULL,-105.11280323,40.33404587,2494,NULL,,,Heron,Lakes,,NULL, ,2494 Heron Lakes ,Berthoud,80513,NULL,9403327018,2019-06-05 00:00:00.0000000,ACTIVE,ADD,Larimer,0xAD100000010CE8EE092B38475AC0105CD903C22A4440
1600007,069-000446-371143,NULL,-105.02699911,40.59236320,446,NULL,,,Vicot,,,NULL, ,446 Vicot ,Fort Collins,80524,NULL,8708129005,2019-06-05 00:00:00.0000000,ACTIVE,ADD,Larimer,0xAD100000010CC8D67C5ABA415AC058ADAD8ED24B4440
1600008,069-000444-371144,NULL,-105.02706720,40.59229065,444,NULL,,,Vicot,,,NULL, ,444 Vicot ,Fort Collins,80524,NULL,8708129006,2019-06-05 00:00:00.0000000,ACTIVE,ADD,Larimer,0xAD100000010C74EB1378BB415AC008BD152ED04B4440
1600009,069-000440-371145,NULL,-105.02712034,40.59221896,440,NULL,,,Vicot,,,NULL, ,440 Vicot ,Fort Collins,80524,NULL,8708129007,2019-06-05 00:00:00.0000000,ACTIVE,ADD,Larimer,0xAD100000010CAC69F456BC415AC0F8E5A9D4CD4B4440
