"872454","-105.02408657","39.75421293","2525","","North","","Eliot","Street","","Unit","509","2525 North Eliot Street Unit 509","","","Denver"
"872455","-105.04012012","39.73745155","1342","","North","","Quitman","Street","","","","1342 North Quitman Street","","","Denver"
"872456","-104.87227439","39.65568337","9825","","East","","Girard","Avenue","","Bldg","2 Unit 225","9825 East Girard Avenue Bldg 2 Unit 225","","","Denver"
"872457","-105.02436702","39.75424194","2525","","North","","Eliot","Street","","Unit","416","2525 North Eliot Street Unit 416","","","Denver"
"872458","-105.02414724","39.7542121","2525","","North","","Eliot","Street","","Unit","411","2525 North Eliot Street Unit 411","","","Denver"
"872459","-105.0074004","39.75399056","1441","","","","Little Raven","Street","","Unit","20007","1441 Little Raven Street Unit 20007","","","Denver"
"872460","-105.00742681","39.75393697","1441","","","","Little Raven","Street","","Unit","11005","1441 Little Raven Street Unit 11005","","","Denver"
"872461","-105.00760904","39.75388885","1441","","","","Little Raven","Street","","Unit","7001","1441 Little Raven Street Unit 7001","","","Denver"
"872462","-105.00728161","39.7540096","1441","","","","Little Raven","Street","","Unit","3009","1441 Little Raven Street Unit 3009","","","Denver"
"872463","-105.0074004","39.75399056","1441","","","","Little Raven","Street","","Unit","24007","1441 Little Raven Street Unit 24007","","","Denver"
"872464","-105.0074004","39.75399056","1441","","","","Little Raven","Street","","Unit","16007","1441 Little Raven Street Unit 16007","","","Denver"
"872465","-105.00760904","39.75388885","1441","","","","Little Raven","Street","","Unit","15001","1441 Little Raven Street Unit 15001","","","Denver"
"872466","-105.00758056","39.75407508","1441","","","","Little Raven","Street","","Unit","11004","1441 Little Raven Street Unit 11004","","","Denver"
"872467","-105.00752432","39.75391747","1441","","","","Little Raven","Street","","Unit","4003","1441 Little Raven Street Unit 4003","","","Denver"
"872468","-105.00749573","39.7539327","1441","","","","Little Raven","Street","","Unit","35001","1441 Little Raven Street Unit 35001","","","Denver"
"872469","-105.00758187","39.7540758","1441","","","","Little Raven","Street","","Unit","5004","1441 Little Raven Street Unit 5004","","","Denver"
"872470","-105.00742681","39.75393697","1441","","","","Little Raven","Street","","Unit","15005","1441 Little Raven Street Unit 15005","","","Denver"
"872471","-105.00742104","39.75411575","1441","","","","Little Raven","Street","","Unit","12008","1441 Little Raven Street Unit 12008","","","Denver"
"872472","-105.00760904","39.75388885","1441","","","","Little Raven","Street","","Unit","25001","1441 Little Raven Street Unit 25001","","","Denver"
"872473","-105.00708985","39.75415679","1441","","","","Little Raven","Street","","Unit","4015","1441 Little Raven Street Unit 4015","","","Denver"
"872474","-105.00751454","39.75410236","1441","","","","Little Raven","Street","","Unit","17006","1441 Little Raven Street Unit 17006","","","Denver"
"872475","-105.00760904","39.75388885","1441","","","","Little Raven","Street","","Unit","20001","1441 Little Raven Street Unit 20001","","","Denver"
"872476","-105.00758117","39.75407556","1441","","","","Little Raven","Street","","Unit","32002","1441 Little Raven Street Unit 32002","","","Denver"
"872477","-105.00742681","39.75393697","1441","","","","Little Raven","Street","","Unit","22005","1441 Little Raven Street Unit 22005","","","Denver"
"872478","-105.0074004","39.75399056","1441","","","","Little Raven","Street","","Unit","26007","1441 Little Raven Street Unit 26007","","","Denver"
"872479","-105.00109382","39.75545659","1980","","","","18Th","Street","","Unit","1203","1980 18Th Street Unit 1203","","","Denver"
"872480","-105.00114672","39.755453","1980","","","","18Th","Street","","Unit","1004","1980 18Th Street Unit 1004","","","Denver"
"872481","-105.00079554","39.75523406","1980","","","","18Th","Street","","Unit","815","1980 18Th Street Unit 815","","","Denver"
"872482","-105.00087798","39.75525407","1980","","","","18Th","Street","","Unit","1110","1980 18Th Street Unit 1110","","","Denver"
"872483","-105.00067534","39.75509534","1980","","","","18Th","Street","","Unit","720","1980 18Th Street Unit 720","","","Denver"
"872484","-105.00104389","39.75541206","1980","","","","18Th","Street","","Unit","605","1980 18Th Street Unit 605","","","Denver"
"872485","-105.00113545","39.75541006","1980","","","","18Th","Street","","Unit","706","1980 18Th Street Unit 706","","","Denver"
"872486","-105.00079784","39.75523586","1980","","","","18Th","Street","","Unit","1015","1980 18Th Street Unit 1015","","","Denver"
"872487","-105.00064112","39.75513153","1980","","","","18Th","Street","","Unit","1019","1980 18Th Street Unit 1019","","","Denver"
"872488","-105.00079953","39.75523706","1980","","","","18Th","Street","","Unit","515","1980 18Th Street Unit 515","","","Denver"
"872489","-105.00074451","39.75519119","1980","","","","18Th","Street","","Unit","1211","1980 18Th Street Unit 1211","","","Denver"
"872490","-105.00064219","39.75512747","1980","","","","18Th","Street","","Unit","419","1980 18Th Street Unit 419","","","Denver"
"872491","-105.00090986","39.75527649","1980","","","","18Th","Street","","Unit","1306","1980 18Th Street Unit 1306","","","Denver"
"872492","-105.00085724","39.75524028","1980","","","","18Th","Street","","Unit","712","1980 18Th Street Unit 712","","","Denver"
"872493","-105.00114828","39.75540678","1980","","","","18Th","Street","","Unit","606","1980 18Th Street Unit 606","","","Denver"
"872494","-105.00071602","39.75512828","1980","","","","18Th","Street","","Unit","1118","1980 18Th Street Unit 1118","","","Denver"
"872495","-105.00067384","39.75508937","1980","","","","18Th","Street","","Unit","820","1980 18Th Street Unit 820","","","Denver"
"872496","-105.00113982","39.75546846","1980","","","","18Th","Street","","Unit","502","1980 18Th Street Unit 502","","","Denver"
"872497","-105.00066488","39.75508468","1980","","","","18Th","Street","","Unit","420","1980 18Th Street Unit 420","","","Denver"
"872498","-105.00114968","39.75547089","1980","","","","18Th","Street","","Unit","1102","1980 18Th Street Unit 1102","","","Denver"
"872499","-105.00114009","39.75540889","1980","","","","18Th","Street","","Unit","1106","1980 18Th Street Unit 1106","","","Denver"
"872500","-105.00087796","39.75525765","1980","","","","18Th","Street","","Unit","710","1980 18Th Street Unit 710","","","Denver"
"872501","-105.00088695","39.75529581","1980","","","","18Th","Street","","Unit","711","1980 18Th Street Unit 711","","","Denver"
"872502","-104.94416198","39.71103757","300","","South","","Monroe","Street","","Unit","623","300 South Monroe Street Unit 623","","","Denver"
"872503","-104.94407927","39.71128475","300","","South","","Monroe","Street","","Unit","218","300 South Monroe Street Unit 218","","","Denver"
"872504","-105.00612318","39.77393906","4170","","North","","Pecos","Street","","","","4170 North Pecos Street","","","Denver"
"872505","-104.94404049","39.71113175","300","","South","","Monroe","Street","","Unit","222","300 South Monroe Street Unit 222","","","Denver"
"872506","-104.9447594","39.71097808","300","","South","","Monroe","Street","","Unit","302","300 South Monroe Street Unit 302","","","Denver"
"872507","-104.94407927","39.71128475","300","","South","","Monroe","Street","","Unit","318","300 South Monroe Street Unit 318","","","Denver"
"872508","-105.04694572","39.78811289","4625","","West","","50Th","Avenue","","Unit","211","4625 West 50Th Avenue Unit 211","","","Denver"
"872509","-104.94407927","39.71128475","300","","South","","Monroe","Street","","Unit","118","300 South Monroe Street Unit 118","","","Denver"
"872510","-105.04699713","39.78785933","4625","","West","","50Th","Avenue","","Unit","306","4625 West 50Th Avenue Unit 306","","","Denver"
"872511","-104.94475318","39.71107886","300","","South","","Monroe","Street","","Unit","404","300 South Monroe Street Unit 404","","","Denver"
"872512","-104.94404049","39.71113175","300","","South","","Monroe","Street","","Unit","322","300 South Monroe Street Unit 322","","","Denver"
"872513","-104.94462404","39.71104144","300","","South","","Monroe","Street","","Unit","603","300 South Monroe Street Unit 603","","","Denver"
"872514","-104.94439818","39.7111739","300","","South","","Monroe","Street","","Unit","413","300 South Monroe Street Unit 413","","","Denver"
"872515","-105.0469132","39.78801038","4625","","West","","50Th","Avenue","","Unit","307","4625 West 50Th Avenue Unit 307","","","Denver"
"872516","-105.04688779","39.78774563","4625","","West","","50Th","Avenue","","Unit","201","4625 West 50Th Avenue Unit 201","","","Denver"
"872517","-104.9447594","39.71097808","300","","South","","Monroe","Street","","Unit","202","300 South Monroe Street Unit 202","","","Denver"
"872518","-104.94403883","39.71101392","300","","South","","Monroe","Street","","Unit","224","300 South Monroe Street Unit 224","","","Denver"
"872519","-105.00627798","39.77416505","4182","","North","","Pecos","Street","","","","4182 North Pecos Street","","","Denver"
"872520","-104.94404086","39.71120431","300","","South","","Monroe","Street","","Unit","620","300 South Monroe Street Unit 620","","","Denver"
"872521","-104.94428353","39.71117773","300","","South","","Monroe","Street","","Unit","515","300 South Monroe Street Unit 515","","","Denver"
"872522","-105.04682424","39.74104914","1535","","North","","Vrain","Street","","Gar","1","1535 North Vrain Street Gar 1","","","Denver"
"872523","-104.9445133","39.71093844","300","","South","","Monroe","Street","","Unit","601","300 South Monroe Street Unit 601","","","Denver"
"872524","-104.87177527","39.6555517","10025","","East","","Girard","Avenue","","Unit","113","10025 East Girard Avenue Unit 113","","","Denver"
"872525","-104.98854936","39.73218329","79","","West","","10Th","Avenue","","","","79 West 10Th Avenue","","","Denver"
"872526","-104.98874345","39.73248512","1014","","North","","Acoma","Street","","","","1014 North Acoma Street","","","Denver"
"872527","-105.01866151","39.67720922","2175","","South","","Bryant","Street","","","","2175 South Bryant Street","","","Denver"
"872528","-104.98874292","39.73243149","1012","","North","","Acoma","Street","","","","1012 North Acoma Street","","","Denver"
"872529","-104.94802022","39.76454417","3351","","East","","Bruce Randolph","Avenue","","","","3351 East Bruce Randolph Avenue","","","Denver"
"872530","-104.988745","39.7325273","1016","","North","","Acoma","Street","","","","1016 North Acoma Street","","","Denver"
"872531","-104.98843395","39.73251809","61","","West","","10Th","Avenue","","","","61 West 10Th Avenue","","","Denver"
"872532","-105.03947336","39.73563983","1237","","North","","Perry","Street","","","","1237 North Perry Street","","","Denver"
"872533","-104.988432","39.73240512","63","","West","","10Th","Avenue","","","","63 West 10Th Avenue","","","Denver"
"872534","-104.98831945","39.73189904","60","","West","","10Th","Avenue","","","","60 West 10Th Avenue","","","Denver"
"872535","-105.00324292","39.75715082","1750","","","","Little Raven","Street","","Unit","327","1750 Little Raven Street Unit 327","","","Denver"
"872536","-105.00332126","39.75721042","1750","","","","Little Raven","Street","","Unit","229","1750 Little Raven Street Unit 229","","","Denver"
"872537","-105.00354691","39.75723303","1750","","","","Little Raven","Street","","Unit","724","1750 Little Raven Street Unit 724","","","Denver"
"872538","-105.00367471","39.7572771","1750","","","","Little Raven","Street","","Unit","628","1750 Little Raven Street Unit 628","","","Denver"
"872539","-105.00333817","39.75698507","1750","","","","Little Raven","Street","","Unit","721","1750 Little Raven Street Unit 721","","","Denver"
"872540","-105.0034642","39.75732597","1750","","","","Little Raven","Street","","Unit","333","1750 Little Raven Street Unit 333","","","Denver"
"872541","-105.01136486","39.76218852","3215","","North","","Tejon","Street","","Unit","209","3215 North Tejon Street Unit 209","","","Denver"
"872542","-105.01143996","39.76257678","3215","","North","","Tejon","Street","","Unit","202","3215 North Tejon Street Unit 202","","","Denver"
"872543","-105.01181575","39.76235434","3215","","North","","Tejon","Street","","Unit","216","3215 North Tejon Street Unit 216","","","Denver"
"872544","-105.00367471","39.7572771","1750","","","","Little Raven","Street","","Unit","228","1750 Little Raven Street Unit 228","","","Denver"
"872545","-105.0034642","39.75732597","1750","","","","Little Raven","Street","","Unit","533","1750 Little Raven Street Unit 533","","","Denver"
"872546","-105.00317789","39.75710008","1750","","","","Little Raven","Street","","Unit","625","1750 Little Raven Street Unit 625","","","Denver"
"872548","-104.87138303","39.65511428","10025","","East","","Girard","Avenue","","Unit","302","10025 East Girard Avenue Unit 302","","","Denver"
"872550","-104.87132428","39.65502961","10025","","East","","Girard","Avenue","","Unit","301","10025 East Girard Avenue Unit 301","","","Denver"
"872554","-104.97105644","39.77281454","3949","","","","Blake","Street","","","","3949 Blake Street","","","Denver"
"872555","-105.00056491","39.74762986","1383","","","","Larimer","Street","","","","1383 Larimer Street","","","Denver"
"872556","-104.97269928","39.77166346","3829","","","","Blake","Street","","","","3829 Blake Street","","","Denver"
"872557","-104.67918856","39.86635353","25399","","East","","94Th","Avenue","","","","25399 East 94Th Avenue","","","Denver"
"872558","-104.97138799","39.77263038","3945","","","","Blake","Street","","","","3945 Blake Street","","","Denver"
"872559","-104.97148294","39.7725937","3939","","","","Blake","Street","","","","3939 Blake Street","","","Denver"
"872560","-104.97147502","39.77262107","3941","","","","Blake","Street","","","","3941 Blake Street","","","Denver"
"872561","-105.00110556","39.75138104","1550","","","","Wynkoop","Street","","Ste","400","1550 Wynkoop Street Ste 400","","","Denver"
"872562","-105.00069266","39.75439821","1750","","","","Wewatta","Street","","Unit","601","1750 Wewatta Street Unit 601","","","Denver"
"872563","-104.96788706","39.7704058","3812","","North","","Franklin","Street","","Gar","1","3812 North Franklin Street Gar 1","","","Denver"
"872564","-104.80450015","39.77455797","4255","","North","","Kittredge","Street","","Unit","714","4255 North Kittredge Street Unit 714","","","Denver"
"872565","-104.80289751","39.77592123","4255","","North","","Kittredge","Street","","Unit","1922","4255 North Kittredge Street Unit 1922","","","Denver"
"872566","-104.80470282","39.77576338","4255","","North","","Kittredge","Street","","Unit","1313","4255 North Kittredge Street Unit 1313","","","Denver"
"872567","-105.00091059","39.75423554","1750","","","","Wewatta","Street","","Unit","1009","1750 Wewatta Street Unit 1009","","","Denver"
"872568","-104.93145356","39.70121238","4825","","East","","Kentucky","Circle","","","","4825 East Kentucky Circle","","","Denver"
"872569","-104.80471615","39.77585211","4255","","North","","Kittredge","Street","","Unit","1324","4255 North Kittredge Street Unit 1324","","","Denver"
"872570","-105.00036093","39.75449904","1750","","","","Wewatta","Street","","Unit","1325","1750 Wewatta Street Unit 1325","","","Denver"
"872571","-105.02600287","39.70031142","3030","","West","","Kentucky","Avenue","","#","B","3030 West Kentucky Avenue # B","","","Denver"
"872572","-104.98197297","39.71088","309","","South","","Pennsylvania","Street","","Gar","1","309 South Pennsylvania Street Gar 1","","","Denver"
"872573","-104.96789049","39.77036054","3808","","North","","Franklin","Street","","Gar","3","3808 North Franklin Street Gar 3","","","Denver"
"872574","-104.80298605","39.77357276","4255","","North","","Kittredge","Street","","Unit","122","4255 North Kittredge Street Unit 122","","","Denver"
"872575","-104.78049226","39.79360367","5328","","North","","Truckee","Street","","","","5328 North Truckee Street","","","Denver"
"872576","-104.93579412","39.72849169","758","","North","","Birch","Street","","","","758 North Birch Street","","","Denver"
"872577","-104.79940249","39.78248115","16141","","East","","Warner","Place","","","","16141 East Warner Place","","","Denver"
"872578","-104.93345605","39.69865862","950","","South","","Cherry","Street","","Ste","G-14","950 South Cherry Street Ste G-14","","","Denver"
"872579","-104.80393661","39.77501622","4255","","North","","Kittredge","Street","","Unit","1616","4255 North Kittredge Street Unit 1616","","","Denver"
"872580","-104.87981417","39.80788746","6110","","North","","Chester","Street","","","","6110 North Chester Street","","","Denver"
"872581","-104.89790646","39.65969448","7900","","East","","Dartmouth","Avenue","","Spc","A-2","7900 East Dartmouth Avenue Spc A-2","","","Denver"
"872582","-104.88071776","39.80683117","9309","","East","","60Th","Place","","","","9309 East 60Th Place","","","Denver"
"872583","-105.02619479","39.74711845","1930","","North","","Grove","Street","","Unit","6","1930 North Grove Street Unit 6","","","Denver"
"872584","-104.89483906","39.66023381","8080","","East","","Dartmouth","Avenue","","Spc","D","8080 East Dartmouth Avenue Spc D","","","Denver"
"872585","-105.02619314","39.74681389","1920","","North","","Grove","Street","","Unit","6","1920 North Grove Street Unit 6","","","Denver"
"872586","-104.89856861","39.6596952","7900","","East","","Dartmouth","Avenue","","Spc","I","7900 East Dartmouth Avenue Spc I","","","Denver"
"872587","-104.88066619","39.80422965","9308","","East","","59Th","Place","","","","9308 East 59Th Place","","","Denver"
"872588","-104.87775943","39.80376826","9427","","East","","59Th","Avenue","","","","9427 East 59Th Avenue","","","Denver"
"872589","-104.88010342","39.80422497","9338","","East","","59Th","Place","","","","9338 East 59Th Place","","","Denver"
"872590","-105.02610961","39.74684024","1920","","North","","Grove","Street","","Unit","7","1920 North Grove Street Unit 7","","","Denver"
"872591","-104.87944057","39.80088594","9359","","East","","57Th","Place","","","","9359 East 57Th Place","","","Denver"
"872592","-104.88037224","39.80822485","6140","","North","","Chester","Street","","","","6140 North Chester Street","","","Denver"
"872593","-105.02630531","39.74711794","1930","","North","","Grove","Street","","Unit","5","1930 North Grove Street Unit 5","","","Denver"
"872594","-104.89686855","39.65983816","7900","","East","","Dartmouth","Avenue","","Spc","P","7900 East Dartmouth Avenue Spc P","","","Denver"
"872595","-104.87899473","39.80513885","9362","","East","","59Th South","Drive","","","","9362 East 59Th South Drive","","","Denver"
"872596","-105.02644546","39.74711755","1930","","North","","Grove","Street","","Unit","3","1930 North Grove Street Unit 3","","","Denver"
"872597","-104.87944651","39.80513906","9352","","East","","59Th South","Drive","","","","9352 East 59Th South Drive","","","Denver"
"872598","-104.88342164","39.80779809","6122","","North","","Akron","Street","","","","6122 North Akron Street","","","Denver"
"872599","-104.98094251","39.78945619","459","","East","","51St","Avenue","","","","459 East 51St Avenue","","","Denver"
"872600","-104.98015023","39.79065794","490","","East","","52Nd","Avenue","","","","490 East 52Nd Avenue","","","Denver"
"872601","-105.04650316","39.77036576","3851","","North","","Vrain","Street","","","","3851 North Vrain Street","","","Denver"
"872602","-104.88699473","39.6335457","4601","","South","","Yosemite","Street","","Bldg","1","4601 South Yosemite Street Bldg 1","","","Denver"
"872603","-104.97909517","39.79088887","620","","East","","52Nd","Avenue","","","","620 East 52Nd Avenue","","","Denver"
"872604","-105.00343855","39.76733191","3623","","North","","Mariposa","Street","","","","3623 North Mariposa Street","","","Denver"
"872605","-104.98129485","39.79088492","450","","East","","52Nd","Avenue","","","","450 East 52Nd Avenue","","","Denver"
"872606","-104.99062561","39.73221479","1001","","North","","Bannock","Street","","Ste","23","1001 North Bannock Street Ste 23","","","Denver"
"872607","-104.95163551","39.76138302","3133","","North","","Saint Paul","Street","","","","3133 North Saint Paul Street","","","Denver"
"872608","-105.00245301","39.72604222","608","","North","","Mariposa","Street","","","","608 North Mariposa Street","","","Denver"
"872609","-104.91341538","39.74180771","6450","","East","","16Th","Avenue","","","","6450 East 16Th Avenue","","","Denver"
"872610","-104.980403","39.78621836","4937","","North","","Pearl","Street","","","","4937 North Pearl Street","","","Denver"
"872611","-104.92796345","39.75159631","2320","","North","","Fairfax","Street","","","","2320 North Fairfax Street","","","Denver"
"872612","-105.00237534","39.75457097","1920","","","","17Th","Street","","Unit","120","1920 17Th Street Unit 120","","","Denver"
"872613","-105.04638531","39.73619977","1260","","North","","Vrain","Street","","Bldg","1","1260 North Vrain Street Bldg 1","","","Denver"
"872614","-104.90643642","39.71780392","65","","North","","Pontiac","Street","","","","65 North Pontiac Street","","","Denver"
"872615","-105.01056962","39.76158849","2715","","","","17Th","Street","","Ste","102","2715 17Th Street Ste 102","","","Denver"
"872616","-104.9864263","39.73089018","925","","North","","Lincoln","Street","","Apt","12B","925 North Lincoln Street Apt 12B","","","Denver"
"872617","-105.00090928","39.7542347","1750","","","","Wewatta","Street","","Unit","1109","1750 Wewatta Street Unit 1109","","","Denver"
"872618","-104.8028657","39.77360065","4255","","North","","Kittredge","Street","","Unit","121","4255 North Kittredge Street Unit 121","","","Denver"
"872619","-104.99615453","39.67768139","2133","","South","","Galapago","Street","","","","2133 South Galapago Street","","","Denver"
"872620","-104.97085297","39.73220293","1333","","East","","10Th","Avenue","","Apt","A","1333 East 10Th Avenue Apt A","","","Denver"
"872621","-104.77572862","39.79225964","18269","","East","","52Nd","Place","","","","18269 East 52Nd Place","","","Denver"
"872622","-105.00024324","39.7545885","1750","","","","Wewatta","Street","","Unit","1729","1750 Wewatta Street Unit 1729","","","Denver"
"872623","-105.00027035","39.75451021","1750","","","","Wewatta","Street","","Unit","432","1750 Wewatta Street Unit 432","","","Denver"
"872624","-104.80360359","39.77424209","4255","","North","","Kittredge","Street","","Unit","317","4255 North Kittredge Street Unit 317","","","Denver"
"872625","-104.97677906","39.73468609","1175","","North","","Emerson","Street","","Apt","310","1175 North Emerson Street Apt 310","","","Denver"
"872626","-104.9701585","39.76088243","1425","","East","","31St","Avenue","","","","1425 East 31St Avenue","","","Denver"
"872627","-104.80559536","39.77490379","4255","","North","","Kittredge","Street","","Unit","1016","4255 North Kittredge Street Unit 1016","","","Denver"
"872628","-105.00069416","39.75439822","1750","","","","Wewatta","Street","","Unit","1201","1750 Wewatta Street Unit 1201","","","Denver"
"872629","-104.98317917","39.72681298","670","","North","","Grant","Street","","Unit","815","670 North Grant Street Unit 815","","","Denver"
"872630","-104.80576907","39.78288526","4779","","North","","Jasper","Street","","","","4779 North Jasper Street","","","Denver"
"872631","-105.0051409","39.73863512","1402","","North","","Osage","Street","","","","1402 North Osage Street","","","Denver"
"872632","-104.97349047","39.73855615","1125","","East","","14Th","Avenue","","Unit","8","1125 East 14Th Avenue Unit 8","","","Denver"
"872633","-104.9863601","39.73170337","975","","North","","Lincoln","Street","","Apt","6A","975 North Lincoln Street Apt 6A","","","Denver"
"872634","-104.98313079","39.7270702","670","","North","","Grant","Street","","Unit","306","670 North Grant Street Unit 306","","","Denver"
"872635","-105.00035933","39.75449647","1750","","","","Wewatta","Street","","Unit","825","1750 Wewatta Street Unit 825","","","Denver"
"872636","-104.78048437","39.79182469","5212","","North","","Truckee","Street","","","","5212 North Truckee Street","","","Denver"
"872637","-104.98317866","39.72669116","670","","North","","Grant","Street","","Unit","719","670 North Grant Street Unit 719","","","Denver"
