1819998,101-002621-241666,NULL,-104.61686113,38.29458109,2621,NULL,NULL,NULL,West,Street,NULL,NULL,NULL,2621 West Street,Pueblo,81003,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CC0BB18A77A275AC0F83141D5B4254340
1819999,101-002623-241667,NULL,-104.61686586,38.29472226,2623,NULL,NULL,NULL,West,Street,NULL,NULL,NULL,2623 West Street,Pueblo,81003,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C5C75EEBA7A275AC0400D8275B9254340
1820000,101-002625-241668,NULL,-104.61686481,38.29484908,2625,NULL,NULL,NULL,West,Street,NULL,NULL,NULL,2625 West Street,Pueblo,81003,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CB0F485B67A275AC09884629DBD254340
1820001,101-002606-241669,NULL,-104.61630661,38.29408049,2606,NULL,NULL,NULL,West,Street,NULL,NULL,NULL,2606 West Street,Pueblo,81003,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CE857449171275AC0102DEF6DA4254340
1820002,101-002612-241670,NULL,-104.61630760,38.29419152,2612,NULL,NULL,NULL,West,Street,NULL,NULL,NULL,2612 West Street,Pueblo,81003,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C8CA46F9571275AC0982B5F11A8254340
1820003,101-002614-241671,NULL,-104.61631124,38.29431755,2614,NULL,NULL,NULL,West,Street,NULL,NULL,NULL,2614 West Street,Pueblo,81003,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C40FDB2A471275AC090179032AC254340
1820004,101-002618-241672,NULL,-104.61631424,38.29445153,2618,NULL,NULL,NULL,West,Street,NULL,NULL,NULL,2618 West Street,Pueblo,81003,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CBC5C4AB171275AC0B8366D96B0254340
1820005,101-002620-241673,NULL,-104.61631659,38.29458746,2620,NULL,NULL,NULL,West,Street,NULL,NULL,NULL,2620 West Street,Pueblo,81003,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CD0A725BB71275AC090D8C10AB5254340
1820006,101-002625-241674,NULL,-104.61589680,38.29470017,2625,NULL,North,NULL,Elizabeth,Street,NULL,NULL,NULL,2625 North Elizabeth Street,Pueblo,81003,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C04B96DDA6A275AC098943ABCB8254340
1820007,101-002622-241675,NULL,-104.61632083,38.29475266,2622,NULL,NULL,NULL,West,Street,NULL,NULL,NULL,2622 West Street,Pueblo,81003,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C2452EECC71275AC0B81C7F74BA254340
1820008,101-002800-241676,NULL,-104.61444636,38.29699305,2800,NULL,North,NULL,Elizabeth,Street,NULL,NULL,NULL,2800 North Elizabeth Street,Pueblo,81003,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CC88ED61653275AC0E0084FDE03264340
1820009,101-005014-241677,NULL,-104.67416638,38.24836934,5014,NULL,NULL,NULL,Almondcrest,Drive,NULL,NULL,NULL,5014 Almondcrest Drive,Pueblo,81005,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C8877BD8A252B5AC090E71091CA1F4340
1820010,101-005010-241678,NULL,-104.67397687,38.24836572,5010,NULL,NULL,NULL,Almondcrest,Drive,NULL,NULL,NULL,5010 Almondcrest Drive,Pueblo,81005,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C44BAE16F222B5AC0C8DDB072CA1F4340
1820011,101-005006-241679,NULL,-104.67376690,38.24836656,5006,NULL,NULL,NULL,Almondcrest,Drive,NULL,NULL,NULL,5006 Almondcrest Drive,Pueblo,81005,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C80EF30FF1E2B5AC0E003B279CA1F4340
1820012,101-005002-241680,NULL,-104.67358900,38.24836762,5002,NULL,NULL,NULL,Almondcrest,Drive,NULL,NULL,NULL,5002 Almondcrest Drive,Pueblo,81005,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CBC5607151C2B5AC048339482CA1F4340
1820013,101-004926-241681,NULL,-104.67338777,38.24836851,4926,NULL,NULL,NULL,Almondcrest,Drive,NULL,NULL,NULL,4926 Almondcrest Drive,Pueblo,81005,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CCCB608C9182B5AC08058188ACA1F4340
1820014,101-004922-241682,NULL,-104.67319530,38.24836947,4922,NULL,NULL,NULL,Almondcrest,Drive,NULL,NULL,NULL,4922 Almondcrest Drive,Pueblo,81005,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CE41BBAA1152B5AC050311B92CA1F4340
1820015,101-004918-241683,NULL,-104.67300576,38.24836815,4918,NULL,NULL,NULL,Almondcrest,Drive,NULL,NULL,NULL,4918 Almondcrest Drive,Pueblo,81005,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CEC60C186122B5AC058120287CA1F4340
1820016,101-004914-241684,NULL,-104.67281620,38.24836912,4914,NULL,NULL,NULL,Almondcrest,Drive,NULL,NULL,NULL,4914 Almondcrest Drive,Pueblo,81005,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C00CEAD6B0F2B5AC0C829348FCA1F4340
