"30388","-104.50953564","37.32506834","23600"," "," "," ","Black Hills","Drive"," ",""," ","23600 Black Hills Drive ","","81082","Las Animas"
"30389","-104.57967414","37.1184572","31757"," "," "," ","Saruche Canyon","Road"," ",""," ","31757 Saruche Canyon Road ","","81082","Las Animas"
"30390","-104.50984932","37.1816579","1412"," "," "," ","Nevada","Avenue"," ",""," ","1412 Nevada Avenue ","","81082","Las Animas"
"30391","-104.50302579","37.18152604","1406"," ","North"," ","Linden","Avenue"," ",""," ","1406 North Linden Avenue ","","81082","Las Animas"
"30392","-104.50353198","37.1813134","1401"," ","North"," ","Linden","Avenue"," ",""," ","1401 North Linden Avenue ","","81082","Las Animas"
"30393","-104.50067195","37.18145929","621"," ","East"," ","White","Avenue"," ",""," ","621 East White Avenue ","","81082","Las Animas"
"30394","-104.50293166","37.18129777","503"," ","East"," ","White","Avenue"," ",""," ","503 East White Avenue ","","81082","Las Animas"
"30395","-104.50228743","37.18126761","517"," ","East"," ","White","Avenue"," ",""," ","517 East White Avenue ","","81082","Las Animas"
"30396","-104.50107328","37.18133327","617"," ","East"," ","White","Avenue"," ",""," ","617 East White Avenue ","","81082","Las Animas"
"30397","-104.50088859","37.18137288","619"," ","East"," ","White","Avenue"," ",""," ","619 East White Avenue ","","81082","Las Animas"
"30398","-104.49014118","37.17749926","1701"," "," "," ","Savana","Avenue"," ",""," ","1701 Savana Avenue ","","81082","Las Animas"
"30399","-104.49046745","37.17711519","1621"," "," "," ","Savana","Avenue"," ",""," ","1621 Savana Avenue ","","81082","Las Animas"
"30400","-104.48962493","37.17648249","1631"," ","East"," ","Main","Street"," ",""," ","1631 East Main Street ","","81082","Las Animas"
"30401","-104.49006817","37.17684291","1622"," "," "," ","Savana","Avenue"," ",""," ","1622 Savana Avenue ","","81082","Las Animas"
"30403","-104.48976115","37.17632567","1629"," ","East"," ","Main","Street"," ",""," ","1629 East Main Street ","","81082","Las Animas"
"30404","-104.57734407","37.11832948","31831"," "," "," ","Saruche Canyon","Road"," ",""," ","31831 Saruche Canyon Road ","","81082","Las Animas"
"30405","-103.69498195","37.11020455","8400"," "," ","Cr","159.5"," "," ",""," ","8400 Cr 159.5 ","","81027","Las Animas"
"30406","-104.597269","37.11797742","8755"," "," "," ","Saruche Canyon","Road"," ",""," ","8755 Saruche Canyon Road ","","81082","Las Animas"
"30407","-104.57197086","37.23321961","33251"," "," "," ","Game Trail","Road"," ",""," ","33251 Game Trail Road ","","81082","Las Animas"
"30408","-104.58989235","37.12159305","31211"," "," "," ","Oso Canyon","Road"," ",""," ","31211 Oso Canyon Road ","","81082","Las Animas"
"30409","-104.49073514","37.17634642","1618"," "," "," ","Savana","Avenue"," ",""," ","1618 Savana Avenue ","","81082","Las Animas"
"30410","-104.48988887","37.17620234","1627"," ","East"," ","Main","Street"," ",""," ","1627 East Main Street ","","81082","Las Animas"
"30411","-104.49014081","37.17598669","1619"," ","East"," ","Main","Street"," ",""," ","1619 East Main Street ","","81082","Las Animas"
"30412","-104.49026963","37.17588583","1615"," ","East"," ","Main","Street"," ",""," ","1615 East Main Street ","","81082","Las Animas"
"30413","-104.49035178","37.17580215","1613"," ","East"," ","Main","Street"," ",""," ","1613 East Main Street ","","81082","Las Animas"
"30414","-104.49044993","37.17569188","1609"," ","East"," ","Main","Street"," ",""," ","1609 East Main Street ","","81082","Las Animas"
"30415","-104.51606731","37.17260335","634"," "," "," ","Tillotson","Street"," ",""," ","634 Tillotson Street ","","81082","Las Animas"
"30416","-104.51537502","37.17260526","620"," "," "," ","Tillotson","Street"," ",""," ","620 Tillotson Street ","","81082","Las Animas"
"30417","-104.51589804","37.17261787","632"," "," "," ","Tillotson","Street"," ",""," ","632 Tillotson Street ","","81082","Las Animas"
"30418","-104.51571231","37.17259537","628"," "," "," ","Tillotson","Street"," ",""," ","628 Tillotson Street ","","81082","Las Animas"
"30419","-104.51561123","37.1725838","624"," "," "," ","Tillotson","Street"," ",""," ","624 Tillotson Street ","","81082","Las Animas"
"30420","-104.49299648","37.16677191","1200"," ","East"," ","6Th","Street"," ",""," ","1200 East 6Th Street ","","81082","Las Animas"
"30421","-104.49242738","37.16671088","704"," "," "," ","Baltimore","Avenue"," ",""," ","704 Baltimore Avenue ","","81082","Las Animas"
"30422","-104.49340747","37.16674629","702"," "," "," ","Rowland","Drive"," ",""," ","702 Rowland Drive ","","81082","Las Animas"
