"2029045","-105.99190379","37.23950823","14506","","","Co Rd","County Road U ","","","","","14506 County Road U ","LA JARA","81140","Conejos"
"2029046","-105.91239511","37.24047642","18888","","","Co Rd","County Road U.5 ","","","","","18888 County Road U.5 ","SANFORD","81151","Conejos"
"2029047","-105.75623136","37.2416753","17372","","","Co Rd","County Road 28 ","","","","","17372 County Road 28 ","SANFORD","81151","Conejos"
"2029048","-105.97132456","37.24045723","17115",""," ","Hwy","Hwy 285"," "," "," "," ","17115 Hwy 285 ","LA JARA"," ","Conejos"
"2029049","-105.93463824","37.24076021","17577","","","Co Rd","County Road U ","","","","","17577 County Road U ","LA JARA","81140","Conejos"
"2029050","-105.95107296","37.24082827","16343","","","Co Rd","County Road U ","","","","","16343 County Road U ","LA JARA","81140","Conejos"
"2029051","-105.94435068","37.24088213","17249","","","Co Rd","County Road U ","","","","","17249 County Road U ","LA JARA","81140","Conejos"
"2029052","-105.99296936","37.24058205","14495","","","Co Rd","County Road U ","","","","","14495 County Road U ","LA JARA","81140","Conejos"
"2029053","-105.9636486","37.24092554","16237","","","Co Rd","County Road U ","","","","","16237 County Road U ","LA JARA","81140","Conejos"
"2029054","-105.94871272","37.24124535","17201","","","Co Rd","County Road 17 ","","","","","17201 County Road 17 ","LA JARA","81140","Conejos"
"2029055","-105.75588523","37.24311873","17376","","","Co Rd","County Road 28 ","","","","","17376 County Road 28 ","SANFORD","81151","Conejos"
"2029056","-105.91146289","37.24512542","17465","","","Co Rd","County Road 19 ","","","","","17465 County Road 19 ","SANFORD","81151","Conejos"
"2029057","-105.99307816","37.24456385","14499","","","Co Rd","County Road U ","","","","","14499 County Road U ","LA JARA","81140","Conejos"
"2029058","-105.97043679","37.24483843","17361",""," ","Hwy","Hwy 285"," "," "," "," ","17361 Hwy 285 ","LA JARA"," ","Conejos"
"2029059","-105.91504889","37.24539402","18936","","","Co Rd","County Road U.5 ","","","","","18936 County Road U.5 ","SANFORD","81151","Conejos"
"2029060","-105.91356888","37.24560299","18930","","","Co Rd","County Road U.5 ","","","","","18930 County Road U.5 ","SANFORD","81151","Conejos"
"2029061","-105.91208769","37.24571318","18960","","","Co Rd","County Road U.5 ","","","","","18960 County Road U.5 ","SANFORD","81151","Conejos"
"2029062","-105.75466363","37.24716194","17584","","","Co Rd","County Road 28 ","","","","","17584 County Road 28 ","SANFORD","81151","Conejos"
"2029063","-105.90530152","37.24637639","19200","","","Co Rd","County Road U.5 ","","","","","19200 County Road U.5 ","SANFORD","81151","Conejos"
"2029064","-105.96795094","37.2461127","17551",""," ","Hwy","Hwy 285"," "," "," "," ","17551 Hwy 285 ","LA JARA"," ","Conejos"
"2029065","-105.9677122","37.24691093","17555",""," ","Hwy","Hwy 285"," "," "," "," ","17555 Hwy 285 ","LA JARA"," ","Conejos"
"2029066","-105.94919333","37.24727246","17535","","","Co Rd","County Road 17 ","","","","","17535 County Road 17 ","LA JARA","81140","Conejos"
"2029067","-105.75377803","37.24875293","17646","","","Co Rd","County Road 28 ","","","","","17646 County Road 28 ","SANFORD","81151","Conejos"
"2029068","-106.00540865","37.24712886","14099","","","Co Rd","County Road U ","","","","","14099 County Road U ","LA JARA","81140","Conejos"
"2029069","-105.94580471","37.24763871","17510","","","Co Rd","County Road 17 ","","","","","17510 County Road 17 ","LA JARA","81140","Conejos"
"2029070","-105.96722443","37.24771119","18161",""," ","Hwy","Hwy 285"," "," "," "," ","18161 Hwy 285 ","LA JARA"," ","Conejos"
"2029071","-105.97009048","37.24788667","17553",""," ","Hwy","Hwy 285"," "," "," "," ","17553 Hwy 285 ","LA JARA"," ","Conejos"
"2029072","-105.96673666","37.24851144","18163",""," ","Hwy","Hwy 285"," "," "," "," ","18163 Hwy 285 ","LA JARA"," ","Conejos"
"2029073","-105.97009945","37.24858332","17557",""," ","Hwy","Hwy 285"," "," "," "," ","17557 Hwy 285 ","LA JARA"," ","Conejos"
"2029074","-105.96998265","37.24918148","17559",""," ","Hwy","Hwy 285"," "," "," "," ","17559 Hwy 285 ","LA JARA"," ","Conejos"
"2029075","-105.75308129","37.25120747","17982","","","Co Rd","County Road 28 ","","","","","17982 County Road 28 ","SANFORD","81151","Conejos"
"2029076","-105.96364963","37.25052739","18306",""," ","Hwy","Hwy 285"," "," "," "," ","18306 Hwy 285 ","LA JARA"," ","Conejos"
"2029077","-105.94717768","37.25091226","17719","","","Co Rd","County Road 17 ","","","","","17719 County Road 17 ","LA JARA","81140","Conejos"
"2029078","-105.76427087","37.25228865","17888","","","Co Rd","County Road 27 ","","","","","17888 County Road 27 ","SANFORD","81151","Conejos"
"2029079","-105.76697962","37.25270349","17979","","","Co Rd","County Road 27 ","","","","","17979 County Road 27 ","SANFORD","81151","Conejos"
"2029080","-105.96577768","37.25140575","18279",""," ","Hwy","Hwy 285"," "," "," "," ","18279 Hwy 285 ","LA JARA"," ","Conejos"
"2029081","-106.01882125","37.25113794","17746","","","Co Rd","County Road 13 ","","","","","17746 County Road 13 ","LA JARA","81140","Conejos"
"2029082","-105.93042446","37.25243871","17999","","","Co Rd","County Road 18 ","","","","","17999 County Road 18 ","SANFORD","81151","Conejos"
"2029083","-105.86745003","37.2531599","21384","","","Co Rd","County Road V ","","","","","21384 County Road V ","SANFORD","81151","Conejos"
"2029084","-105.96566591","37.25240199","18351",""," ","Hwy","Hwy 285"," "," "," "," ","18351 Hwy 285 ","LA JARA"," ","Conejos"
"2029085","-105.87597587","37.25319581","20998","","","Co Rd","County Road V ","","","","","20998 County Road V ","SANFORD","81151","Conejos"
"2029086","-105.76717305","37.25399933","17981","","","Co Rd","County Road 27 ","","","","","17981 County Road 27 ","SANFORD","81151","Conejos"
"2029087","-105.8690584","37.2533456","21318","","","Co Rd","County Road V ","","","","","21318 County Road V ","SANFORD","81151","Conejos"
"2029088","-105.89661265","37.25343621","19390","","","Co Rd","County Road V ","","","","","19390 County Road V ","SANFORD","81151","Conejos"
"2029089","-105.85339799","37.25472518","21999","","","Co Rd","County Road V ","","","","","21999 County Road V ","SANFORD","81151","Conejos"
"2029090","-105.89341211","37.25444804","19789","","","Co Rd","County Road V ","","","","","19789 County Road V ","SANFORD","81151","Conejos"
"2029091","-105.86378967","37.25499093","21549","","","Co Rd","County Road V ","","","","","21549 County Road V ","SANFORD","81151","Conejos"
"2029092","-105.8683364","37.25502989","21273","","","Co Rd","County Road V ","","","","","21273 County Road V ","SANFORD","81151","Conejos"
"2029093","-105.92739352","37.25468026","18075","","","Co Rd","County Road V ","","","","","18075 County Road V ","SANFORD","81151","Conejos"
"2029094","-105.87006948","37.25531343","21271","","","Co Rd","County Road V ","","","","","21271 County Road V ","SANFORD","81151","Conejos"
"2029095","-105.86475683","37.25535239","21499","","","Co Rd","County Road V ","","","","","21499 County Road V ","SANFORD","81151","Conejos"
"2029096","-105.88983969","37.25536384","20071","","","Co Rd","County Road V ","","","","","20071 County Road V ","SANFORD","81151","Conejos"
"2029097","-105.94478737","37.255908","18054","","","Co Rd","County Road 17 ","","","","","18054 County Road 17 ","LA JARA","81140","Conejos"
"2029098","-105.89307292","37.2571172","995","","","","Ivy","Street","","","","995 Ivy Street ","SANFORD","81151","Conejos"
"2029099","-105.74936508","37.25829312","18412","","","Co Rd","County Road 28 ","","","","","18412 County Road 28 ","SANFORD","81151","Conejos"
"2029100","-105.89296802","37.25869818","695","","","","Tenth","Street","","","","695 Tenth Street ","SANFORD","81151","Conejos"
"2029101","-105.93286488","37.25849095","18491","","","Co Rd","County Road 18 ","","","","","18491 County Road 18 ","LA JARA","81140","Conejos"
"2029102","-105.96367188","37.25830879","18794","","","Hwy","Highway 285","","","","","18794 Highway 285 ","LA JARA","81140","Conejos"
"2029103","-105.93050151","37.25870864","18493","","","Co Rd","County Road 18 ","","","","","18493 County Road 18 ","SANFORD","81151","Conejos"
"2029104","-105.7484835","37.26031642","18592","","","Co Rd","County Road 28 ","","","","","18592 County Road 28 ","SANFORD","81151","Conejos"
"2029105","-105.92745281","37.25951915","18490","","","Co Rd","County Road 18 ","","","","","18490 County Road 18 ","SANFORD","81151","Conejos"
"2029106","-106.04575418","37.25872467","18330","","","Co Rd","County Road 11.5 ","","","","","18330 County Road 11.5 ","LA JARA","81140","Conejos"
