620019,029-000520-036696,NULL,-108.05499805,38.74043942,520, , ,NULL,Riley,Lane, ,NULL, ,520 Riley Lane ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C9097B9E984035BC098431B85C65E4340
620020,029-039582-036697,NULL,-107.61857922,38.85503726,39582, , ,NULL,Hadley,Street, ,NULL, ,39582 Hadley Street ,Paonia,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CF43BD5A096E75AC050AE0FA9716D4340
620021,029-000520-036698,NULL,-107.91824748,38.91736887,520, ,North East,NULL,Ginters Grove,Lane, , , ,520 North East Ginters Grove Lane ,Cedaredge,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C5C745664C4FA5AC068F99E246C754340
620022,029-000516-036699,NULL,-107.91821802,38.91780123,516, ,North East,NULL,Ginters Grove,Lane, , , ,516 North East Ginters Grove Lane ,Cedaredge,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C346EBDE8C3FA5AC0984C894F7A754340
620023,029-000578-036700,NULL,-107.91769511,38.91729364,578, ,North East,NULL,Ginters Grove,Lane, , , ,578 North East Ginters Grove Lane ,Cedaredge,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C64638357BBFA5AC0C0A189AD69754340
620024,029-000520-036701,NULL,-108.04924420,38.74049448,520, , ,NULL,Munro,Street, , , ,520 Munro Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C347E58A426035BC0F8270253C85E4340
620025,029-000520-036702,NULL,-108.04524774,38.74049889,520, , ,NULL,Labor,Street, , , ,520 Labor Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C5CC2012AE5025BC05869FE77C85E4340
620026,029-000520-036703,NULL,-108.06632295,38.73995874,520, , ,NULL,Howard,Street, , , ,520 Howard Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C2CD1D2753E045BC03016D4C4B65E4340
620027,029-000524-036704,NULL,-108.06300812,38.71943462,524, ,East,NULL,20Th,Street, , , ,524 East 20Th Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C64E9662608045BC088700E3C165C4340
620028,029-000520-036705,NULL,-108.06322377,38.71943308,520, ,East,NULL,20Th,Street, , , ,520 East 20Th Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C2443E6AE0B045BC0109C272F165C4340
620029,029-000520-036706,NULL,-108.06308261,38.72112732,520, ,East,NULL,19Th,Street, , , ,520 East 19Th Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C104FDB5E09045BC0B00274B34D5C4340
620030,029-000520-036707,NULL,-108.03845491,38.74018398,520, , ,NULL,Cypresswood,Lane, , , ,520 Cypresswood Lane ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C18DDCCDE75025BC0800A5226BE5E4340
620031,029-000520-036708,NULL,-108.05036318,38.74051105,520, , ,NULL,Bond,Street, , , ,520 Bond Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C4444B2F938035BC0D0F501DEC85E4340
620032,029-000540-036709,NULL,-108.05036788,38.74027964,540, , ,NULL,Bond,Street, , , ,540 Bond Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CACB4660D39035BC0A0BCBD48C15E4340
620033,029-000520-036710,NULL,-107.59325226,38.87176608,520, , ,NULL,5Th,Street, , , ,520 5Th Street ,Paonia,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CEC98E5ABF7E55AC088A38CD4956F4340
620034,029-005197-036711,NULL,-107.94131506,38.72979512,5197, , ,NULL,Eagle Feather,Road, ,NULL, ,5197 Eagle Feather Road ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C100FD9543EFC5AC0409829BA695D4340
620035,029-005196-036712,NULL,-107.94056093,38.72980857,5196, , ,NULL,Eagle Feather,Road, ,NULL, ,5196 Eagle Feather Road ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C148CC3F931FC5AC080220A2B6A5D4340
620036,029-005193-036713,NULL,-108.15250329,38.72517876,5193, , ,NULL,Sundown,Road, ,NULL, ,5193 Sundown Road ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CC8A84670C2095BC0E0398375D25C4340
620037,029-005191-036714,NULL,-108.15225364,38.72495755,5191, , ,NULL,Sundown,Road, ,NULL, ,5191 Sundown Road ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CD44E2F59BE095BC0C07BD135CB5C4340
620038,029-005193-036715,NULL,-108.11610718,38.72924015,5193, , ,NULL,1325,Road, , , ,5193 1325 Road ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C5890F31F6E075BC050F4DE8A575D4340
620039,029-000519-036716,NULL,-107.72148747,38.80351568,519, , ,NULL,Aspen,Lane, , , ,519 Aspen Lane ,Hotchkiss,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CB06844AD2CEE5AC0F0BBD066D9664340
620040,029-000519-036717,NULL,-107.59326485,38.86835694,519, , ,NULL,3Rd,Street, , , ,519 3Rd Street ,Paonia,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C04DCB1E0F7E55AC0F0619E1E266F4340
620041,029-000518-036718,NULL,-108.05789377,38.73946349,518, , ,NULL,B,Street, , , ,518 B Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CE47C445BB4035BC058CF5E8AA65E4340
620042,029-000518-036719,NULL,-107.72193301,38.80350927,518, , ,NULL,Aspen,Lane, , , ,518 Aspen Lane ,Hotchkiss,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C386A00FA33EE5AC0B0A80F31D9664340
620043,029-005179-036720,NULL,-108.08131264,38.72790680,5179, , ,NULL,Old Wagon,Road, , , ,5179 Old Wagon Road ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C383C1A0D34055BC09899DCD92B5D4340
620044,029-000517-036721,NULL,-108.06309311,38.73987346,517, , ,NULL,Leon,Street, , , ,517 Leon Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CD027DF8A09045BC020D474F9B35E4340
620045,029-000517-036722,NULL,-108.06316180,38.71986802,517, ,East,NULL,20Th,Street, , , ,517 East 20Th Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C00A1FCAA0A045BC0102EC16F245C4340
620046,029-000517-036723,NULL,-108.06334292,38.72144978,517, ,East,NULL,19Th,Street, , , ,517 East 19Th Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C84BFA8A20D045BC0B0706F44585C4340
620047,029-000529-036724,NULL,-108.06258475,38.72143380,529, ,East,NULL,19Th,Street, , , ,529 East 19Th Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010CB0FBAA3601045BC050896FBE575C4340
620048,029-000945-036725,NULL,-108.05834805,38.73928662,945, ,East,NULL,6Th,Street, , , ,945 East 6Th Street ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C1825ABCCBB035BC0D0D1B3BEA05E4340
620049,029-005164-036726,NULL,-107.96414880,38.72865523,5164, , ,NULL,Sunridge,Drive, ,NULL, ,5164 Sunridge Drive ,Delta,NULL,NULL,NULL,2019-02-07 00:00:00.0000000,ACTIVE,NO CHANGE,Delta,0xAD100000010C78667A70B4FD5AC060C92560445D4340
