"1896557","-104.74396064","40.43120398","210",""," "," ","40Th","Avenue"," ",""," ","210 40Th Avenue ","Greeley","80634","Weld"
"1896558","-104.69765255","40.43102902","306",""," "," ","12Th","Avenue"," ",""," ","306 12Th Avenue ","Greeley","80631","Weld"
"1896559","-104.69945433","40.43100846","304",""," "," ","13Th","Avenue"," ",""," ","304 13Th Avenue ","Greeley","80631","Weld"
"1896560","-104.72514977","40.43037192","2715",""," "," ","4Th","Street"," ",""," ","2715 4Th Street ","Greeley","80631","Weld"
"1896561","-104.70818098","40.43104025","310",""," "," ","19Th","Avenue"," ",""," ","310 19Th Avenue ","Greeley","80631","Weld"
"1896562","-104.70779016","40.43102744","309",""," "," ","18Th","Avenue"," ",""," ","309 18Th Avenue ","Greeley","80631","Weld"
"1896563","-104.70499995","40.43103925","229",""," "," ","16Th","Avenue"," ",""," ","229 16Th Avenue ","Greeley","80631","Weld"
"1896564","-104.77096497","40.43136537","5528",""," "," ","2Nd Street","Road"," ",""," ","5528 2Nd Street Road ","Greeley","80634","Weld"
"1896565","-104.76758483","40.43144299","248",""," "," ","53Rd Avenue","Court"," ",""," ","248 53Rd Avenue Court ","Greeley","80634","Weld"
"1896566","-104.77871909","40.43147304","6239",""," "," ","2Nd","Street"," ",""," ","6239 2Nd Street ","Greeley","80634","Weld"
"1896567","-104.75632354","40.43133832","213",""," "," ","47Th Avenue","Court"," ",""," ","213 47Th Avenue Court ","Greeley","80634","Weld"
"1896568","-104.71687106","40.43113289","305",""," "," ","23Rd Avenue","Court"," ",""," ","305 23Rd Avenue Court ","Greeley","80631","Weld"
"1896569","-104.77897871","40.43147622","6255",""," "," ","2Nd","Street"," ",""," ","6255 2Nd Street ","Greeley","80634","Weld"
"1896570","-104.69109673","40.43092916","307",""," "," ","8Th","Avenue"," ",""," ","307 8Th Avenue ","Greeley","80631","Weld"
"1896571","-104.71338707","40.43107742","309",""," "," ","21St Avenue","Place"," ",""," ","309 21St Avenue Place ","Greeley","80631","Weld"
"1896572","-104.69282181","40.43095319","309",""," "," ","9Th","Avenue"," ",""," ","309 9Th Avenue ","Greeley","80631","Weld"
"1896573","-104.69027954","40.43085871","300",""," "," ","8Th","Avenue"," ",""," ","300 8Th Avenue ","Greeley","80631","Weld"
"1896574","-104.76729682","40.43141076","237",""," "," ","53Rd","Avenue"," ",""," ","237 53Rd Avenue ","Greeley","80634","Weld"
"1896575","-104.70865056","40.43103255","311",""," "," ","19Th","Avenue"," ",""," ","311 19Th Avenue ","Greeley","80631","Weld"
"1896576","-104.73034312","40.43113997","330",""," "," ","32Nd","Avenue"," ",""," ","330 32Nd Avenue ","Greeley","80631","Weld"
"1896577","-104.72881576","40.43118261","327",""," "," ","30Th","Avenue"," ",""," ","327 30Th Avenue ","Greeley","80631","Weld"
"1896578","-104.72920713","40.43115725","334",""," "," ","31St","Avenue"," ",""," ","334 31St Avenue ","Greeley","80631","Weld"
"1896579","-104.73095845","40.43116502","331",""," "," ","32Nd","Avenue"," ",""," ","331 32Nd Avenue ","Greeley","80631","Weld"
"1896580","-104.73137378","40.43114187","332",""," "," ","33Rd","Avenue"," ",""," ","332 33Rd Avenue ","Greeley","80631","Weld"
"1896581","-104.71631841","40.43108313","306",""," "," ","23Rd Avenue","Court"," ",""," ","306 23Rd Avenue Court ","Greeley","80631","Weld"
"1896582","-104.73287477","40.43110882","339",""," "," ","34Th","Avenue"," ",""," ","339 34Th Avenue ","Greeley","80631","Weld"
"1896583","-104.76988785","40.43131152","5502",""," "," ","3Rd","Street"," ",""," ","5502 3Rd Street ","Greeley","80634","Weld"
"1896584","-104.76919045","40.43137366","245",""," "," ","54Th","Avenue"," ",""," ","245 54Th Avenue ","Greeley","80634","Weld"
"1896585","-104.73309611","40.43108874","3416",""," "," ","3Rd","Street"," ",""," ","3416 3Rd Street ","Greeley","80631","Weld"
"1896586","-104.73194925","40.43116284","329",""," "," ","33Rd","Avenue"," ",""," ","329 33Rd Avenue ","Greeley","80631","Weld"
"1896587","-104.7586802","40.4313029","222",""," "," ","49Th","Avenue"," ",""," ","222 49Th Avenue ","Greeley","80634","Weld"
"1896588","-104.73232658","40.43119091","330",""," "," ","34Th","Avenue"," ",""," ","330 34Th Avenue ","Greeley","80631","Weld"
"1896589","-104.72275108","40.43107899","323",""," "," ","26Th","Avenue"," ",""," ","323 26Th Avenue ","Greeley","80631","Weld"
"1896590","-104.76669776","40.43139851","230",""," "," ","53Rd","Avenue"," ",""," ","230 53Rd Avenue ","Greeley","80634","Weld"
"1896591","-104.7462794","40.43115311","232",""," "," ","42Nd","Avenue"," ",""," ","232 42Nd Avenue ","Greeley","80634","Weld"
"1896592","-104.72219532","40.43107808","324",""," "," ","26Th","Avenue"," ",""," ","324 26Th Avenue ","Greeley","80631","Weld"
"1896593","-104.73342404","40.43109558","3426",""," "," ","3Rd","Street"," ",""," ","3426 3Rd Street ","Greeley","80631","Weld"
"1896594","-104.76482905","40.43135252","230",""," "," ","51St","Avenue"," ",""," ","230 51St Avenue ","Greeley","80634","Weld"
"1896595","-104.70098898","40.43095273","308",""," "," ","14Th","Avenue"," ",""," ","308 14Th Avenue ","Greeley","80631","Weld"
"1896596","-104.70009585","40.43095839","307",""," "," ","13Th","Avenue"," ",""," ","307 13Th Avenue ","Greeley","80631","Weld"
"1896597","-104.75824087","40.43129669","219",""," "," ","48Th Avenue","Court"," ",""," ","219 48Th Avenue Court ","Greeley","80634","Weld"
"1896598","-104.74794933","40.43117614","235",""," "," ","43Rd","Avenue"," ",""," ","235 43Rd Avenue ","Greeley","80634","Weld"
"1896599","-104.69831361","40.4309547","311",""," "," ","12Th","Avenue"," ",""," ","311 12Th Avenue ","Greeley","80631","Weld"
"1896600","-104.76635915","40.43134828","231",""," "," ","52Nd","Avenue"," ",""," ","231 52Nd Avenue ","Greeley","80634","Weld"
"1896601","-104.69765169","40.43094593","308",""," "," ","12Th","Avenue"," ",""," ","308 12Th Avenue ","Greeley","80631","Weld"
"1896602","-104.74601664","40.43115254","231",""," "," ","41St","Avenue"," ",""," ","231 41St Avenue ","Greeley","80634","Weld"
"1896603","-104.78077594","40.43127622","277",""," "," ","63Rd","Avenue"," ",""," ","277 63Rd Avenue ","Greeley","80634","Weld"
"1896604","-104.70691597","40.430951","315",""," "," ","17Th","Avenue"," ",""," ","315 17Th Avenue ","Greeley","80631","Weld"
"1896605","-104.72086049","40.43104584","326",""," "," ","25Th Avenue","Court"," ",""," ","326 25Th Avenue Court ","Greeley","80631","Weld"
"1896606","-104.72987032","40.43107433","333",""," "," ","31St","Avenue"," ",""," ","333 31St Avenue ","Greeley","80631","Weld"
"1896607","-104.72827401","40.43107363","322",""," "," ","30Th","Avenue"," ",""," ","322 30Th Avenue ","Greeley","80631","Weld"
"1896608","-104.77031762","40.43130054","5509",""," "," ","3Rd","Street"," ",""," ","5509 3Rd Street ","Greeley","80634","Weld"
"1896609","-104.70446932","40.43097972","230",""," "," ","16Th","Avenue"," ",""," ","230 16Th Avenue ","Greeley","80631","Weld"
"1896610","-104.74542781","40.43115495","230",""," "," ","41St","Avenue"," ",""," ","230 41St Avenue ","Greeley","80634","Weld"
"1896611","-104.77774795","40.43134169","198",""," "," ","61St","Avenue"," ",""," ","198 61St Avenue ","Greeley","80634","Weld"
"1896612","-104.76575354","40.43131853","228",""," "," ","52Nd","Avenue"," ",""," ","228 52Nd Avenue ","Greeley","80634","Weld"
"1896613","-104.75769323","40.43123108","220",""," "," ","48Th Avenue","Court"," ",""," ","220 48Th Avenue Court ","Greeley","80634","Weld"
"1896614","-104.71149225","40.43095756","313",""," "," ","21St","Avenue"," ",""," ","313 21St Avenue ","Greeley","80631","Weld"
"1896615","-104.71247392","40.43095101","315",""," "," ","21St Avenue","Court"," ",""," ","315 21St Avenue Court ","Greeley","80631","Weld"
