110018,001-013996-256541,NULL,-105.00472138,39.95040354,13996,NULL, ,NULL,Lexington,Place,NULL,NULL, ,13996 Lexington Place ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C482CE75A4D405AC0C08FB4D2A6F94340
110019,001-001457-256542,NULL,-105.00426968,39.95027690,1457,NULL, ,NULL,Lexington,Avenue,NULL,NULL, ,1457 Lexington Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C38495AF445405AC0783B5FACA2F94340
110020,001-000831-256543,NULL,-104.99789351,39.92584916,831,NULL,West,NULL,126Th,Court,NULL,NULL, ,831 West 126Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C484AB97CDD3F5AC018C3AD3982F64340
110021,001-000835-256544,NULL,-104.99824377,39.92751921,835,NULL,West,NULL,127Th,Court,NULL,NULL, ,835 West 127Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C7C65D639E33F5AC0103D0AF3B8F64340
110022,001-000826-256545,NULL,-104.99778865,39.92715556,826,NULL,West,NULL,127Th,Court,NULL,NULL, ,826 West 127Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C1C3DF0C4DB3F5AC0208C9008ADF64340
110023,001-000841-256546,NULL,-104.99807916,39.92572772,841,NULL,West,NULL,126Th,Court,NULL,NULL, ,841 West 126Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CF8E66B87E03F5AC0489CEC3E7EF64340
110024,001-000825-256547,NULL,-104.99798674,39.92755057,825,NULL,West,NULL,127Th,Court,NULL,NULL, ,825 West 127Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C2C76C503DF3F5AC028791DFAB9F64340
110025,001-012595-256548,NULL,-104.99816169,39.92509990,12595,NULL, ,NULL,Home Farm,Drive,NULL,NULL, ,12595 Home Farm Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C5C5F8DE1E13F5AC078DE69AC69F64340
110026,001-000804-256549,NULL,-104.99813251,39.92417887,804,NULL,West,NULL,124Th,Drive,NULL,NULL, ,804 West 124Th Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C50073067E13F5AC0B8B53C7E4BF64340
110027,001-000842-256550,NULL,-104.99778732,39.92536006,842,NULL,West,NULL,126Th,Court,NULL,NULL, ,842 West 126Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CBC035ABFDB3F5AC0D0F3D53272F64340
110028,001-012596-256551,NULL,-104.99755661,39.92513867,12596,NULL, ,NULL,Home Farm,Drive,NULL,NULL, ,12596 Home Farm Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CD409AFF7D73F5AC060CFA3F16AF64340
110029,001-012556-256552,NULL,-104.99768730,39.92450310,12556,NULL, ,NULL,Home Farm,Drive,NULL,NULL, ,12556 Home Farm Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CD822D31BDA3F5AC080C6191E56F64340
110030,001-000821-256553,NULL,-104.99763624,39.92593573,821,NULL,West,NULL,126Th,Court,NULL,NULL, ,821 West 126Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CCCF3AA45D93F5AC0E8D4D80F85F64340
110031,001-000814-256554,NULL,-104.99743257,39.92633922,814,NULL,West,NULL,126Th,Place,NULL,NULL, ,814 West 126Th Place ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C5C076BEFD53F5AC04099994892F64340
110032,001-000802-256555,NULL,-104.99731122,39.92555186,802,NULL,West,NULL,126Th,Court,NULL,NULL, ,802 West 126Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CC0D375F2D33F5AC0282BC37B78F64340
110033,001-000815-256556,NULL,-104.99777338,39.92764934,815,NULL,West,NULL,127Th,Court,NULL,NULL, ,815 West 127Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C50AFDC84DB3F5AC068BAAC36BDF64340
110034,001-000805-256557,NULL,-104.99744638,39.92764207,805,NULL,West,NULL,127Th,Court,NULL,NULL, ,805 West 127Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C60545629D63F5AC060ABB2F9BCF64340
110035,001-012586-256558,NULL,-104.99735744,39.92499874,12586,NULL, ,NULL,Home Farm,Drive,NULL,NULL, ,12586 Home Farm Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CB48248B4D43F5AC018FBCB5B66F64340
110036,001-012566-256559,NULL,-104.99741331,39.92457010,12566,NULL, ,NULL,Home Farm,Drive,NULL,NULL, ,12566 Home Farm Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CA4E8A49ED53F5AC04071185058F64340
110037,001-014007-256560,NULL,-105.00728302,39.95160003,14007,NULL, ,NULL,Lexington,Circle,NULL,NULL, ,14007 Lexington Circle ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CF01A325377405AC0406B9907CEF94340
110038,001-000835-256561,NULL,-104.99778403,39.95015150,835,NULL,West,NULL,140Th,Drive,NULL,NULL, ,835 West 140Th Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C0CA090B1DB3F5AC0B0D07F909EF94340
110039,001-015021-256562,NULL,-104.99749766,39.96875156,15021,NULL, ,NULL,Huron,Street,NULL,NULL, ,15021 Huron Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CB0A96900D73F5AC098C7110D00FC4340
110040,001-000816-256563,NULL,-104.99747825,39.92718648,816,NULL,West,NULL,127Th,Court,NULL,NULL, ,816 West 127Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CE8B305AFD63F5AC06809F50BAEF64340
110041,001-000822-256564,NULL,-104.99752588,39.92543511,822,NULL,West,NULL,126Th,Court,NULL,NULL, ,822 West 126Th Court ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C403FCF76D73F5AC0E07364A874F64340
110042,001-001255-256565,NULL,-105.00279434,39.95083615,1255,NULL,West,NULL,140Th,Drive,NULL,NULL, ,1255 West 140Th Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CE01855C82D405AC0680DBCFFB4F94340
110043,001-014130-256566,NULL,-105.00652747,39.95153263,14130,NULL, ,NULL,Lexington,Circle,NULL,NULL, ,14130 Lexington Circle ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CFCB033F26A405AC0A8763BD2CBF94340
110044,001-001295-256567,NULL,-105.00341430,39.95071809,1295,NULL,West,NULL,140Th,Drive,NULL,NULL, ,1295 West 140Th Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CACB59CF037405AC040655521B1F94340
110045,001-001125-256568,NULL,-105.00138329,39.95085583,1125,NULL,West,NULL,140Th,Drive,NULL,NULL, ,1125 West 140Th Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C0441EFA916405AC09016CCA4B5F94340
110046,001-001503-256569,NULL,-105.00546574,39.95051612,1503,NULL, ,NULL,Lexington,Avenue,NULL,NULL, ,1503 Lexington Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CF8B5FA8C59405AC088B61E83AAF94340
110047,001-000833-256570,NULL,-104.99799057,39.92666932,833,NULL,West,NULL,126Th,Place,NULL,NULL, ,833 West 126Th Place ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C500AD813DF3F5AC0F03EB2199DF64340
110048,001-000955-256571,NULL,-104.99932382,39.95076693,955,NULL,West,NULL,140Th,Drive,NULL,NULL, ,955 West 140Th Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C5CF5E0EBF43F5AC0307F08BBB2F94340
110049,001-000905-256572,NULL,-104.99869004,39.95068190,905,NULL,West,NULL,140Th,Drive,NULL,NULL, ,905 West 140Th Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CA461A489EA3F5AC058F6BFF1AFF94340
110050,001-012576-256573,NULL,-104.99728440,39.92475421,12576,NULL, ,NULL,Home Farm,Drive,NULL,NULL, ,12576 Home Farm Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CC4C6F381D33F5AC068198C585EF64340
110051,001-012585-256574,NULL,-104.99817141,39.92486857,12585,NULL, ,NULL,Home Farm,Drive,NULL,NULL, ,12585 Home Farm Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CE495580AE23F5AC0D09FE21762F64340
110052,001-015000-256575,NULL,-105.00274128,39.96902081,15000,NULL, ,NULL,Pecos,Street,NULL,NULL, ,15000 Pecos Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C9C0FC4E92C405AC0C031BADF08FC4340
110053,001-014166-256576,NULL,-105.00668039,39.95267452,14166,NULL, ,NULL,Lexington,Circle,NULL,NULL, ,14166 Lexington Circle ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C20EC92736D405AC00091193DF1F94340
110054,001-014190-256577,NULL,-105.00662682,39.95385730,14190,NULL, ,NULL,Lexington,Circle,NULL,NULL, ,14190 Lexington Circle ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C0CF1E7926C405AC090DD02FF17FA4340
110055,001-014178-256578,NULL,-105.00653429,39.95312929,14178,NULL, ,NULL,Lexington,Circle,NULL,NULL, ,14178 Lexington Circle ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C9076CC0E6B405AC0F8FF002400FA4340
110056,001-014801-256579,NULL,-104.99765669,39.96516683,14801,NULL, ,NULL,Huron,Street,NULL,NULL, ,14801 Huron Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CA031749BD93F5AC0202A33968AFB4340
110057,001-014721-256580,NULL,-104.99751913,39.96315766,14721,NULL, ,NULL,Huron,Street,NULL,NULL, ,14721 Huron Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C3CF9775AD73F5AC0C84B0DC048FB4340
110058,001-014741-256581,NULL,-104.99758879,39.96360499,14741,NULL, ,NULL,Huron,Street,NULL,NULL, ,14741 Huron Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CDC0CA87ED83F5AC0406B7C6857FB4340
110059,001-001387-256582,NULL,-105.00296595,39.95010646,1387,NULL, ,NULL,Lexington,Avenue,NULL,NULL, ,1387 Lexington Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CD8B51A9830405AC0D08FA4169DF94340
110060,001-000904-256583,NULL,-104.99910178,39.95011210,904,NULL,West,NULL,140Th,Drive,NULL,NULL, ,904 West 140Th Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C888B9648F13F5AC0D838F2459DF94340
110061,001-014135-256584,NULL,-105.00846200,39.95210073,14135,NULL, ,NULL,Lexington,Circle,NULL,NULL, ,14135 Lexington Circle ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CF0AE38A48A405AC09083D56FDEF94340
110062,001-001406-256585,NULL,-105.00386649,39.95007873,1406,NULL, ,NULL,Lexington,Avenue,NULL,NULL, ,1406 Lexington Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C2C2C3E593F405AC060480D2E9CF94340
110063,001-013977-256586,NULL,-105.00551544,39.95013746,13977,NULL, ,NULL,Lexington,Place,NULL,NULL, ,13977 Lexington Place ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CB4D3715D5A405AC0D0B3B21A9EF94340
110064,001-001074-256587,NULL,-105.00085856,39.95027396,1074,NULL,West,NULL,140Th,Drive,NULL,NULL, ,1074 West 140Th Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CC8C70F110E405AC0285EC093A2F94340
110065,001-000964-256588,NULL,-104.99958490,39.95012700,964,NULL,West,NULL,140Th,Drive,NULL,NULL, ,964 West 140Th Drive ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CF0B1F032F93F5AC0F86EEBC29DF94340
110066,001-014010-256589,NULL,-105.00771514,39.95059357,14010,NULL, ,NULL,Lexington,Circle,NULL,NULL, ,14010 Lexington Circle ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CB8A4A6677E405AC098C3D70CADF94340
110067,001-014142-256590,NULL,-105.00666283,39.95208578,14142,NULL, ,NULL,Lexington,Circle,NULL,NULL, ,14142 Lexington Circle ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C1C9BF4296D405AC0D8995DF2DDF94340
110068,001-001381-256591,NULL,-105.00384838,39.95797630,1381,NULL,West,NULL,144Th,Avenue,NULL,NULL, ,1381 West 144Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C64A2470D3F405AC028AF9CF79EFA4340
110069,001-001891-256592,NULL,-105.00965038,39.95799896,1891,NULL,West,NULL,144Th,Avenue,NULL,NULL, ,1891 West 144Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C9C9FA01C9E405AC0B8FDC5B59FFA4340
110070,001-001201-256593,NULL,-105.00183934,39.95821504,1201,NULL,West,NULL,144Th,Avenue,NULL,NULL, ,1201 West 144Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C5849C0221E405AC0B03953CAA6FA4340
110071,001-001341-256594,NULL,-105.00340482,39.95798805,1341,NULL,West,NULL,144Th,Avenue,NULL,NULL, ,1341 West 144Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C7C6AD6C837405AC00035365A9FFA4340
110072,001-001791-256595,NULL,-105.00854171,39.95789141,1791,NULL,West,NULL,144Th,Avenue,NULL,NULL, ,1791 West 144Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C08928BF28B405AC0E0F1822F9CFA4340
