710017,031-001700-394368,NULL,-104.96453550,39.74344195,1700,NULL,North,NULL,High,Street,NULL,NULL,NULL,1700 North High Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C9C6340F6BA3D5AC0580BA61329DF4340
710018,031-001704-394369,NULL,-104.96453908,39.74345912,1704,NULL,North,NULL,High,Street,NULL,NULL,NULL,1704 North High Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C64C68C04BB3D5AC02873FAB429DF4340
710019,031-001708-394370,NULL,-104.96453672,39.74352488,1708,NULL,North,NULL,High,Street,NULL,NULL,NULL,1708 North High Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF87486F3BA3D5AC0E00C87DD2BDF4340
710020,031-001716-394371,NULL,-104.96453971,39.74365537,1716,NULL,North,NULL,High,Street,NULL,NULL,NULL,1716 North High Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C100C4FFEBA3D5AC0980BFA1730DF4340
710021,031-001712-394372,NULL,-104.96454376,39.74357353,1712,NULL,North,NULL,High,Street,NULL,NULL,NULL,1712 North High Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C1CA8DC0FBB3D5AC0A06344652DDF4340
710022,031-001435-394373,NULL,-104.96984538,39.75838308,1435,NULL,East,NULL,29Th,Avenue,NULL,NULL,NULL,1435 East 29Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CD8EFB6F6113E5AC0F06964B012E14340
710023,031-001429-394374,NULL,-104.96998877,39.75838372,1429,NULL,East,NULL,29Th,Avenue,NULL,NULL,NULL,1429 East 29Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C8C42714B143E5AC068F3C4B512E14340
710024,031-001425-394375,NULL,-104.97014108,39.75838250,1425,NULL,East,NULL,29Th,Avenue,NULL,NULL,NULL,1425 East 29Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C10E201CD163E5AC0B89383A412E14340
710025,031-001806-394376,NULL,-104.96566697,39.75684904,1806,NULL,East,NULL,28Th,Avenue,NULL,NULL,NULL,1806 East 28Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CE8AB7E81CD3D5AC0183CFA69E0E04340
710026,031-001816-394377,NULL,-104.96542541,39.75684839,1816,NULL,East,NULL,28Th,Avenue,NULL,NULL,NULL,1816 East 28Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF4B1128BC93D5AC0384CC460E0E04340
