"893011","-105.04409944","39.67041104","2595","","South","","Tennyson","Way","","","","2595 South Tennyson Way","","","Denver"
"893012","-105.0447659","39.66898331","2645","","South","","Tennyson","Way","","","","2645 South Tennyson Way","","","Denver"
"893013","-105.01156608","39.69494981","1183","","South","","Taos","Way","","","","1183 South Taos Way","","","Denver"
"893014","-104.95894206","39.70062189","864","","South","","University","Boulevard","","","","864 South University Boulevard","","","Denver"
"893015","-105.04056195","39.68115619","1995","","South","","Perry","Way","","","","1995 South Perry Way","","","Denver"
"893016","-105.03477216","39.72380906","444","","North","","Lowell","Boulevard","","","","444 North Lowell Boulevard","","","Denver"
"893017","-105.00646851","39.70174512","750","","South","","Peterson","Way","","","","750 South Peterson Way","","","Denver"
"893018","-104.95973657","39.69251862","1317","","South","","University","Boulevard","","","","1317 South University Boulevard","","","Denver"
"893019","-104.92142823","39.65813764","3240","","South","","Ivy","Way","","","","3240 South Ivy Way","","","Denver"
"893020","-104.97232159","39.76222085","1235","","East","","Martin Luther King","Boulevard","","","","1235 East Martin Luther King Boulevard","","","Denver"
"893021","-105.02562823","39.77166898","3929","","North","","Federal","Boulevard","","","","3929 North Federal Boulevard","","","Denver"
"893022","-104.74074211","39.7859135","5101","","North","","Picadilly","Road","","","","5101 North Picadilly Road","","","Denver"
"893023","-104.96624004","39.784248","4802","","North","","Brighton","Boulevard","","","","4802 North Brighton Boulevard","","","Denver"
"893024","-104.8104154","39.78289014","5028","","North","","Fraser","Way","","","","5028 North Fraser Way","","","Denver"
"893025","-105.00754516","39.68911573","1510","","South","","Quieto","Court","","","","1510 South Quieto Court","","","Denver"
"893026","-105.02766314","39.66870993","2670","","South","","Hazel","Court","","","","2670 South Hazel Court","","","Denver"
"893027","-104.91206476","39.76428524","3320","","North","","Monaco Street","Parkway","","","","3320 North Monaco Street Parkway","","","Denver"
"893028","-104.83770365","39.79073897","5152","","North","","Ursula","Way","","","","5152 North Ursula Way","","","Denver"
"893029","-105.07509575","39.61618027","6900","","West","","Grant Ranch","Boulevard","","Unit","17","6900 West Grant Ranch Boulevard Unit 17","","","Denver"
"893030","-104.95229804","39.70083272","855","","South","","Cove","Way","","","","855 South Cove Way","","","Denver"
"893031","-105.05284408","39.7018702","824","","South","","Sheridan","Boulevard","","","","824 South Sheridan Boulevard","","","Denver"
"893032","-104.98588189","39.76407075","2800","","North","","Brighton","Boulevard","","","","2800 North Brighton Boulevard","","","Denver"
"893033","-104.82727656","39.78151896","4894","","North","","Cornish","Court","","","","4894 North Cornish Court","","","Denver"
"893034","-105.0354817","39.63541145","4511","","South","","Lowell","Boulevard","","","","4511 South Lowell Boulevard","","","Denver"
"893035","-105.01850127","39.78271428","4737","","North","","Beach","Court","","","","4737 North Beach Court","","","Denver"
"893036","-104.81678184","39.78024788","4745","","North","","Eugene","Way","","","","4745 North Eugene Way","","","Denver"
"893037","-104.81509552","39.78569016","5115","","North","","Enid","Way","","","","5115 North Enid Way","","","Denver"
"893038","-104.95911901","39.66106524","3070","","South","","University","Boulevard","","","","3070 South University Boulevard","","","Denver"
"893039","-105.03543045","39.7274766","649","","North","","Lowell","Boulevard","","","","649 North Lowell Boulevard","","","Denver"
"893040","-105.03282688","39.71749545","55","","North","","Knox","Court","","","","55 North Knox Court","","","Denver"
"893041","-105.01913784","39.6914835","1374","","South","","Canosa","Court","","","","1374 South Canosa Court","","","Denver"
"893042","-105.03897807","39.66751945","2709","","South","","Patton","Court","","","","2709 South Patton Court","","","Denver"
"893043","-105.03525164","39.7201213","213","","North","","Lowell","Boulevard","","","","213 North Lowell Boulevard","","","Denver"
"893044","-105.02764776","39.67152383","2590","","South","","Hazel","Court","","","","2590 South Hazel Court","","","Denver"
"893045","-104.83310184","39.79154756","5167","","North","","Victor","Way","","","","5167 North Victor Way","","","Denver"
"893046","-104.81403717","39.77675642","4584","","North","","Freeport","Way","","","","4584 North Freeport Way","","","Denver"
"893047","-104.95933306","39.72690718","2340","","East","","7Th Avenue","Parkway","","","","2340 East 7Th Avenue Parkway","","","Denver"
"893048","-104.90567135","39.70902348","417","","South","","Pontiac","Way","","","","417 South Pontiac Way","","","Denver"
"893049","-104.91347012","39.70089806","865","","South","","Monaco Street","Parkway","","","","865 South Monaco Street Parkway","","","Denver"
"893050","-105.03494029","39.77298816","4047","","North","","Lowell","Boulevard","","","","4047 North Lowell Boulevard","","","Denver"
"893051","-104.91072868","39.70697895","524","","South","","Magnolia","Lane","","","","524 South Magnolia Lane","","","Denver"
"893052","-105.02164699","39.6888198","1531","","South","","Dale","Court","","","","1531 South Dale Court","","","Denver"
"893053","-104.8157825","39.78457409","5091","","North","","Enid","Way","","","","5091 North Enid Way","","","Denver"
"893054","-104.83475783","39.78991801","5066","","North","","Vaughn","Way","","","","5066 North Vaughn Way","","","Denver"
"893055","-105.04722387","39.67453287","2453","","South","","Winona","Court","","","","2453 South Winona Court","","","Denver"
"893056","-104.82933289","39.78266174","4883","","North","","Chandler","Court","","","","4883 North Chandler Court","","","Denver"
"893057","-105.03433676","39.74708993","1950","","North","","Lowell","Boulevard","","","","1950 North Lowell Boulevard","","","Denver"
"893058","-104.91209406","39.76715418","3580","","North","","Monaco Street","Parkway","","","","3580 North Monaco Street Parkway","","","Denver"
"893059","-104.92492041","39.76169683","5350","","East","","Martin Luther King","Boulevard","","","","5350 East Martin Luther King Boulevard","","","Denver"
"893060","-104.91349759","39.7124944","233","","South","","Monaco Street","Parkway","","","","233 South Monaco Street Parkway","","","Denver"
"893061","-104.92411522","39.72504347","5440","","East","","6Th Avenue","Parkway","","","","5440 East 6Th Avenue Parkway","","","Denver"
"893062","-104.73772813","39.77344022","4131","","North","","Orleans","Court","","","","4131 North Orleans Court","","","Denver"
"893063","-105.02121163","39.7135724","170","","South","","Dale","Court","","","","170 South Dale Court","","","Denver"
"893064","-104.92782568","39.74785564","5101","","East","","Montview","Boulevard","","","","5101 East Montview Boulevard","","","Denver"
"893065","-105.02716144","39.72948889","800","","North","","Hazel","Court","","","","800 North Hazel Court","","","Denver"
"893066","-104.92299309","39.69505919","5445","","East","","Nebraska","Way","","","","5445 East Nebraska Way","","","Denver"
"893067","-104.8794361","39.72209313","463","","North","","Alton","Way","","","","463 North Alton Way","","","Denver"
"893068","-105.0530399","39.76238559","3204","","North","","Sheridan","Boulevard","","","","3204 North Sheridan Boulevard","","","Denver"
"893069","-105.05303836","39.76233697","3202","","North","","Sheridan","Boulevard","","","","3202 North Sheridan Boulevard","","","Denver"
"893070","-105.05303967","39.76242133","3206","","North","","Sheridan","Boulevard","","","","3206 North Sheridan Boulevard","","","Denver"
"893071","-104.91043022","39.64351332","4065","","South","","Niagara","Way","","","","4065 South Niagara Way","","","Denver"
"893072","-104.88614773","39.64148917","4053","","South","","Willow","Way","","","","4053 South Willow Way","","","Denver"
"893073","-105.02124268","39.69547827","1144","","South","","Dale","Court","","","","1144 South Dale Court","","","Denver"
"893074","-105.02719222","39.7154277","56","","South","","Hazel","Court","","","","56 South Hazel Court","","","Denver"
"893075","-105.04777632","39.77407311","4161","","North","","Winona","Court","","","","4161 North Winona Court","","","Denver"
"893076","-104.94025336","39.75209645","2350","","North","","Colorado","Boulevard","","","","2350 North Colorado Boulevard","","","Denver"
"893077","-104.9441387","39.6648608","3724","","East","","Nielsen","Lane","","","","3724 East Nielsen Lane","","","Denver"
"893078","-105.04864707","39.68801235","1600","","South","","Wolcott","Court","","","","1600 South Wolcott Court","","","Denver"
"893079","-104.91143003","39.73396054","6606","","East","","Richthofen Place","Parkway","","","","6606 East Richthofen Place Parkway","","","Denver"
"893080","-104.9285592","39.76170906","5080","","East","","Martin Luther King","Boulevard","","","","5080 East Martin Luther King Boulevard","","","Denver"
"893081","-104.82057567","39.79593423","5555","","North","","Crown","Boulevard","","","","5555 North Crown Boulevard","","","Denver"
"893082","-104.81688583","39.7779754","4595","","North","","Eureka","Court","","","","4595 North Eureka Court","","","Denver"
"893083","-105.06098829","39.62032058","5310","","South","","Harlan","Way","","","","5310 South Harlan Way","","","Denver"
"893084","-104.81381231","39.78591604","5133","","North","","Enid","Court","","","","5133 North Enid Court","","","Denver"
"893085","-104.98721204","39.67023705","2554","","South","","Broadway","","","","","2554 South Broadway","","","Denver"
"893086","-104.82655832","39.79739063","5569","","North","","Auckland","Way","","","","5569 North Auckland Way","","","Denver"
"893087","-105.04867254","39.67852464","2120","","South","","Wolcott","Court","","","","2120 South Wolcott Court","","","Denver"
"893088","-104.75969651","39.77787403","4534","","North","","Espana","Way","","","","4534 North Espana Way","","","Denver"
"893089","-104.82003925","39.7826304","4910","","North","","Durham","Court","","","","4910 North Durham Court","","","Denver"
"893090","-104.95974975","39.66864804","2645","","South","","University","Boulevard","","","","2645 South University Boulevard","","","Denver"
"893091","-105.03402591","39.74730832","1979","","North","","King","Way","","","","1979 North King Way","","","Denver"
"893092","-104.90935991","39.65212841","3545","","South","","Oneida","Way","","","","3545 South Oneida Way","","","Denver"
"893093","-105.03707256","39.6790588","2098","","South","","Osceola","Way","","","","2098 South Osceola Way","","","Denver"
"893094","-104.91253778","39.70655973","509","","South","","Magnolia","Lane","","","","509 South Magnolia Lane","","","Denver"
"893095","-104.91327471","39.68771402","1595","","South","","Monaco Street","Parkway","","","","1595 South Monaco Street Parkway","","","Denver"
"893096","-104.83967732","39.79088183","5325","","North","","Titan","Court","","","","5325 North Titan Court","","","Denver"
"893097","-105.03242314","39.68206574","1901","","South","","Knox","Court","","","","1901 South Knox Court","","","Denver"
"893098","-104.73722529","39.77256945","4084","","North","","Orleans","Court","","","","4084 North Orleans Court","","","Denver"
"893099","-105.02565531","39.76451227","3365","","North","","Federal","Boulevard","","","","3365 North Federal Boulevard","","","Denver"
"893100","-104.91911284","39.7478212","5833","","East","","Montview","Boulevard","","","","5833 East Montview Boulevard","","","Denver"
"893101","-104.95497921","39.77614531","4246","","North","","Thompson","Court","","","","4246 North Thompson Court","","","Denver"
"893102","-104.91200241","39.73184953","1000","","North","","Monaco Street","Parkway","","","","1000 North Monaco Street Parkway","","","Denver"
"893103","-104.91530824","39.67223495","2427","","South","","Kirkwood","Court","","","","2427 South Kirkwood Court","","","Denver"
"893104","-105.03153815","39.67625313","2250","","South","","Knox","Court","","","","2250 South Knox Court","","","Denver"
"893105","-104.82374359","39.78886973","5134","","North","","Chandler","Way","","","","5134 North Chandler Way","","","Denver"
"893106","-105.03090425","39.75641382","2684","","North","","Java","Court","","","","2684 North Java Court","","","Denver"
"893107","-105.01829941","39.75734208","2800","","North","","Speer","Boulevard","","","","2800 North Speer Boulevard","","","Denver"
"893108","-105.02816322","39.67781544","2115","","South","","Hazel","Way","","","","2115 South Hazel Way","","","Denver"
"893109","-105.05194696","39.68485139","1698","","South","","Zenobia","Way","","","","1698 South Zenobia Way","","","Denver"
"893110","-105.06341985","39.66375559","2816","","South","","Joslin","Court","","","","2816 South Joslin Court","","","Denver"
"893111","-104.90119035","39.73263231","1095","","North","","Roslyn","Court","","","","1095 North Roslyn Court","","","Denver"
"893112","-105.05288006","39.72969101","800","","North","","Sheridan","Boulevard","","","","800 North Sheridan Boulevard","","","Denver"
"893113","-105.02550989","39.75655369","2719","","North","","Federal","Boulevard","","","","2719 North Federal Boulevard","","","Denver"
"893114","-105.05903435","39.66297876","2852","","South","","Gray","Way","","","","2852 South Gray Way","","","Denver"
"893115","-104.92807899","39.68452551","1791","","South","","Filbert","Court","","","","1791 South Filbert Court","","","Denver"
"893116","-105.09665342","39.62908261","4864","","South","","Estes","Way","","","","4864 South Estes Way","","","Denver"
"893117","-105.01885905","39.68342486","1846","","South","","Canosa","Court","","","","1846 South Canosa Court","","","Denver"
"893118","-104.9065816","39.65771221","3236","","South","","Oneida","Way","","","","3236 South Oneida Way","","","Denver"
"893119","-104.9303174","39.69197896","1342","","South","","Edison","Way","","","","1342 South Edison Way","","","Denver"
"893120","-104.9112116","39.6426497","4114","","South","","Niagara","Way","","","","4114 South Niagara Way","","","Denver"
"893121","-105.03427176","39.77133563","3930","","North","","Lowell","Boulevard","","","","3930 North Lowell Boulevard","","","Denver"
"893122","-104.87576594","39.66091566","3066","","South","","Emporia","Court","","","","3066 South Emporia Court","","","Denver"
"893123","-105.02761362","39.68610135","1695","","South","","Hazel","Court","","","","1695 South Hazel Court","","","Denver"
"893124","-105.03820264","39.68927856","1501","","South","","Osceola","Way","","","","1501 South Osceola Way","","","Denver"
"893125","-105.02468005","39.7016362","820","","South","","Federal","Boulevard","","","","820 South Federal Boulevard","","","Denver"
"893126","-104.91158697","39.77247194","6600","","East","","Smith","Road","","","","6600 East Smith Road","","","Denver"
"893127","-105.02719637","39.71903227","140","","North","","Hazel","Court","","","","140 North Hazel Court","","","Denver"
"893128","-104.94344794","39.7546894","3729","","East","","26Th Avenue","Parkway","","","","3729 East 26Th Avenue Parkway","","","Denver"
"893129","-104.9278548","39.74210719","1601","","North","","Filbert","Court","","","","1601 North Filbert Court","","","Denver"
"893130","-104.81282624","39.78341759","5028","","North","","Fontana","Court","","","","5028 North Fontana Court","","","Denver"
"893131","-104.88665941","39.64104435","4078","","South","","Wisteria","Way","","","","4078 South Wisteria Way","","","Denver"
"893132","-104.87280782","39.65845379","3273","","South","","Florence","Court","","","","3273 South Florence Court","","","Denver"
"893133","-105.06842091","39.65108786","3601","","South","","Marshall","Way","","","","3601 South Marshall Way","","","Denver"
"893134","-104.91362287","39.76980823","3837","","North","","Monaco Street","Parkway","","","","3837 North Monaco Street Parkway","","","Denver"
