"2060033","-104.84912138","38.85332923","1830"," ","","","Landis","Court","","","B","1830 Landis Court B","Colorado Springs","80904","ElPaso"
"2060034","-104.8487492","38.85300269","1815"," ","","","Landis","Court","","","B","1815 Landis Court B","Colorado Springs","80904","ElPaso"
"2060035","-104.84874831","38.85293356","1815"," ","","","Landis","Court","","","A","1815 Landis Court A","Colorado Springs","80904","ElPaso"
"2060036","-104.84998402","38.85263028","950"," ","North","","19Th","Street","","","1/2","950 North 19Th Street 1/2","Colorado Springs","80904","ElPaso"
"2060037","-104.85938381","38.85528519","2635"," ","","","King","Street","","","A","2635 King Street A","Colorado Springs","80904","ElPaso"
"2060038","-104.80632972","38.77885347","3890"," ","","","Strawberry Field","Grove","","UNIT","C","3890 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060039","-104.80633503","38.77877723","3890"," ","","","Strawberry Field","Grove","","UNIT","D","3890 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060040","-104.80627055","38.77883166","3890"," ","","","Strawberry Field","Grove","","UNIT","G","3890 Strawberry Field Grove UNIT G","Colorado Springs","80906","ElPaso"
"2060041","-104.80675975","38.7786957","3910"," ","","","Strawberry Field","Grove","","UNIT","D","3910 Strawberry Field Grove UNIT D","Colorado Springs","80906","ElPaso"
"2060042","-104.8067086","38.77878835","3910"," ","","","Strawberry Field","Grove","","UNIT","G","3910 Strawberry Field Grove UNIT G","Colorado Springs","80906","ElPaso"
"2060043","-104.80668057","38.77869642","3910"," ","","","Strawberry Field","Grove","","UNIT","H","3910 Strawberry Field Grove UNIT H","Colorado Springs","80906","ElPaso"
"2060044","-104.80747889","38.77852734","3610"," ","","","Strawberry Field","Grove","","UNIT","H","3610 Strawberry Field Grove UNIT H","Colorado Springs","80906","ElPaso"
"2060045","-104.80801136","38.77841094","3630"," ","","","Strawberry Field","Grove","","UNIT","A","3630 Strawberry Field Grove UNIT A","Colorado Springs","80906","ElPaso"
"2060046","-104.80781446","38.77846102","3630"," ","","","Strawberry Field","Grove","","UNIT","H","3630 Strawberry Field Grove UNIT H","Colorado Springs","80906","ElPaso"
"2060047","-104.80737595","38.77819189","3625"," ","","","Strawberry Field","Grove","","UNIT","A","3625 Strawberry Field Grove UNIT A","Colorado Springs","80906","ElPaso"
"2060048","-104.80743884","38.7781446","3625"," ","","","Strawberry Field","Grove","","UNIT","H","3625 Strawberry Field Grove UNIT H","Colorado Springs","80906","ElPaso"
"2060049","-104.80759735","38.77786848","3645"," ","","","Strawberry Field","Grove","","UNIT","A","3645 Strawberry Field Grove UNIT A","Colorado Springs","80906","ElPaso"
"2060050","-104.80751711","38.77782153","3645"," ","","","Strawberry Field","Grove","","UNIT","B","3645 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060051","-104.80799413","38.77761094","3665"," ","","","Strawberry Field","Grove","","UNIT","A","3665 Strawberry Field Grove UNIT A","Colorado Springs","80906","ElPaso"
"2060052","-104.80795151","38.7776095","3665"," ","","","Strawberry Field","Grove","","UNIT","B","3665 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060053","-104.80847525","38.77759336","3650"," ","","","Strawberry Field","Grove","","UNIT","A","3650 Strawberry Field Grove UNIT A","Colorado Springs","80906","ElPaso"
"2060054","-104.82691801","38.84367397","34"," ","West","","Monument","Street","","UNIT","44","34 West Monument Street UNIT 44","Colorado Springs","80903","ElPaso"
"2060055","-104.82685553","38.84367361","34"," ","West","","Monument","Street","","UNIT","54","34 West Monument Street UNIT 54","Colorado Springs","80903","ElPaso"
"2060056","-104.82692458","38.84346306","28"," ","West","","Monument","Street","","UNIT","42","28 West Monument Street UNIT 42","Colorado Springs","80903","ElPaso"
"2060057","-104.82686207","38.84346627","28"," ","West","","Monument","Street","","UNIT","52","28 West Monument Street UNIT 52","Colorado Springs","80903","ElPaso"
"2060058","-104.80647052","38.77877923","3890"," ","","","Strawberry Field","Grove","","UNIT","A","3890 Strawberry Field Grove UNIT A","Colorado Springs","80906","ElPaso"
"2060059","-104.80646829","38.77885191","3890"," ","","","Strawberry Field","Grove","","UNIT","B","3890 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060060","-104.80694816","38.77873496","3910"," ","","","Strawberry Field","Grove","","UNIT","B","3910 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060061","-104.80678334","38.7787745","3910"," ","","","Strawberry Field","Grove","","UNIT","C","3910 Strawberry Field Grove UNIT C","Colorado Springs","80906","ElPaso"
"2060062","-104.80759791","38.77850064","3610"," ","","","Strawberry Field","Grove","","UNIT","A","3610 Strawberry Field Grove UNIT A","Colorado Springs","80906","ElPaso"
"2060063","-104.80761122","38.77854124","3610"," ","","","Strawberry Field","Grove","","UNIT","B","3610 Strawberry Field Grove UNIT B","Colorado Springs","80906","ElPaso"
"2060064","-104.85944965","38.85528556","2635"," ","","","King","Street","","","B","2635 King Street B","Colorado Springs","80904","ElPaso"
"2060065","-104.85795817","38.85532326","2535"," ","","","King","Street","","","D","2535 King Street D","Colorado Springs","80904","ElPaso"
"2060066","-104.85789408","38.85533149","2535"," ","","","King","Street","","","C","2535 King Street C","Colorado Springs","80904","ElPaso"
