"2330016","2920084.97089","1211193.29279","218",""," ","","Village","Drive"," ","","","218 Village Drive ","","80482","Grand"
"2330017","2920084.97089","1211193.29279","218",""," ","","Village","Drive"," ","","","218 Village Drive ","","80482","Grand"
"2330018","2903913.3211","1337262.51601","218_230",""," ","Co Rd","County Road 4941","Circle"," ","","","218_230 County Road 4941 Circle ","","80447","Grand"
"2330019","2919426.94561","1220628.65682","2185",""," ","","Pioneer Trail","Trail"," ","","","2185 Pioneer Trail Trail ","","80442","Grand"
"2330020","2919278.23724","1220706.83284","2188",""," ","","Pioneer Trail","Trail"," ","","","2188 Pioneer Trail Trail ","","80442","Grand"
"2330021","2926493.62734","1198416.51456","219",""," ","","Bridger Trail","Trail"," ","","","219 Bridger Trail Trail ","","80482","Grand"
"2330022","2896233.92569","1318200.46451","219",""," ","Co Rd","County Road 4441","Street"," ","","","219 County Road 4441 Street ","","80447","Grand"
"2330023","2902842.82701","1331291.62473","219",""," ","Co Rd","County Road 4694","Lane"," ","","","219 County Road 4694 Lane ","","80447","Grand"
"2330024","2911510.75835","1223285.50649","219",""," ","","Doc Susie","Avenue"," ","","","219 Doc Susie Avenue ","","80442","Grand"
"2330025","2919175.32013","1212537.94728","219",""," ","","Vasquez","Road"," ","","","219 Vasquez Road ","","80482","Grand"
"2330026","2919187.73031","1212701.02402","219",""," ","","Vasquez","Road"," ","","","219 Vasquez Road ","","80482","Grand"
"2330027","2919187.73031","1212701.02402","219",""," ","","Vasquez","Road"," ","","","219 Vasquez Road ","","80482","Grand"
"2330028","2919187.73031","1212701.02402","219",""," ","","Vasquez","Road"," ","","","219 Vasquez Road ","","80482","Grand"
"2330029","2919187.73031","1212701.02402","219",""," ","","Vasquez","Road"," ","","","219 Vasquez Road ","","80482","Grand"
"2330030","2919187.73031","1212701.02402","219",""," ","","Vasquez","Road"," ","","","219 Vasquez Road ","","80482","Grand"
"2330031","2919187.73031","1212701.02402","219",""," ","","Vasquez","Road"," ","","","219 Vasquez Road ","","80482","Grand"
"2330032","2919187.73031","1212701.02402","219",""," ","","Vasquez","Road"," ","","","219 Vasquez Road ","","80482","Grand"
"2330033","2919187.73031","1212701.02402","219",""," ","","Vasquez","Road"," ","","","219 Vasquez Road ","","80482","Grand"
"2330034","2919187.73031","1212701.02402","219",""," ","","Vasquez","Road"," ","","","219 Vasquez Road ","","80482","Grand"
"2330035","2919078.99059","1212746.19063","219 (1-10)",""," ","","Vasquez","Road"," ","","","219 (1-10) Vasquez Road ","","80482","Grand"
"2330036","2919133.58957","1212821.01167","219 (1-10)",""," ","","Vasquez","Road"," ","","","219 (1-10) Vasquez Road ","","80482","Grand"
"2330037","2919140.33004","1212670.02182","219 (1-10)",""," ","","Vasquez","Road"," ","","","219 (1-10) Vasquez Road ","","80482","Grand"
"2330038","2919155.83362","1212717.87999","219 (1-10)",""," ","","Vasquez","Road"," ","","","219 (1-10) Vasquez Road ","","80482","Grand"
"2330039","2919178.07767","1212610.70435","219 (1-10)",""," ","","Vasquez","Road"," ","","","219 (1-10) Vasquez Road ","","80482","Grand"
"2330040","2919178.75155","1212754.95341","219 (1-10)",""," ","","Vasquez","Road"," ","","","219 (1-10) Vasquez Road ","","80482","Grand"
"2330041","2919190.88473","1212686.87316","219 (1-10)",""," ","","Vasquez","Road"," ","","","219 (1-10) Vasquez Road ","","80482","Grand"
"2330042","2919225.26195","1212652.49593","219 (1-10)",""," ","","Vasquez","Road"," ","","","219 (1-10) Vasquez Road ","","80482","Grand"
"2330043","2899907.43625","1314713.02785","2193",""," ","Co Rd","County Road 642","Drive"," ","","","2193 County Road 642 Drive ","","80447","Grand"
"2330044","2872968.79401","1316301.09272","22",""," ","Co Rd","County Road 412","Road"," ","","","22 County Road 412 Road ","","80446","Grand"
"2330045","2893787.26764","1317051.93728","22",""," ","Co Rd","County Road 4435","Lane"," ","","","22 County Road 4435 Lane ","","80447","Grand"
"2330046","2898697.05308","1318614.09915","22",""," ","Co Rd","County Road 4574","Lane"," ","","","22 County Road 4574 Lane ","","80447","Grand"
"2330047","2902934.46629","1332480.80634","22",""," ","Co Rd","County Road 472","Drive"," ","","","22 County Road 472 Drive ","","80447","Grand"
"2330048","2900579.81678","1336166.46179","22",""," ","Co Rd","County Road 4982","Lane"," ","","","22 County Road 4982 Lane ","","80447","Grand"
"2330049","2907576.089","1223316.009","22",""," ","Co Rd","County Road 731","Road"," ","","","22 County Road 731 Road ","","80442","Grand"
"2330050","2917796.52433","1211809.96186","22",""," ","","Crescent View","Lane"," ","","","22 Crescent View Lane ","","80482","Grand"
"2330051","2919283.30383","1212315.31551","22",""," ","","Idlewild","Lane"," ","","","22 Idlewild Lane ","","80482","Grand"
"2330052","2920321.20497","1217576.51036","22",""," ","","Pinecone Trl","Trail"," ","","","22 Pinecone Trl Trail ","","80442","Grand"
"2330053","2918896.53033","1216713.98879","22",""," ","","Second","Street"," ","","","22 Second Street ","","80482","Grand"
"2330054","2920629.63283","1216778.57889","22",""," ","","Stagecoach","Way"," ","","","22 Stagecoach Way ","","80482","Grand"
"2330055","2876502.56844","1275294.99266","22","","East","","E Garnet","Avenue"," ","","","22 East E Garnet Avenue ","","80446","Grand"
"2330056","2881313.99069","1274539.6524","220",""," ","","11Th","Street"," ","","","220 11Th Street ","","80446","Grand"
"2330057","2910045.13003","1223379.22816","220",""," ","","Carriage","Road"," ","","","220 Carriage Road ","","80442","Grand"
"2330058","2910045.13003","1223379.22816","220",""," ","","Carriage","Road"," ","","","220 Carriage Road ","","80442","Grand"
"2330059","2910045.13003","1223379.22816","220",""," ","","Carriage","Road"," ","","","220 Carriage Road ","","80442","Grand"
"2330060","2910045.13005","1223379.22809","220",""," ","","Carriage","Road"," ","","","220 Carriage Road ","","80442","Grand"
"2330061","2719439.50294","1286981.47832","220",""," ","Co Rd","County Road 193","Drive"," ","","","220 County Road 193 Drive ","","80459","Grand"
"2330062","2895114.44346","1315333.25358","220",""," ","Co Rd","County Road 442","Road"," ","","","220 County Road 442 Road ","","80447","Grand"
"2330063","2894411.64412","1315108.64018","220",""," ","Co Rd","County Road 4421","Road"," ","","","220 County Road 4421 Road ","","80447","Grand"
"2330064","2898694.75887","1318987.25903","220",""," ","Co Rd","County Road 4571","Drive"," ","","","220 County Road 4571 Drive ","","80447","Grand"
"2330065","2902168.89415","1327573.5721","220",""," ","Co Rd","County Road 4655","Trail"," ","","","220 County Road 4655 Trail ","","80447","Grand"
"2330066","2909322.562","1227660.938","220",""," ","Co Rd","County Road 514","Road"," ","","","220 County Road 514 Road ","","80478","Grand"
