"2333209","2927118.80808","1198902.82405","464",""," ","","Iron Horse","Way"," ","","","464 Iron Horse Way ","","80482","Grand"
"2333210","2899065.53685","1326049.73623","465",""," ","Co Rd","County Road 4632","Road"," ","","","465 County Road 4632 Road ","","80447","Grand"
"2333211","2900956.02819","1317137.60035","465",""," ","Co Rd","County Road 6428","Drive"," ","","","465 County Road 6428 Drive ","","80447","Grand"
"2333212","2918114.80814","1213635.95558","465",""," ","","Forest Trl","Trail"," ","","","465 Forest Trl Trail ","","80482","Grand"
"2333213","2713367.4256","1294325.90694","466",""," ","Co Rd","County Road 165","Way"," ","","","466 County Road 165 Way ","","80459","Grand"
"2333214","2899043.99949","1318864.96952","466",""," ","Co Rd","County Road 4571","Drive"," ","","","466 County Road 4571 Drive ","","80447","Grand"
"2333215","2918370.51137","1213636.82467","466",""," ","","Forest Trl","Trail"," ","","","466 Forest Trl Trail ","","80482","Grand"
"2333216","2920171.97069","1217375.46746","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333217","2920171.97085","1217375.46726","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333218","2920171.97085","1217375.46726","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333219","2920171.97085","1217375.46726","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333220","2920171.97085","1217375.46726","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333221","2920171.97085","1217375.46726","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333222","2920171.97085","1217375.46726","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333223","2920171.97085","1217375.46726","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333224","2920171.97085","1217375.46726","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333225","2920171.97085","1217375.46726","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333226","2920171.97085","1217375.46726","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333227","2920171.97085","1217375.46726","466",""," ","","Hi Country","Drive"," ","","","466 Hi Country Drive ","","80482","Grand"
"2333228","2927123.40945","1198876.7283","466",""," ","","Iron Horse","Way"," ","","","466 Iron Horse Way ","","80482","Grand"
"2333229","2872788.25629","1315684.58595","4662",""," ","Co Rd","County Road 41","Road"," ","","","4662 County Road 41 Road ","","80446","Grand"
"2333230","2785671.333","1232110.373","4663",""," ","Co Rd","County Road 3701","Drive"," ","","","4663 County Road 3701 Drive ","","80468","Grand"
"2333231","2900953.47455","1335498.29928","467",""," ","Co Rd","County Road 4980","Road"," ","","","467 County Road 4980 Road ","","80447","Grand"
"2333232","2901595.85737","1318627.24553","467",""," ","Co Rd","County Road 662","Drive"," ","","","467 County Road 662 Drive ","","80447","Grand"
"2333233","2891062.87399","1243997.96346","467",""," ","Co Rd","County Road 86","Circle"," ","","","467 County Road 86 Circle ","","80478","Grand"
"2333234","2878456.71388","1274940.60173","467",""," ","","E Topaz","Avenue"," ","","","467 E Topaz Avenue ","","80446","Grand"
"2333235","2902962.18635","1329996.20541","468",""," ","Co Rd","County Road 469","Circle"," ","","","468 County Road 469 Circle ","","80447","Grand"
"2333236","2916483.5345","1214073.59906","468",""," ","","Leland Creek","Way"," ","","","468 Leland Creek Way ","","80482","Grand"
"2333237","2894705.15822","1326134.50263","469",""," ","Co Rd","County Road 4541","Loop"," ","","","469 County Road 4541 Loop ","","80447","Grand"
"2333238","2898931.62653","1324014.04682","469",""," ","Co Rd","County Road 4634","Road"," ","","","469 County Road 4634 Road ","","80447","Grand"
"2333239","2872769.15991","1315880.37062","4698",""," ","Co Rd","County Road 41","Road"," ","","","4698 County Road 41 Road ","","80446","Grand"
"2333240","2925648.93316","1203282.03502","47",""," ","","Cedar","Drive"," ","","","47 Cedar Drive ","","80482","Grand"
"2333241","2920020.78464","1212984.80498","47",""," ","","Cooper Creek","Way"," ","","","47 Cooper Creek Way ","","80482","Grand"
"2333242","2893055.45862","1313232.95608","47",""," ","Co Rd","County Road 4038","Road"," ","","","47 County Road 4038 Road ","","80447","Grand"
"2333243","2886667.50395","1308930.19896","47",""," ","Co Rd","County Road 4107","Road"," ","","","47 County Road 4107 Road ","","80446","Grand"
"2333244","2894531.22802","1314399.79282","47",""," ","Co Rd","County Road 4423"," "," ","","","47 County Road 4423 ","","80447","Grand"
"2333245","2903178.45273","1332836.75082","47",""," ","Co Rd","County Road 471","Drive"," ","","","47 County Road 471 Drive ","","80447","Grand"
"2333246","2896063.95347","1311433.84621","47",""," ","Co Rd","County Road 6451","Drive"," ","","","47 County Road 6451 Drive ","","80447","Grand"
"2333247","2901147.15101","1324590.70167","47",""," ","Co Rd","County Road 685","Drive"," ","","","47 County Road 685 Drive ","","80447","Grand"
"2333248","2913826.63798","1224713.90008","47",""," ","Co Rd","County Road 834","Avenue"," ","","","47 County Road 834 Avenue ","","80478","Grand"
"2333249","2913826.63798","1224713.90008","47",""," ","Co Rd","County Road 834","Avenue"," ","","","47 County Road 834 Avenue ","","80478","Grand"
"2333250","2913826.63798","1224713.90008","47",""," ","Co Rd","County Road 834","Avenue"," ","","","47 County Road 834 Avenue ","","80478","Grand"
"2333251","2913826.63798","1224713.90008","47",""," ","Co Rd","County Road 834","Avenue"," ","","","47 County Road 834 Avenue ","","80478","Grand"
"2333252","2913826.63798","1224713.90008","47",""," ","Co Rd","County Road 834","Avenue"," ","","","47 County Road 834 Avenue ","","80478","Grand"
"2333253","2913826.63798","1224713.90008","47",""," ","Co Rd","County Road 834","Avenue"," ","","","47 County Road 834 Avenue ","","80478","Grand"
"2333254","2913826.63798","1224713.90008","47",""," ","Co Rd","County Road 834","Avenue"," ","","","47 County Road 834 Avenue ","","80478","Grand"
"2333255","2913826.63798","1224713.90008","47",""," ","Co Rd","County Road 834","Avenue"," ","","","47 County Road 834 Avenue ","","80478","Grand"
"2333256","2913826.63798","1224713.90008","47",""," ","Co Rd","County Road 834","Avenue"," ","","","47 County Road 834 Avenue ","","80478","Grand"
"2333257","2913826.63798","1224713.90008","47",""," ","Co Rd","County Road 834","Avenue"," ","","","47 County Road 834 Avenue ","","80478","Grand"
"2333258","2920886.00371","1216594.69802","47",""," ","","Longs Peak","Drive"," ","","","47 Longs Peak Drive ","","80482","Grand"
"2333259","2908490.8866","1330906.70896","47",""," ","","Shoreline","Way"," ","","","47 Shoreline Way ","","80447","Grand"
"2333260","2920427.84537","1211701.47752","47",""," ","","Village","Drive"," ","","","47 Village Drive ","","80482","Grand"
"2333261","2920630.94779","1213146.03333","47",""," ","","Wanderers","Way"," ","","","47 Wanderers Way ","","80482","Grand"
"2333262","2876416.28573","1274630.5037","47",""," ","","Zero","Street"," ","","","47 Zero Street ","","80446","Grand"
"2333263","2880177.29273","1275493.33175","470",""," ","","Casa","Drive"," ","","","470 Casa Drive ","","80446","Grand"
"2333264","2927107.7721","1198799.0361","470",""," ","","Iron Horse","Way"," ","","","470 Iron Horse Way ","","80482","Grand"
"2333265","2919019.3715","1213173.33749","470",""," ","","Kings Crossing","Road"," ","","","470 Kings Crossing Road ","","80482","Grand"
"2333266","2921876.31374","1216333.58306","470",""," ","","Reunion Ct","Court"," ","","","470 Reunion Ct Court ","","80482","Grand"
"2333267","2771767.12393","1282761.31654","4701",""," ","Co Rd","County Road 222","Road"," ","","","4701 County Road 222 Road ","","80459","Grand"
"2333268","2880008.92883","1275492.78417","471",""," ","","Casa","Drive"," ","","","471 Casa Drive ","","80446","Grand"
"2333269","2712819.1785","1294292.14686","471",""," ","Co Rd","County Road 165","Way"," ","","","471 County Road 165 Way ","","80459","Grand"
"2333270","2790654.47637","1234018.68685","471",""," ","Co Rd","County Road 373"," "," ","","","471 County Road 373 ","","80468","Grand"
"2333271","2902515.18952","1336405.45758","471",""," ","Co Rd","County Road 494","Drive"," ","","","471 County Road 494 Drive ","","80447","Grand"
"2333272","2919849.99711","1217231.00283","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333273","2919849.99711","1217231.00283","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333274","2919849.99711","1217231.00283","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333275","2919849.99711","1217231.00283","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333276","2919849.99711","1217231.00283","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333277","2919849.99711","1217231.00283","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333278","2919849.99711","1217231.00283","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333279","2919849.99711","1217231.00283","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333280","2919849.99711","1217231.00283","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333281","2919849.99711","1217231.00283","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333282","2919849.99711","1217231.00283","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333283","2919849.99725","1217231.00285","471",""," ","","Hi Country","Drive"," ","","","471 Hi Country Drive ","","80482","Grand"
"2333284","2909973.14201","1224396.58235","471",""," ","","Muse","Drive"," ","","","471 Muse Drive ","","80442","Grand"
"2333285","2873308.49638","1315602.45646","4716",""," ","Co Rd","County Road 41","Road"," ","","","4716 County Road 41 Road ","","80446","Grand"
"2333286","2873428.50809","1316291.68602","4716",""," ","Co Rd","County Road 41","Road"," ","","","4716 County Road 41 Road ","","80446","Grand"
"2333287","2915429.20803","1222169.77749","472",""," ","Co Rd","County Road 834","Avenue"," ","","","472 County Road 834 Avenue ","","80482","Grand"
"2333288","2915429.20803","1222169.77749","472",""," ","Co Rd","County Road 834","Avenue"," ","","","472 County Road 834 Avenue ","","80482","Grand"
"2333289","2915429.20803","1222169.77749","472",""," ","Co Rd","County Road 834","Avenue"," ","","","472 County Road 834 Avenue ","","80482","Grand"
"2333290","2915429.20803","1222169.77749","472",""," ","Co Rd","County Road 834","Avenue"," ","","","472 County Road 834 Avenue ","","80482","Grand"
"2333291","2915429.20803","1222169.77749","472",""," ","Co Rd","County Road 834","Avenue"," ","","","472 County Road 834 Avenue ","","80482","Grand"
"2333292","2927149.13225","1198817.52064","472",""," ","","Iron Horse","Way"," ","","","472 Iron Horse Way ","","80482","Grand"
"2333293","2919019.3715","1213173.33749","472",""," ","","Kings Crossing","Road"," ","","","472 Kings Crossing Road ","","80482","Grand"
"2333294","2899191.59256","1318852.69842","473",""," ","Co Rd","County Road 4571","Drive"," ","","","473 County Road 4571 Drive ","","80447","Grand"
"2333295","2897692.20081","1321509.85803","473",""," ","Co Rd","County Road 462","Lane"," ","","","473 County Road 462 Lane ","","80447","Grand"
"2333296","2916784.59754","1213802.84764","473",""," ","","Leland Creek","Way"," ","","","473 Leland Creek Way ","","80482","Grand"
"2333297","2918938.89803","1195921.70033","473",""," ","","Vasquez Ridgeive"," "," ","","","473 Vasquez Ridgeive ","","80482","Grand"
"2333298","2872767.54063","1315963.50452","4734",""," ","Co Rd","County Road 41","Road"," ","","","4734 County Road 41 Road ","","80446","Grand"
"2333299","2904216.54397","1334854.77459","474",""," ","Co Rd","County Road 48","Road"," ","","","474 County Road 48 Road ","","80447","Grand"
"2333300","2900997.64768","1335319.59518","474",""," ","Co Rd","County Road 4980","Road"," ","","","474 County Road 4980 Road ","","80447","Grand"
"2333301","2896040.02102","1314082.59406","474",""," ","Co Rd","County Road 6410","Drive"," ","","","474 County Road 6410 Drive ","","80447","Grand"
"2333302","2927241.6313","1198847.77863","474",""," ","","Iron Horse","Way"," ","","","474 Iron Horse Way ","","80482","Grand"
"2333303","2919019.3715","1213173.33749","474",""," ","","Kings Crossing","Road"," ","","","474 Kings Crossing Road ","","80482","Grand"
"2333304","2878471.25039","1274322.42322","474","","East","","E Jasper","Avenue"," ","","","474 East E Jasper Avenue ","","80446","Grand"
"2333305","2902671.49837","1336306.47995","476",""," ","Co Rd","County Road 494","Drive"," ","","","476 County Road 494 Drive ","","80447","Grand"
"2333306","2927262.5385","1198874.39862","476",""," ","","Iron Horse","Way"," ","","","476 Iron Horse Way ","","80482","Grand"
"2333307","2919019.3715","1213173.33749","476",""," ","","Kings Crossing","Road"," ","","","476 Kings Crossing Road ","","80482","Grand"
"2333308","2918798.14306","1210360.94015","476, 504",""," ","","Timber","Drive"," ","","","476, 504 Timber Drive ","","80482","Grand"
"2333309","2872846.63549","1316136.80084","4762",""," ","Co Rd","County Road 41","Road"," ","","","4762 County Road 41 Road ","","80446","Grand"
"2333310","2713100.74029","1291630.77228","477",""," ","Co Rd","County Road 164","Drive"," ","","","477 County Road 164 Drive ","","80459","Grand"
"2333311","2898506.1973","1312073.19797","477",""," ","Co Rd","County Road 645","Lane"," ","","","477 County Road 645 Lane ","","80447","Grand"
"2333312","2919755.96726","1217379.10492","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333313","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333314","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333315","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333316","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333317","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333318","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333319","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333320","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333321","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333322","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333323","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333324","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333325","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333326","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333327","2919755.96744","1217379.10475","477",""," ","","Hi Country","Drive"," ","","","477 Hi Country Drive ","","80482","Grand"
"2333328","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333329","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333330","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333331","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333332","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333333","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333334","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333335","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333336","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333337","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333338","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333339","2927230.58297","1199271.35009","477",""," ","","Iron Horse","Way"," ","","","477 Iron Horse Way ","","80482","Grand"
"2333340","2833480.33872","1270387.58999","477","","East","","E Grand","Avenue"," ","","","477 East E Grand Avenue ","","80451","Grand"
"2333341","2712392.45796","1291771.17545","478",""," ","Co Rd","County Road 164","Drive"," ","","","478 County Road 164 Drive ","","80459","Grand"
"2333342","2927267.6461","1198898.82344","478",""," ","","Iron Horse","Way"," ","","","478 Iron Horse Way ","","80482","Grand"
"2333343","2919019.3715","1213173.33749","478",""," ","","Kings Crossing","Road"," ","","","478 Kings Crossing Road ","","80482","Grand"
"2333344","2910079.87014","1224207.75924","478, 480",""," ","","Muse","Drive"," ","","","478, 480 Muse Drive ","","80442","Grand"
"2333345","2900413.56582","1325730.52072","478_520",""," ","Co Rd","County Road 465","Drive"," ","","","478_520 County Road 465 Drive ","","80447","Grand"
"2333346","2900516.41781","1325996.18856","479",""," ","Co Rd","County Road 465","Drive"," ","","","479 County Road 465 Drive ","","80447","Grand"
"2333347","2901602.99063","1318772.86875","479",""," ","Co Rd","County Road 662","Drive"," ","","","479 County Road 662 Drive ","","80447","Grand"
"2333348","2918875.75445","1210538.48704","479",""," ","","Timber","Drive"," ","","","479 Timber Drive ","","80482","Grand"
"2333349","2773113.84883","1282691.4581","4790",""," ","Co Rd","County Road 222","Road"," ","","","4790 County Road 222 Road ","","80459","Grand"
"2333350","2872800.30109","1316544.38396","4790",""," ","Co Rd","County Road 41","Road"," ","","","4790 County Road 41 Road ","","80446","Grand"
"2333351","2712060.64264","1284689.33625","48",""," ","Co Rd","County Road 161","Road"," ","","","48 County Road 161 Road ","","80459","Grand"
"2333352","2891667.11051","1313345.29443","48",""," ","Co Rd","County Road 4033","Road"," ","","","48 County Road 4033 Road ","","80447","Grand"
"2333353","2891408.59717","1313643.69013","48",""," ","Co Rd","County Road 4034","Road"," ","","","48 County Road 4034 Road ","","80447","Grand"
"2333354","2892445.19667","1313983.79944","48",""," ","Co Rd","County Road 4039","Lane"," ","","","48 County Road 4039 Lane ","","80447","Grand"
"2333355","2873086.85984","1316462.44796","48",""," ","Co Rd","County Road 412","Road"," ","","","48 County Road 412 Road ","","80446","Grand"
"2333356","2896861.99091","1317308.42378","48",""," ","Co Rd","County Road 4456","Drive"," ","","","48 County Road 4456 Drive ","","80447","Grand"
"2333357","2891000.97942","1314870.42051","48",""," ","Co Rd","County Road 4481","Road"," ","","","48 County Road 4481 Road ","","80447","Grand"
"2333358","2899524.83361","1325236.84679","48",""," ","Co Rd","County Road 4652","Drive"," ","","","48 County Road 4652 Drive ","","80447","Grand"
"2333359","2902856.46231","1330686.57178","48",""," ","Co Rd","County Road 4693","Road"," ","","","48 County Road 4693 Road ","","80447","Grand"
"2333360","2901187.31395","1335910.18386","48",""," ","Co Rd","County Road 4947","Drive"," ","","","48 County Road 4947 Drive ","","80447","Grand"
"2333361","2900789.52731","1336120.68212","48",""," ","Co Rd","County Road 4982","Lane"," ","","","48 County Road 4982 Lane ","","80447","Grand"
"2333362","2900675.15644","1335686.37368","48",""," ","Co Rd","County Road 4983","Place"," ","","","48 County Road 4983 Place ","","80447","Grand"
"2333363","2902039.19461","1335741.41212","48",""," ","Co Rd","County Road 4985","Lane"," ","","","48 County Road 4985 Lane ","","80447","Grand"
"2333364","2896403.12466","1311865.3344","48",""," ","Co Rd","County Road 645","Lane"," ","","","48 County Road 645 Lane ","","80447","Grand"
"2333365","2904856.12931","1332432.38706","48",""," ","Co Rd","County Road 691","Lane"," ","","","48 County Road 691 Lane ","","80447","Grand"
"2333366","2925198.42094","1203776.28304","48",""," ","","Fir","Drive"," ","","","48 Fir Drive ","","80482","Grand"
"2333367","2908583.45834","1331050.22752","48",""," ","","Shoreline","Way"," ","","","48 Shoreline Way ","","80447","Grand"
"2333368","2920002.71676","1217444.87644","480",""," ","","Hi Country","Drive"," ","","","480 Hi Country Drive ","","80482","Grand"
"2333369","2920002.71686","1217444.87654","480",""," ","","Hi Country","Drive"," ","","","480 Hi Country Drive ","","80482","Grand"
"2333370","2920002.71686","1217444.87654","480",""," ","","Hi Country","Drive"," ","","","480 Hi Country Drive ","","80482","Grand"
"2333371","2920002.71686","1217444.87654","480",""," ","","Hi Country","Drive"," ","","","480 Hi Country Drive ","","80482","Grand"
"2333372","2920002.71686","1217444.87654","480",""," ","","Hi Country","Drive"," ","","","480 Hi Country Drive ","","80482","Grand"
"2333373","2920002.71686","1217444.87654","480",""," ","","Hi Country","Drive"," ","","","480 Hi Country Drive ","","80482","Grand"
"2333374","2920002.71686","1217444.87654","480",""," ","","Hi Country","Drive"," ","","","480 Hi Country Drive ","","80482","Grand"
"2333375","2920002.71686","1217444.87654","480",""," ","","Hi Country","Drive"," ","","","480 Hi Country Drive ","","80482","Grand"
"2333376","2920002.71686","1217444.87654","480",""," ","","Hi Country","Drive"," ","","","480 Hi Country Drive ","","80482","Grand"
"2333377","2927274.50534","1198924.4205","480",""," ","","Iron Horse","Way"," ","","","480 Iron Horse Way ","","80482","Grand"
"2333378","2918861.84405","1215875.01836","480",""," ","","Lions Gate","Drive"," ","","","480 Lions Gate Drive ","","80482","Grand"
"2333379","2910079.87002","1224207.75928","480",""," ","","Muse","Drive"," ","","","480 Muse Drive ","","80442","Grand"
"2333380","2878435.14324","1273915.5965","480","","East","","E Agate","Avenue"," ","","","480 East E Agate Avenue ","","80446","Grand"
"2333381","2878506.68263","1274651.70953","480","","East","","E Topaz","Avenue"," ","","","480 East E Topaz Avenue ","","80446","Grand"
"2333382","2910093.80023","1224399.90781","481",""," ","","Muse","Drive"," ","","","481 Muse Drive ","","80442","Grand"
"2333383","2910083.56366","1224383.31279","481A",""," ","","Muse","Drive"," ","","","481A Muse Drive ","","80442","Grand"
"2333384","2910111.27139","1224383.4765","481B",""," ","","Muse","Drive"," ","","","481B Muse Drive ","","80442","Grand"
"2333385","2910103.32419","1224417.07952","481C",""," ","","Muse","Drive"," ","","","481C Muse Drive ","","80442","Grand"
"2333386","2910075.5688","1224416.99609","481D",""," ","","Muse","Drive"," ","","","481D Muse Drive ","","80442","Grand"
"2333387","2898367.25568","1325823.47197","482",""," ","Co Rd","County Road 464","Road"," ","","","482 County Road 464 Road ","","80447","Grand"
"2333388","2902990.94842","1330098.81039","482",""," ","Co Rd","County Road 469","Circle"," ","","","482 County Road 469 Circle ","","80447","Grand"
"2333389","2772760.65932","1283362.64114","4820",""," ","Co Rd","County Road 222","Road"," ","","","4820 County Road 222 Road ","","80459","Grand"
"2333390","2898392.11523","1319205.616","483",""," ","Co Rd","County Road 4454","Road"," ","","","483 County Road 4454 Road ","","80447","Grand"
"2333391","2903113.62882","1330045.9343","483",""," ","Co Rd","County Road 469","Circle"," ","","","483 County Road 469 Circle ","","80447","Grand"
"2333392","2901024.3676","1335498.86872","483",""," ","Co Rd","County Road 4980","Road"," ","","","483 County Road 4980 Road ","","80447","Grand"
"2333393","2717937.30572","1285216.13276","484",""," ","Co Rd","County Road 1931","Court"," ","","","484 County Road 1931 Court ","","80459","Grand"
"2333394","2874126.1402","1319347.54286","484",""," ","Co Rd","County Road 413","Road"," ","","","484 County Road 413 Road ","","80446","Grand"
"2333395","2898118.17641","1319172.90402","484",""," ","Co Rd","County Road 4454","Road"," ","","","484 County Road 4454 Road ","","80447","Grand"
"2333396","2916429.4165","1213984.33382","484",""," ","","Leland Creek","Way"," ","","","484 Leland Creek Way ","","80482","Grand"
"2333397","2911288.25043","1334414.99407","484",""," ","","Pitkin","Street"," ","","","484 Pitkin Street ","","80447","Grand"
"2333398","2872923.50894","1316831.73518","4846",""," ","Co Rd","County Road 41","Road"," ","","","4846 County Road 41 Road ","","80446","Grand"
"2333399","2903718.43775","1332473.98519","485",""," ","Co Rd","County Road 47","Drive"," ","","","485 County Road 47 Drive ","","80447","Grand"
"2333400","2902480.66615","1336349.22129","485",""," ","Co Rd","County Road 494","Drive"," ","","","485 County Road 494 Drive ","","80447","Grand"
"2333401","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333402","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333403","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333404","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333405","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333406","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333407","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333408","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333409","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333410","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333411","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333412","2877041.36385","1275915.77304","485","","North","","N 2Nd","Street"," ","","","485 North N 2Nd Street ","","80446","Grand"
"2333413","2897762.12976","1321729.24114","486",""," ","Co Rd","County Road 462","Lane"," ","","","486 County Road 462 Lane ","","80447","Grand"
"2333414","2903622.79667","1335092.72498","486",""," ","Co Rd","County Road 471","Drive"," ","","","486 County Road 471 Drive ","","80447","Grand"
"2333415","2874377.99106","1274567.60932","486","","West","","W Agate","Avenue"," ","","","486 West W Agate Avenue ","","80446","Grand"
"2333416","2897581.17191","1323185.51936","487",""," ","Co Rd","County Road 46"," "," ","","","487 County Road 46 ","","80447","Grand"
"2333417","2903924.02193","1332487.26427","487",""," ","Co Rd","County Road 47","Drive"," ","","","487 County Road 47 Drive ","","80447","Grand"
"2333418","2918112.50171","1213734.69784","487",""," ","","Forest Trl","Trail"," ","","","487 Forest Trl Trail ","","80482","Grand"
"2333419","2916674.47703","1213691.25304","487",""," ","","Leland Creek","Way"," ","","","487 Leland Creek Way ","","80482","Grand"
"2333420","2872981.39606","1316950.42214","4874",""," ","Co Rd","County Road 41","Road"," ","","","4874 County Road 41 Road ","","80446","Grand"
"2333421","2716497.56812","1295847.40566","488",""," ","Co Rd","County Road 1901","Court"," ","","","488 County Road 1901 Court ","","80459","Grand"
"2333422","2719822.86442","1288203.22482","488",""," ","Co Rd","County Road 193","Drive"," ","","","488 County Road 193 Drive ","","80459","Grand"
"2333423","2899043.92766","1318764.69743","488",""," ","Co Rd","County Road 4571","Drive"," ","","","488 County Road 4571 Drive ","","80447","Grand"
"2333424","2901065.53672","1335320.8565","488",""," ","Co Rd","County Road 4980","Road"," ","","","488 County Road 4980 Road ","","80447","Grand"
