300018,005-019727-326195,NULL,-104.75645623,39.65767961,19727, ,East, ,Eldorado,Drive, ,NULL, ,19727 East Eldorado Drive ,Aurora Co,80013, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C044065C769305AC0E03E72D82ED44340
300019,005-021181-326196,NULL,-104.74035976,39.65753288,21181, ,East, ,Flora,Place, ,NULL, ,21181 East Flora Place ,Aurora Co,80013, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CB8E5E30D622F5AC090D293092AD44340
300020,005-020077-326197,NULL,-104.75282074,39.65760649,20077, ,East, ,Dartmouth,Drive, ,NULL, ,20077 East Dartmouth Drive ,Aurora Co,80013, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CB83706372E305AC080CC0B732CD44340
300021,005-003248-326198,NULL,-104.76608324,39.65774212,3248, ,South, ,Cathay,Circle, ,NULL, ,3248 South Cathay Circle ,Aurora Co,80013, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C1074FF8107315AC050BED5E430D44340
300022,005-016922-326199,NULL,-104.79075529,39.65775540,16922, ,East, ,Eastman,Place, ,NULL, ,16922 East Eastman Place ,Aurora Co,80013, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C743310BC9B325AC0384B2D5431D44340
300023,005-003250-326200,NULL,-104.76740063,39.65778634,3250, ,South, ,Biscay,Way, ,NULL, ,3250 South Biscay Way ,Aurora Co,80013, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CC84489171D315AC06878C75732D44340
300024,005-003172-326201,NULL,-104.97432236,39.65893336,3172, ,South, ,Corona,Street, ,NULL, ,3172 South Corona Street ,Englewood Co,80113, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C48232E4C5B3E5AC04804ACED57D44340
300025,005-003126-326202,NULL,-105.00193932,39.65892434,3126, ,South, ,Platte River,Drive, ,NULL, ,3126 South Platte River Drive ,Englewood Co,80110, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C004A1DC61F405AC010FAF6A157D44340
300026,005-014650-326203,NULL,-104.81688569,39.65802123,14650, ,East, ,Floyd,Avenue, ,NULL, ,14650 East Floyd Avenue ,Aurora Co,80014, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C1426F0DA47345AC08050250A3AD44340
300027,005-003234-326204,NULL,-104.76828673,39.65777031,3234, ,South, ,Bahama,Street, ,NULL, ,3234 South Bahama Street ,Aurora Co,80013, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C3CD31A9C2B315AC0B84E4FD131D44340
