"20258","-105.53146659","38.59878121","969","","","Cr","26","","","","","969 Cr 26","Canon City","81212","Fremont"
"20259","-105.52637634","38.59023447","1169","","","Cr","26","","","","","1169 Cr 26","Canon City","81212","Fremont"
"20260","-105.52646486","38.58965994","1223","","","Cr","26","","","","","1223 Cr 26","Canon City","81212","Fremont"
"20261","-105.52744272","38.58731986","1378","","","Cr","26","","","","","1378 Cr 26","Canon City","81212","Fremont"
"20262","-105.52768886","38.58664573","1416","","","Cr","26","","","","","1416 Cr 26","Canon City","81212","Fremont"
"20263","-105.52777904","38.58581343","1482","","","Cr","26","","","","","1482 Cr 26","Canon City","81212","Fremont"
"20264","-105.52826845","38.58500358","1548","","","Cr","26","","","","","1548 Cr 26","Canon City","81212","Fremont"
"20265","-105.52903785","38.58318767","1682","","","Cr","26","","","","","1682 Cr 26","Canon City","81212","Fremont"
"20266","-105.34581232","38.51132753","833","","","Cr","62","","","","","833 Cr 62","Canon City","81212","Fremont"
"20267","-105.34824371","38.51440842","1094","","","Cr","62","","","","","1094 Cr 62","Canon City","81212","Fremont"
"20268","-105.35283894","38.51583316","1321","","","Cr","62","","","","","1321 Cr 62","Canon City","81212","Fremont"
"20269","-105.28848648","38.25844141","164","","","Cr","66","","","","","164 Cr 66","Canon City","81212","Fremont"
"20270","-105.29047165","38.25885967","209","","","Cr","66","","","","","209 Cr 66","Canon City","81212","Fremont"
"20271","-105.29218044","38.2595251","349","","","Cr","66","","","","","349 Cr 66","Canon City","81212","Fremont"
"20272","-105.29381687","38.25845471","444","","","Cr","66","","","","","444 Cr 66","Canon City","81212","Fremont"
"20273","-105.29597095","38.25960969","569","","","Cr","66","","","","","569 Cr 66","Canon City","81212","Fremont"
"20274","-105.30028067","38.25964307","787","","","Cr","66","","","","","787 Cr 66","Canon City","81212","Fremont"
"20275","-105.30188201","38.25851513","892","","","Cr","66","","","","","892 Cr 66","Canon City","81212","Fremont"
"20276","-105.23365162","38.40085831","502","","","Cr","68","","","","","502 Cr 68","Canon City","81212","Fremont"
"20277","-105.26612619","38.48418246","115","","","Cr","69","","","","","115 Cr 69","Canon City","81212","Fremont"
"20278","-105.26287498","38.48578603","123","","","Cr","69","","","","","123 Cr 69","Canon City","81212","Fremont"
"20279","-105.26232931","38.4824443","155","","","Cr","69","","","","","155 Cr 69","Canon City","81212","Fremont"
"20280","-105.25844367","38.47865446","230","","","Cr","69","","","","","230 Cr 69","Canon City","81212","Fremont"
"20281","-105.25988048","38.48692008","431","","","Cr","69","","","","","431 Cr 69","Canon City","81212","Fremont"
"20282","-105.2623504","38.48743528","433","","","Cr","69","","","","","433 Cr 69","Canon City","81212","Fremont"
"20283","-105.26742845","38.48926924","437","","","Cr","69","","","","","437 Cr 69","Canon City","81212","Fremont"
"20284","-105.25979767","38.48390373","555","","","Cr","69","","","","","555 Cr 69","Canon City","81212","Fremont"
"20285","-105.2567904","38.48819913","700","","","Cr","69","","","","","700 Cr 69","Canon City","81212","Fremont"
"20286","-105.25714","38.49065874","920","","","Cr","69","","","","","920 Cr 69","Canon City","81212","Fremont"
"20287","-105.26397482","38.49140101","1149","","","Cr","69","","","","","1149 Cr 69","Canon City","81212","Fremont"
"20288","-105.25921448","38.49597306","1201","","","Cr","69","","","","","1201 Cr 69","Canon City","81212","Fremont"
"20289","-105.25808586","38.49830067","1365","","","Cr","69","","","","","1365 Cr 69","Canon City","81212","Fremont"
"20290","-105.26129632","38.50293814","1731","","","Cr","69","","","","","1731 Cr 69","Canon City","81212","Fremont"
"20291","-105.25473683","38.5067975","2002","","","Cr","69","","","","","2002 Cr 69","Canon City","81212","Fremont"
"20292","-105.2729817","38.50168017","2457","","","Cr","69","","","","","2457 Cr 69","Canon City","81212","Fremont"
"20293","-105.26129744","38.51737656","2934","","","Cr","69","","","","","2934 Cr 69","Canon City","81212","Fremont"
"20294","-105.25715817","38.52044693","3240","","","Cr","69","","","","","3240 Cr 69","Canon City","81212","Fremont"
"20295","-105.25747022","38.52264678","3246","","","Cr","69","","","","","3246 Cr 69","Canon City","81212","Fremont"
"20297","-105.29930356","38.57198621","9021","","","Cr","69","","","","","9021 Cr 69","Canon City","81212","Fremont"
"20298","-105.29507628","38.57342227","9174","","","Cr","69","","","","","9174 Cr 69","Canon City","81212","Fremont"
