540019,013-003100-091273,NULL,-105.25453156,39.97206374,3100,NULL, ,NULL,Lane, ,NULL, , ,3100 Lane ,Boulder,80305,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C9821B83E4A505AC00051A8956CFC4340
540020,013-004053-091274,NULL,-105.25258283,40.04842475,4053,NULL, ,NULL,Guadeloupe, ,NULL, , ,4053 Guadeloupe ,Boulder,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C04D12F512A505AC0187D3AC832064440
540021,013-000975-091275,NULL,-105.24678414,40.00503369,975,NULL, ,NULL,37Th, ,NULL, , ,975 37Th ,Boulder,80303,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C2C9EB44FCB4F5AC018D1A4F1A4004440
540022,013-007479-091276,NULL,-105.18085875,40.06899327,7479,NULL, ,NULL,Spyglass, ,NULL, , ,7479 Spyglass , ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C40429630934B5AC0A88E76C5D4084440
540023,013-004605-091277,NULL,-105.23970045,39.98877766,4605,NULL, ,NULL,Moorhead, ,NULL, , ,4605 Moorhead ,Boulder,80305,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CC43F8C40574F5AC058EA294490FE4340
540024,013-002444-091278,NULL,-105.28358463,40.02276021,2444,NULL, ,NULL,10Th, ,NULL, , ,2444 10Th ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C7C81204026525AC058187FCEE9024440
540025,013-004529-091279,NULL,-105.20225741,40.05804784,4529,NULL, ,NULL,Barnacle, ,NULL, , ,4529 Barnacle , ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CD4410FC9F14C5AC0F0A4991C6E074440
540026,013-004160-091280,NULL,-105.24158150,40.00190051,4160,NULL, ,NULL,Evans, ,NULL, , ,4160 Evans ,Boulder,80303,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C04AD4312764F5AC0E8BCAA463E004440
540027,013-005697-091281,NULL,-105.22112267,40.00489350,5697,NULL, ,NULL,Pennsylvania, ,NULL, , ,5697 Pennsylvania ,Boulder,80303,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C183CB6DF264E5AC08815A559A0004440
540028,013-004445-091282,NULL,-105.24377727,39.97659809,4445,NULL, ,NULL,Hastings, ,NULL, , ,4445 Hastings ,Boulder,80305,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C1C8AFA0B9A4F5AC0F0A5882A01FD4340
540029,013-000315-091283,NULL,-105.29223170,40.03307777,315,NULL, ,NULL,Forest, ,NULL, , ,315 Forest ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C90A997ECB3525AC0F82F72E43B044440
540030,013-007485-091284,NULL,-105.18087573,40.06905939,7485,NULL, ,NULL,Spyglass, ,NULL, , ,7485 Spyglass , ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CE08AD077934B5AC058352DF0D6084440
540031,013-000370-091285,NULL,-105.24792970,39.98749746,370,NULL, ,NULL,S, ,NULL, , ,370 S ,Boulder,80305,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CC0988C14DE4F5AC0B061205166FE4340
