2390012,105-000245-002368,2623,-106.13596286,37.57865021,245,, ,,Stallo,Street, , , ,245 Stallo Street ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010CC85D929DB3885AC0C808CA3511CA4240
2390013,105-000229-002369,2623,-106.14711482,37.57854349,229,, ,,Adams,Street, , , ,229 Adams Street ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010CE83C48546A895AC0986E8CB60DCA4240
2390014,105-000234-002370,2623,-106.15608503,37.57846047,234,,,,Dunham,Street,,,,234 Dunham Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010CECA90E4CFD895AC0F0ED28FE0ACA4240
2390015,105-002277-002371,2623,-106.12533646,37.57876136,2277,, ,,East,Drive, , , ,2277 East Drive ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010C14783B8305885AC0804026DA14CA4240
2390016,105-000234-002372,2623,-106.14638294,37.57856534,234,, ,,Adams,Street, , , ,234 Adams Street ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010CA0EC8B565E895AC020F3D66D0ECA4240
2390017,105-000227-002373,2623,-106.14990778,37.57853772,227,,North,,Broadway, , , , ,227 North Broadway ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010CC446CF1698895AC0C84D23860DCA4240
2390018,105-000229-002374,2623,-106.14576458,37.57858252,229,, ,,Jefferson,Street, , , ,229 Jefferson Street ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010C585FFB3454895AC04092F2FD0ECA4240
2390019,105-000226-002375,2623,-106.13226863,37.57872289,226,, ,,Alameda,Boulevard, , , ,226 Alameda Boulevard ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010C3CBDD31677885AC0A0967F9713CA4240
2390020,105-000229-002376,2623,-106.13166481,37.57873322,229,, ,,Covey,Street, , , ,229 Covey Street ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010CF83E3D326D885AC020EA15EE13CA4240
2390021,105-000230-002377,2623,-106.15194826,37.57854203,230,, ,,Dennis,Street, , , ,230 Dennis Street ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010C34113585B9895AC058F54AAA0DCA4240
2390022,105-000235-002378,2623,-106.15824263,37.57848552,235,,,,Morris,Street,,,,235 Morris Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010CB42BB2A5208A5AC0C85C3CD00BCA4240
2390023,105-000230-002379,2623,-106.15466688,37.57853134,230,,,,Davis,Street,,,,230 Davis Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010CF4D7E90FE6895AC07818A9500DCA4240
2390024,105-000229-002380,2623,-106.14850440,37.57860095,229,, ,,Washington,Street, , , ,229 Washington Street ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010C988C9C1881895AC0709499980FCA4240
2390025,105-000231-002381,2623,-106.15687753,37.57852481,231,,,,Dunham,Street,,,,231 Dunham Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010C2C0F0B480A8A5AC030B3CE190DCA4240
2390026,105-000230-002382,2623,-106.15750948,37.57852737,230,,,,Morris,Street,,,,230 Morris Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010CDC92A7A2148A5AC0D8674A2F0DCA4240
2390027,105-000254-002383,2623,-106.13381948,37.57876209,254,,,,Faraday,Street,,,,254 Faraday Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010C7CB0967F90885AC078C443E014CA4240
2390028,105-000253-002384,2623,-106.13457728,37.57877001,253,,,,Faraday,Street,,,,253 Faraday Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010CD8F203EA9C885AC010B9C02215CA4240
2390029,105-000216-002385,2623,-106.14638439,37.57866038,216,, ,,Adams,Street, , , ,216 Adams Street ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010CDC4AA75C5E895AC0685A118B11CA4240
2390030,105-000227-002386,2623,-106.15133827,37.57861896,227,,,,Batterson,Street,,,,227 Batterson Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010CA05DBA86AF895AC06051A72F10CA4240
2390031,105-000219-002387,2623,-106.14306287,37.57871800,219,, ,,Monroe,Street, , , ,219 Monroe Street ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010C7CAF26F127895AC0685C6B6E13CA4240
2390032,105-000227-002388,2623,-106.15406385,37.57861133,227,,,,Bronk,Street,,,,227 Bronk Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010C18179C2EDC895AC0B8479BEF0FCA4240
2390033,105-000227-002389,2623,-106.15269060,37.57863000,227,,,,Dennis,Street,,,,227 Dennis Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010C800EC7AEC5895AC048183D8C10CA4240
2390034,105-000229-002390,2623,-106.15545083,37.57861031,229,,,,Davis,Street,,,,229 Davis Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010C788606E8F2895AC0502411E70FCA4240
2390035,105-000228-002391,2623,-106.15608983,37.57860520,228,,,,Dunham,Street,,,,228 Dunham Street ,MONTE VISTA,81144,NULL,NULL,NULL,NULL,NULL,Rio Grande,0xAD100000010C64EB3460FD895AC0A0CB37BC0FCA4240
2390036,105-000249-002392,2623,-106.13321874,37.57884447,249,, ,,Ulysses,Boulevard, , , ,249 Ulysses Boulevard ,MONTE VISTA, ,NULL,NULL,2017-05-23 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Rio Grande,0xAD100000010C8C19E8A786885AC07078519317CA4240
