"1450053","-105.04867137","40.54024578","1524","","","","Quail","Hollow","",""," ","1524 Quail Hollow ","Fort Collins","80525","Larimer"
"1450054","-105.04845185","40.5402873","1530","","","","Quail","Hollow","",""," ","1530 Quail Hollow ","Fort Collins","80525","Larimer"
"1450055","-105.04813892","40.54030904","1536","","","","Quail","Hollow","",""," ","1536 Quail Hollow ","Fort Collins","80525","Larimer"
"1450056","-105.1201209","40.5378396","","","","","","","",""," "," "," "," ","Larimer"
"1450057","-105.1210791","40.53697809","","","","","","","",""," "," "," "," ","Larimer"
"1450058","-105.08252452","40.524658","","","","","","","",""," "," "," "," ","Larimer"
"1450059","-105.37579238","40.73769167","5","","","","Deer","Meadow","",""," ","5 Deer Meadow ","Livermore","80536","Larimer"
"1450060","-105.09487629","40.52737567","1019","","","","Deer","Creek","",""," ","1019 Deer Creek ","Fort Collins","80526","Larimer"
"1450061","-105.09509212","40.52737626","1025","","","","Deer","Creek","",""," ","1025 Deer Creek ","Fort Collins","80526","Larimer"
"1450062","-105.09530796","40.52737686","1031","","","","Deer","Creek","",""," ","1031 Deer Creek ","Fort Collins","80526","Larimer"
"1450063","-105.09553426","40.52737749","1037","","","","Deer","Creek","",""," ","1037 Deer Creek ","Fort Collins","80526","Larimer"
"1450064","-104.96769645","40.92091708","","","","","","","",""," "," "," "," ","Larimer"
"1450065","-104.9734932","40.918036","","","","","","","",""," "," "," "," ","Larimer"
"1450066","-105.31805648","40.45102511","760","","","","Palisade","Mountain","",""," ","760 Palisade Mountain ","Drake","80515","Larimer"
"1450067","-105.05879989","40.53683334","","","","","","","",""," "," "," "," ","Larimer"
"1450068","-105.94554189","40.96636151","","","","","","","",""," "," "," "," ","Larimer"
"1450069","-105.08207773","40.51189191","5340","","","","Fossil","Creek","",""," ","5340 Fossil Creek ","Fort Collins","80526","Larimer"
"1450070","-105.0821916","40.51111186","5430","","","","Fossil","Creek","",""," ","5430 Fossil Creek ","Fort Collins","80526","Larimer"
"1450071","-105.25700842","40.37393144","734","","","","Turkey","Walk","",""," ","734 Turkey Walk ","Loveland","80537","Larimer"
"1450072","-105.09360782","40.53963955","","","","","","","",""," "," "," "," ","Larimer"
"1450073","-105.09580815","40.52737813","1043","","","","Deer","Creek","",""," ","1043 Deer Creek ","Fort Collins","80526","Larimer"
"1450074","-105.09580358","40.52780949","1042","","","","Deer","Creek","",""," ","1042 Deer Creek ","Fort Collins","80526","Larimer"
"1450075","-105.09553382","40.52780893","1036","","","","Deer","Creek","",""," ","1036 Deer Creek ","Fort Collins","80526","Larimer"
"1450076","-105.0674687","40.53148512","524","","","","Spring","Canyon","",""," ","524 Spring Canyon ","Fort Collins","80525","Larimer"
"1450077","-105.06750829","40.53104401","525","","","","Spring","Canyon","",""," ","525 Spring Canyon ","Fort Collins","80525","Larimer"
"1450078","-105.0678784","40.53099957","517","","","","Spring","Canyon","",""," ","517 Spring Canyon ","Fort Collins","80525","Larimer"
"1450079","-105.0687626","40.53073197","","","","","","","",""," "," "," "," ","Larimer"
"1450080","-105.0889796","40.52848743","718","","","","Bear","Creek","",""," ","718 Bear Creek ","Fort Collins","80526","Larimer"
"1450081","-105.08872783","40.5284867","712","","","","Bear","Creek","",""," ","712 Bear Creek ","Fort Collins","80526","Larimer"
"1450082","-105.08848661","40.52847229","706","","","","Bear","Creek","",""," ","706 Bear Creek ","Fort Collins","80526","Larimer"
"1450083","-105.08822736","40.52847156","700","","","","Bear","Creek","",""," ","700 Bear Creek ","Fort Collins","80526","Larimer"
"1450084","-105.08835071","40.52867778","4225","","","","Wolf","Creek","",""," ","4225 Wolf Creek ","Fort Collins","80526","Larimer"
"1450085","-105.08834991","40.52884246","4219","","","","Wolf","Creek","",""," ","4219 Wolf Creek ","Fort Collins","80526","Larimer"
"1450086","-105.08838343","40.52904055","4213","","","","Wolf","Creek","",""," ","4213 Wolf Creek ","Fort Collins","80526","Larimer"
"1450087","-105.08779029","40.52918093","4206","","","","Wolf","Creek","",""," ","4206 Wolf Creek ","Fort Collins","80526","Larimer"
"1450088","-105.06827042","40.56104498","","","","","","","",""," "," "," "," ","Larimer"
"1450089","-105.09672088","40.54944735","1100","","","","Rocky","Mountain","",""," ","1100 Rocky Mountain ","Fort Collins","80526","Larimer"
"1450090","-105.46810823","40.8982478","","","","","","","",""," "," "," "," ","Larimer"
"1450091","-105.43966029","40.63783262","104","","","","Gabriel","Ranch","",""," ","104 Gabriel Ranch ","Bellvue","80512","Larimer"
"1450092","-105.08850433","40.43456443","","","","","","","",""," "," "," "," ","Larimer"
"1450093","-105.25995635","40.59670221","","","","","","","",""," "," "," "," ","Larimer"
"1450094","-105.55605255","40.95500422","958","","","","Pratt","Creek","",""," ","958 Pratt Creek ","Livermore","80536","Larimer"
"1450095","-105.5628032","40.95495493","858","","","","Pratt","Creek","",""," ","858 Pratt Creek ","Livermore","80536","Larimer"
"1450096","-105.559473","40.95495468","","","","","","","",""," "," "," "," ","Larimer"
"1450097","-105.56005128","40.94760678","1459","","","","Pratt","Creek","",""," ","1459 Pratt Creek ","Livermore","80536","Larimer"
"1450098","-105.58483806","40.93735989","","","","","","","",""," "," "," "," ","Larimer"
"1450099","-105.58618945","40.8156192","","","","","","","",""," "," "," "," ","Larimer"
"1450100","-105.06743637","40.53082934","","","","","","","",""," "," "," "," ","Larimer"
"1450101","-105.0685404","40.53117288","","","","","","","",""," "," "," "," ","Larimer"
"1450102","-105.06771811","40.53124884","","","","","","","",""," "," "," "," ","Larimer"
"1450103","-105.08771596","40.52895226","4212","","","","Wolf","Creek","",""," ","4212 Wolf Creek ","Fort Collins","80526","Larimer"
"1450104","-105.08771684","40.52877207","4218","","","","Wolf","Creek","",""," ","4218 Wolf Creek ","Fort Collins","80526","Larimer"
"1450105","-105.08771764","40.52860737","4224","","","","Wolf","Creek","",""," ","4224 Wolf Creek ","Fort Collins","80526","Larimer"
"1450106","-105.08771847","40.52843583","4230","","","","Wolf","Creek","",""," ","4230 Wolf Creek ","Fort Collins","80526","Larimer"
"1450107","-105.08735876","40.5284348","4231","","","","Table","Mountain","",""," ","4231 Table Mountain ","Fort Collins","80526","Larimer"
"1450108","-105.17575661","40.39042493","","","","","","","",""," "," "," "," ","Larimer"
"1450109","-105.45627686","40.45654223","511","","","","North","Fork","",""," ","511 North Fork ","Glen Haven","80532","Larimer"
"1450110","-105.45636547","40.45681521","517","","","","North","Fork","",""," ","517 North Fork ","Glen Haven","80532","Larimer"
"1450111","-104.9522745","40.91631979","","","","","","","",""," "," "," "," ","Larimer"
"1450112","-104.94897046","40.91656717","","","","","","","",""," "," "," "," ","Larimer"
"1450113","-105.41260157","40.7244314","","","","","","","",""," "," ","Livermore","80536","Larimer"
"1450114","-105.02243234","40.42478625","","","","","","","",""," "," "," "," ","Larimer"
"1450115","-105.06922789","40.44282815","","","","","","","",""," "," "," "," ","Larimer"
"1450116","-104.99495668","40.46658919","8420","","","","Peak","View","",""," ","8420 Peak View ","Fort Collins","80528","Larimer"
"1450117","-105.58197105","40.79840193","","","","","","","",""," "," ","Red Feather Lakes","80545","Larimer"
"1450118","-105.58263592","40.79832101","","","","","","","",""," "," "," "," ","Larimer"
"1450119","-105.267793","40.99221498","","","","","","","",""," "," "," "," ","Larimer"
"1450120","-105.27441246","40.98648025","","","","","","","",""," "," "," "," ","Larimer"
"1450121","-105.69744042","40.98769828","","","","","","","",""," "," "," "," ","Larimer"
"1450122","-105.0873579","40.52860635","4225","","","","Table","Mountain","",""," ","4225 Table Mountain ","Fort Collins","80526","Larimer"
"1450123","-105.0873571","40.52877092","4219","","","","Table","Mountain","",""," ","4219 Table Mountain ","Fort Collins","80526","Larimer"
"1450124","-105.08735605","40.52894808","4213","","","","Table","Mountain","",""," ","4213 Table Mountain ","Fort Collins","80526","Larimer"
"1450125","-105.08738985","40.52911156","4207","","","","Table","Mountain","",""," ","4207 Table Mountain ","Fort Collins","80526","Larimer"
"1450126","-105.08744289","40.52928207","4201","","","","Table","Mountain","",""," ","4201 Table Mountain ","Fort Collins","80526","Larimer"
"1450127","-105.08684379","40.52933021","4200","","","","Table","Mountain","",""," ","4200 Table Mountain ","Fort Collins","80526","Larimer"
"1450128","-105.40816939","40.37355383","","","","","","","",""," "," "," "," ","Larimer"
"1450129","-105.39863552","40.37346932","","","","","","","",""," "," "," "," ","Larimer"
