2439992,117-000704-055792,NULL,-106.05927294,39.62797117,704,NULL,East,NULL,Anemone,Trail,,NULL,NULL,704 East Anemone Trail,Dillon,80435,NULL,9952234,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010CDC8FB820CB835AC010B2F65B61D04340
2439993,117-000118-055793,NULL,-106.04452538,39.48130006,118,NULL,South,NULL,Ridge,Street,,NULL,NULL,118 South Ridge Street,Breckenridge,80424,NULL,6513976,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C28CFFB80D9825AC02856843D9BBD4340
2439994,117-001274-055794,NULL,-106.01400444,39.46850500,1274,NULL,,NULL,Baldy,Road,,NULL,NULL,1274 Baldy Road,Unincorporated Summit County,80424,NULL,1800409,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C5CCDDE72E5805AC0D8C4BFF8F7BB4340
2439995,117-001262-055795,NULL,-106.01445781,39.46864553,1262,NULL,,NULL,Baldy,Road,,NULL,NULL,1262 Baldy Road,Unincorporated Summit County,80424,NULL,1800414,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C2CA678E0EC805AC030F9AC93FCBB4340
2439996,117-000219-055796,NULL,-106.01260150,39.46690472,0219,NULL,South,NULL,Fuller Placer,Road,,NULL,NULL,0219 South Fuller Placer Road,Unincorporated Summit County,80424,NULL,1800578,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C78858476CE805AC000A3A088C3BB4340
2439997,117-000206-055797,NULL,-106.15544316,39.50022937,0206,NULL,,NULL,Ten Mile,Circle,,UNIT,12,0206 Ten Mile Circle UNIT 12,Unincorporated Summit County,80443,NULL,6511941,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C6C38DFC7F2895AC0502D168407C04340
2439998,117-000209-055798,NULL,-106.04144062,39.48050554,209,NULL,South,NULL,High,Street,,NULL,NULL,209 South High Street,Breckenridge,80424,NULL,NULL,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010CF0FA8FF6A6825AC03012A03481BD4340
2439999,117-000100-055799,NULL,-106.09225051,39.61611403,0100,NULL,,NULL,Wildernest,Court,,NULL,NULL,0100 Wildernest Court,Unincorporated Summit County,80498,NULL,NULL,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C50DFAE6EE7855AC0F86E10D3DCCE4340
2440000,117-000239-055800,NULL,-106.15552176,39.50119831,0239,NULL,,NULL,Ten Mile,Circle,,NULL,NULL,0239 Ten Mile Circle,Unincorporated Summit County,80443,NULL,6511958,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C08418A11F4895AC068B82F4427C04340
2440001,117-000152-055801,NULL,-106.07924424,39.65786004,152,NULL,,NULL,Allegra,Lane,,NULL,NULL,152 Allegra Lane,Silverthorne,80498,NULL,6509695,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C0C816A5612855AC060B800C234D44340
2440002,117-000142-055802,NULL,-106.07907334,39.65752728,142,NULL,,NULL,Allegra,Lane,,NULL,NULL,142 Allegra Lane,Silverthorne,80498,NULL,6509389,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010CC49DA4890F855AC0789E95DA29D44340
2440003,117-000061-055803,NULL,-106.04265975,39.42879915,0061,NULL,,NULL,Mountain View,Drive,,NULL,NULL,0061 Mountain View Drive,Blue River,80424,NULL,100008,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010CFCA0F3EFBA825AC0C04FF2E3E2B64340
2440004,117-000197-055804,NULL,-106.04287872,39.42697995,0197,NULL,,NULL,Mountain View,Drive,,NULL,NULL,0197 Mountain View Drive,Blue River,80424,NULL,100048,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C84BA5E86BE825AC0E8CB6E47A7B64340
2440005,117-000090-055805,NULL,-106.03537151,39.45394194,0090,NULL,,NULL,Twilight,Trail,,NULL,NULL,0090 Twilight Trail,Blue River,80424,NULL,100088,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010CE0E2E08643825AC0A04AFDC41ABA4340
2440006,117-000337-055806,NULL,-106.09887483,39.62307757,0337,NULL,,NULL,Springbeauty,Drive,,NULL,NULL,0337 Springbeauty Drive,Unincorporated Summit County,80498,NULL,1300496,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C341715F753865AC0F8DC7A01C1CF4340
2440007,117-000154-055807,NULL,-106.07855481,39.66446170,0154,NULL,,NULL,Hillside,Drive,,NULL,NULL,0154 Hillside Drive,Unincorporated Summit County,80498,NULL,1300564,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C8CC0BD0A07855AC03053B9140DD54340
2440008,117-001338-055808,NULL,-106.07263290,39.64737422,1338,NULL,,NULL,Rainbow,Drive,,NULL,NULL,1338 Rainbow Drive,Unincorporated Summit County,80498,NULL,1300616,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C249A7704A6845AC078708D28DDD24340
2440009,117-000274-055809,NULL,-106.09528357,39.57848427,274,NULL,North,NULL,6Th Ave,Court,,NULL,NULL,274 North 6Th Ave Court,Frisco,80443,NULL,1102368,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C6078452019865AC04873C6C50BCA4340
2440010,117-000133-055810,NULL,-106.07987534,39.65758398,133,NULL,,NULL,Allegra,Lane,,NULL,NULL,133 Allegra Lane,Silverthorne,80498,NULL,6509393,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C248F79AD1C855AC0E0163AB62BD44340
2440011,117-001056-055811,NULL,-106.13802012,39.74672987,1056,NULL,,NULL,Blue Ridge,Road,,NULL,NULL,1056 Blue Ridge Road,Unincorporated Summit County,80498,NULL,1400016,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C808B5952D5885AC0584C29D894DF4340
2440012,117-001256-055812,NULL,-106.13894310,39.74371645,1256,NULL,,NULL,Blue Ridge,Road,,NULL,NULL,1256 Blue Ridge Road,Unincorporated Summit County,80498,NULL,1400076,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010CD0EB9D71E4885AC0A888BA1932DF4340
2440013,117-000166-055813,NULL,-106.15905152,39.78148787,0166,NULL,,NULL,Slate Creek,Road,,NULL,NULL,0166 Slate Creek Road,Unincorporated Summit County,80498,NULL,1400148,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C58E668E62D8A5AC0F8A361CB07E44340
2440014,117-000449-055814,NULL,-106.12116073,39.76251857,0449,NULL,,NULL,Rodeo,Drive,,NULL,NULL,0449 Rodeo Drive,Unincorporated Summit County,80498,NULL,1406096,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C9001EC18C1875AC0185F60359AE14340
2440015,117-000373-055815,NULL,-106.06964324,39.63320841,373,NULL,,NULL,Lagoon,Lane,,NULL,NULL,373 Lagoon Lane,Silverthorne,80498,NULL,1500036,2019-04-18 00:00:00.0000000,ACTIVE,NO CHANGE,Summit,0xAD100000010C80D7EF0875845AC0106624F90CD14340
