2190016,039-005468-436329,NULL,-104.72749396,38.87431458,5468, ,,,Alteza,Drive,,,,5468 Alteza Drive ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C507CD2428F2E5AC0D8E7498AE96F4340
2190017,039-002910-436330,NULL,-104.72886644,38.87434256,2910, ,,,Escapardo,Place,,,,2910 Escapardo Place ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C4C1B72BFA52E5AC000CB0475EA6F4340
2190018,039-000644-436331,NULL,-104.79187862,38.77592584,644, ,,,Valjean,Place,,,,644 Valjean Place ,Colorado Springs,80906,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010CA89AA623AE325AC0702AB18951634340
2190019,039-000626-436332,NULL,-104.79251219,38.77598102,626, ,,,Valjean,Place,,,,626 Valjean Place ,Colorado Springs,80906,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C48230885B8325AC00076955853634340
2190020,039-003914-436333,NULL,-104.80944104,38.77465012,3914, ,,,Leah,Heights,,,,3914 Leah Heights ,Colorado Springs,80906,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010CC4B5CAE1CD335AC0D0C433BC27634340
2190021,039-000558-436334,NULL,-104.79566093,38.77577495,558, ,,,Catalina,Drive,,,,558 Catalina Drive ,Colorado Springs,80906,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C048FD61BEC325AC030A7F3974C634340
2190022,039-003924-436335,NULL,-104.81210018,38.77446582,3924, ,,,Donney Brook,Court,,,,3924 Donney Brook Court ,Colorado Springs,80906,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010CE0C30B73F9335AC090622CB221634340
2190023,039-005453-436336,NULL,-104.72714951,38.87397917,5453, ,,,Alteza,Drive,,,,5453 Alteza Drive ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C888E1E9E892E5AC0C81EA68CDE6F4340
2190024,039-002945-436337,NULL,-104.73255826,38.87395358,2945, ,,,Inspiration,Drive,,,,2945 Inspiration Drive ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C7434093CE22E5AC04092F5B5DD6F4340
2190025,039-002830-436338,NULL,-104.76979470,38.89693280,2830, ,,,Shady,Drive,,,,2830 Shady Drive ,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C745BFE5044315AC0E05AA9B1CE724340
2190026,039-003111-436339,NULL,-104.76905182,38.89693382,3111, ,,,Westwood,Boulevard,,,,3111 Westwood Boulevard ,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C7453252538315AC090EF39BACE724340
2190027,039-003123-436340,NULL,-104.72696351,38.87969068,3123, ,,,Vail Pass,Drive,,,,3123 Vail Pass Drive ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C9422F491862E5AC0D82740B499704340
2190028,039-005015-436341,NULL,-104.73458337,38.87539265,5015, ,,,Windward,Circle,,,,5015 Windward Circle ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010CF8E0FB69032F5AC01803C3DD0C704340
2190029,039-002955-436342,NULL,-104.72553422,38.87436532,2955, ,,,Lavarie,Drive,,,,2955 Lavarie Drive ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C547610276F2E5AC05885F133EB6F4340
2190030,039-003045-436343,NULL,-104.72498513,38.87507861,3045, ,,,Lavarie,Lane,,,,3045 Lavarie Lane ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C8C140B28662E5AC09847769302704340
2190031,039-005252-436344,NULL,-104.73146238,38.87502044,5252, ,,,Escapardo,Way,,,,5252 Escapardo Way ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C2C629A47D02E5AC0981F70AB00704340
2190032,039-000374-436345,NULL,-104.81881652,38.77621326,374, ,,,Cobblestone,Drive,,,,374 Cobblestone Drive ,Colorado Springs,80906,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C008F657D67345AC00036C3F45A634340
2190033,039-000630-436346,NULL,-104.79249186,38.77638254,630, ,,,Valjean,Place,,,,630 Valjean Place ,Colorado Springs,80906,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010CF442C72FB8325AC0E863CB8060634340
2190034,039-000624-436347,NULL,-104.79132178,38.77630698,624, ,,,Crestridge,Avenue,,,,624 Crestridge Avenue ,Colorado Springs,80906,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C78801C04A5325AC098EFEA065E634340
2190035,039-000503-436348,NULL,-104.79033211,38.77628922,503, ,,,Loomis,Avenue,,,,503 Loomis Avenue ,Colorado Springs,80906,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C8C4820CD94325AC0987AED715D634340
2190036,039-000634-436349,NULL,-104.79303757,38.77611442,634, ,,,Dove,Place,,,,634 Dove Place ,Colorado Springs,80906,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C4C0FA920C1325AC01813A4B757634340
2190037,039-002935-436350,NULL,-104.73470499,38.87432475,2935, ,,,Banderas,Lane,,,,2935 Banderas Lane ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C1CB20E68052F5AC078D099DFE96F4340
2190038,039-005492-436351,NULL,-104.72608738,38.87422692,5492, ,,,Kay,Circle,,,,5492 Kay Circle ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010CF8B53237782E5AC0F0A2F3AAE66F4340
2190039,039-002913-436352,NULL,-104.73048222,38.87425801,2913, ,,,La Estrella,Court,,,,2913 La Estrella Court ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C28738138C02E5AC0A804B4AFE76F4340
2190040,039-003030-436353,NULL,-104.72548575,38.87502901,3030, ,,,Lavarie,Lane,,,,3030 Lavarie Lane ,Colorado Springs,80917,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,NO CHANGE,ElPaso,0xAD100000010C9090C95B6E2E5AC078F160F300704340
