"780053","-104.92431736","39.75673046","2800","","North","","Grape","Street","","","","2800 North Grape Street","","","Denver"
"780054","-104.91872975","39.72238699","317","","North","","Jasmine","Street","","","","317 North Jasmine Street","","","Denver"
"780055","-105.0502963","39.69736369","4910","","West","","Tennessee","Avenue","","","","4910 West Tennessee Avenue","","","Denver"
"780056","-105.0460303","39.73824099","1390","","North","","Vrain","Street","","","","1390 North Vrain Street","","","Denver"
"780057","-104.84210784","39.78405702","4843","","North","","Tucson","Street","","","","4843 North Tucson Street","","","Denver"
"780058","-104.96676848","39.67154896","2485","","South","","Williams","Street","","","","2485 South Williams Street","","","Denver"
"780059","-104.97660982","39.69715765","1070","","South","","Emerson","Street","","","","1070 South Emerson Street","","","Denver"
"780060","-104.89635021","39.66374657","7862","","East","","Bucknell","Place","","","","7862 East Bucknell Place","","","Denver"
"780061","-105.04131547","39.75560289","2640","","North","","Raleigh","Street","","","","2640 North Raleigh Street","","","Denver"
"780062","-105.032557","39.66249759","3012","","South","","King","Street","","","","3012 South King Street","","","Denver"
"780063","-104.9113219","39.72778035","740","","North","","Magnolia","Street","","","","740 North Magnolia Street","","","Denver"
"780064","-104.97307609","39.68691282","1632","","South","","Downing","Street","","","","1632 South Downing Street","","","Denver"
"780065","-104.96009258","39.76634091","3527","","North","","York","Street","","","","3527 North York Street","","","Denver"
"780066","-105.06024925","39.62099318","6001","","West","","Progress","Avenue","","","","6001 West Progress Avenue","","","Denver"
"780067","-104.97960361","39.70366634","713","","South","","Washington","Street","","","","713 South Washington Street","","","Denver"
"780068","-105.05994771","39.64816559","5805","","West","","Lehigh","Avenue","","","","5805 West Lehigh Avenue","","","Denver"
"780069","-104.8717164","39.65625466","10025","","East","","Girard","Avenue","","","","10025 East Girard Avenue","","","Denver"
"780070","-105.01335381","39.6867158","1645","","South","","Vallejo","Street","","","","1645 South Vallejo Street","","","Denver"
"780071","-104.95267472","39.77875632","4460","","North","","Fillmore","Street","","","","4460 North Fillmore Street","","","Denver"
"780072","-104.95823205","39.75622161","2722","","North","","Josephine","Street","","","","2722 North Josephine Street","","","Denver"
"780073","-105.01061169","39.70491953","654","","South","","Tejon","Street","","","","654 South Tejon Street","","","Denver"
"780074","-105.03354636","39.70338202","3501","","West","","Walsh","Place","","","","3501 West Walsh Place","","","Denver"
"780075","-105.01616983","39.78799476","5031","","North","","Zuni","Street","","","","5031 North Zuni Street","","","Denver"
"780076","-104.92934455","39.68313703","1852","","South","","Elm","Street","","","","1852 South Elm Street","","","Denver"
"780077","-104.97903135","39.7347899","1161","","North","","Washington","Street","","","","1161 North Washington Street","","","Denver"
"780078","-104.7674652","39.77294543","4020","","North","","Argonne","Street","","","","4020 North Argonne Street","","","Denver"
"780079","-104.91437966","39.75885019","2925","","North","","Locust","Street","","","","2925 North Locust Street","","","Denver"
"780080","-105.04369727","39.70441289","4305","","West","","Exposition","Avenue","","","","4305 West Exposition Avenue","","","Denver"
"780081","-104.94434631","39.7683403","3705","","North","","Garfield","Street","","","","3705 North Garfield Street","","","Denver"
"780082","-105.01435764","39.77478278","4232","","North","","Wyandot","Street","","","","4232 North Wyandot Street","","","Denver"
"780083","-104.96208189","39.6702675","2555","","South","","Gaylord","Street","","","","2555 South Gaylord Street","","","Denver"
"780084","-105.0222005","39.6628403","2950","","South","","Decatur","Street","","","","2950 South Decatur Street","","","Denver"
"780085","-104.96919572","39.71136981","1521","","East","","Alameda","Avenue","","","","1521 East Alameda Avenue","","","Denver"
"780086","-104.91379997","39.66421026","6462","","East","","Bates","Avenue","","","","6462 East Bates Avenue","","","Denver"
"780087","-104.95047516","39.77794447","4410","","North","","Saint Paul","Street","","","","4410 North Saint Paul Street","","","Denver"
"780088","-105.03571792","39.71251322","230","","South","","Meade","Street","","","","230 South Meade Street","","","Denver"
"780089","-105.01999689","39.71343568","170","","South","","Clay","Street","","","","170 South Clay Street","","","Denver"
"780090","-104.97487674","39.70697538","525","","South","","Corona","Street","","","","525 South Corona Street","","","Denver"
"780091","-104.98398975","39.73503411","1177","","North","","Grant","Street","","","","1177 North Grant Street","","","Denver"
"780092","-105.02154923","39.7646686","2743","","West","","34Th","Avenue","","","","2743 West 34Th Avenue","","","Denver"
"780093","-104.97399344","39.76127024","819","","","","32Nd","Street","","","","819 32Nd Street","","","Denver"
"780094","-104.91019442","39.75235595","2400","","North","","Niagara","Street","","","","2400 North Niagara Street","","","Denver"
"780095","-104.92492979","39.75187982","2343","","North","","Grape","Street","","","","2343 North Grape Street","","","Denver"
"780096","-105.02014757","39.71947043","156","","North","","Clay","Street","","","","156 North Clay Street","","","Denver"
"780097","-104.97632227","39.7903058","5157","","North","","Emerson","Street","","","","5157 North Emerson Street","","","Denver"
"780098","-104.76448333","39.77367356","4306","","North","","Ceylon","Street","","","","4306 North Ceylon Street","","","Denver"
"780099","-104.95835546","39.67163953","2477","","South","","Josephine","Street","","","","2477 South Josephine Street","","","Denver"
"780100","-105.10431235","39.62829604","4855","","South","","Holland","Street","","","","4855 South Holland Street","","","Denver"
"780101","-104.81885699","39.79151544","5474","","North","","Sable","Street","","","","5474 North Sable Street","","","Denver"
"780102","-105.00832415","39.70117638","828","","South","","Raritan","Street","","","","828 South Raritan Street","","","Denver"
"780103","-104.93198234","39.69482019","1195","","South","","Dahlia","Street","","","","1195 South Dahlia Street","","","Denver"
"780104","-104.89077718","39.65716739","8606","","East","","Eastman","Avenue","","","","8606 East Eastman Avenue","","","Denver"
"780105","-104.95836266","39.67024493","2557","","South","","Josephine","Street","","","","2557 South Josephine Street","","","Denver"
"780106","-104.95023718","39.78787285","5023","","North","","Steele","Street","","","","5023 North Streeteele St","","","Denver"
"780107","-105.04483262","39.77046827","3858","","North","","Utica","Street","","","","3858 North Utica Street","","","Denver"
"780108","-104.91162613","39.67963999","6632","","East","","Asbury","Avenue","","","","6632 East Asbury Avenue","","","Denver"
"780109","-105.01945816","39.67888028","2667","","West","","Evans","Avenue","","","","2667 West Evans Avenue","","","Denver"
"780110","-105.05986284","39.78636532","4940","","North","","Fenton","Street","","","","4940 North Fenton Street","","","Denver"
"780111","-105.01855579","39.77581302","4320","","North","","Bryant","Street","","","","4320 North Bryant Street","","","Denver"
"780112","-104.89789916","39.74532069","1787","","North","","Spruce","Street","","","","1787 North Spruce Street","","","Denver"
