"610048","-108.07896102","38.76943659","796"," "," ","","Barstow","Street"," "," "," ","796 Barstow Street ","Delta","","Delta"
"610049","-108.0643856","38.77020489","801"," "," ","","1600","Road"," "," "," ","801 1600 Road ","Delta","","Delta"
"610050","-108.06429865","38.7717365","803"," "," ","","1600","Road"," ",""," ","803 1600 Road ","Delta","","Delta"
"610051","-108.06497179","38.77179057","828"," "," ","","1600","Road"," "," "," ","828 1600 Road ","Delta","","Delta"
"610052","-108.06891296","38.77200228","819"," "," ","","1575","Road"," "," "," ","819 1575 Road ","Delta","","Delta"
"610053","-108.06424363","38.77219702","833"," "," ","","1600","Road"," ",""," ","833 1600 Road ","Delta","","Delta"
"610054","-108.07904778","38.77195953","809"," "," ","","1525","Road"," "," "," ","809 1525 Road ","Delta","","Delta"
"610055","-108.06980067","38.77279215","822"," "," ","","1575","Road"," "," "," ","822 1575 Road ","Delta","","Delta"
"610056","-108.06493666","38.7728831","848"," "," ","","1600","Road"," "," "," ","848 1600 Road ","Delta","","Delta"
"610057","-108.06420606","38.77295573","845"," "," ","","1600","Road"," ",""," ","845 1600 Road ","Delta","","Delta"
"610058","-108.06543073","38.77309776","852"," "," ","","1600","Road"," "," "," ","852 1600 Road ","Delta","","Delta"
"610059","-108.06392611","38.77349743","857"," "," ","","1600","Road"," "," "," ","857 1600 Road ","Delta","","Delta"
"610060","-108.07886128","38.77287842","817"," "," ","","1525","Road"," "," "," ","817 1525 Road ","Delta","","Delta"
"610061","-108.06490964","38.77359162","858"," "," ","","1600","Road"," "," "," ","858 1600 Road ","Delta","","Delta"
"610062","-108.0680976","38.77391168","827"," "," ","","1575","Road"," "," "," ","827 1575 Road ","Delta","","Delta"
"610063","-108.06489442","38.77400961","868"," "," ","","1600","Road"," ",""," ","868 1600 Road ","Delta","","Delta"
"610064","-108.07903045","38.77403059","823"," "," ","","1525","Road"," "," "," ","823 1525 Road ","Delta","","Delta"
"610065","-108.07888008","38.77433111","825"," "," ","","1525","Road"," "," "," ","825 1525 Road ","Delta","","Delta"
"610066","-108.07887585","38.77459715","827"," "," ","","1525","Road"," "," "," ","827 1525 Road ","Delta","","Delta"
"610067","-108.07892506","38.77519087","831"," "," ","","1525","Road"," "," "," ","831 1525 Road ","Delta","","Delta"
"610068","-108.10574429","38.78042572","863"," "," ","","1400","Lane"," "," "," ","863 1400 Lane ","Delta","","Delta"
"610069","-108.08280268","38.76943259","799"," "," ","","Genessee","Street"," "," "," ","799 Genessee Street ","Delta","","Delta"
