"973484","-104.93419444","39.53449574","9997"," "," ","","Darwin","Lane"," ",""," ","9997 Darwin Lane ","Highlands Ranch","80130","Douglas"
"973485","-104.99653847","39.53460079","785"," "," ","","Mueller","Drive"," ",""," ","785 Mueller Drive ","Highlands Ranch","80129","Douglas"
"973486","-104.94886399","39.53450953","9963"," "," ","","Candlewood","Lane"," ",""," ","9963 Candlewood Lane ","Highlands Ranch","80126","Douglas"
"973487","-104.91386223","39.53437386","10045"," "," ","","Blackbird","Circle"," ",""," ","10045 Blackbird Circle ","Highlands Ranch","80130","Douglas"
"973488","-105.01659733","39.53475635","10015"," "," ","","Silver Maple","Road"," ",""," ","10015 Silver Maple Road ","Highlands Ranch","80129","Douglas"
"973489","-104.93651413","39.53447798","10004"," "," ","","Heywood","Street"," ",""," ","10004 Heywood Street ","Highlands Ranch","80130","Douglas"
"973490","-105.02893422","39.53484326","3564"," "," ","","Boardwalk","Circle"," ",""," ","3564 Boardwalk Circle ","Highlands Ranch","80129","Douglas"
"973491","-104.98966986","39.53467734","10018"," "," ","","Clyde","Circle"," ",""," ","10018 Clyde Circle ","Highlands Ranch","80129","Douglas"
"973492","-105.01600149","39.53482649","9974"," "," ","","Silver Maple","Way"," ",""," ","9974 Silver Maple Way ","Highlands Ranch","80129","Douglas"
"973493","-104.96403871","39.53455449","9976"," "," ","","Stratford","Place"," ",""," ","9976 Stratford Place ","Highlands Ranch","80126","Douglas"
"973494","-104.96435082","39.53453487","9996"," "," ","","Stratford","Place"," ",""," ","9996 Stratford Place ","Highlands Ranch","80126","Douglas"
"973495","-105.03219082","39.53484222","3684"," "," ","","Seramonte","Drive"," ",""," ","3684 Seramonte Drive ","Highlands Ranch","80129","Douglas"
"973496","-104.78636864","39.533609","17512"," "," ","","Cornerstone","Lane"," ",""," ","17512 Cornerstone Lane ","Parker","80134","Douglas"
"973497","-104.80809529","39.53373119","10069"," "," ","","Rock Rose","Court"," ",""," ","10069 Rock Rose Court ","Parker","80134","Douglas"
"973498","-104.9885489","39.53468941","9988"," "," ","","Clyde","Circle"," ",""," ","9988 Clyde Circle ","Highlands Ranch","80129","Douglas"
"973499","-104.93072246","39.5344141","4968"," "," ","","Kingston","Avenue"," ",""," ","4968 Kingston Avenue ","Highlands Ranch","80130","Douglas"
"973500","-104.97931517","39.53463143","865"," "," ","","Huntington","Drive"," ",""," ","865 Huntington Drive ","Highlands Ranch","80126","Douglas"
"973501","-104.78556448","39.53351796","17570"," "," ","","Cornerstone","Lane"," ",""," ","17570 Cornerstone Lane ","Parker","80134","Douglas"
"973502","-104.78609317","39.53359016","17532"," "," ","","Cornerstone","Lane"," ",""," ","17532 Cornerstone Lane ","Parker","80134","Douglas"
"973503","-104.93941936","39.53442219","10036"," "," ","","Strathfield","Lane"," ",""," ","10036 Strathfield Lane ","Highlands Ranch","80126","Douglas"
"973504","-104.94836022","39.53445638","9964"," "," ","","Candlewood","Lane"," ",""," ","9964 Candlewood Lane ","Highlands Ranch","80126","Douglas"
"973505","-104.78585356","39.53350714","17552"," "," ","","Cornerstone","Lane"," ",""," ","17552 Cornerstone Lane ","Parker","80134","Douglas"
"973506","-104.8904699","39.53398938","8468"," "," ","","Colonial","Drive"," ",""," ","8468 Colonial Drive ","Lone Tree","80124","Douglas"
"973507","-104.96510821","39.53450064","10025"," "," ","","Stratford","Place"," ",""," ","10025 Stratford Place ","Highlands Ranch","80126","Douglas"
"973508","-105.01768333","39.53468939","10045"," "," ","","Silver Maple","Road"," ",""," ","10045 Silver Maple Road ","Highlands Ranch","80129","Douglas"
"973509","-104.92227907","39.534313","5727"," "," ","","Jack","Place"," ",""," ","5727 Jack Place ","Highlands Ranch","80130","Douglas"
"973510","-104.7094866","39.5323188","11470"," "," ","","Bell Cross","Circle"," ",""," ","11470 Bell Cross Circle ","Parker","80138","Douglas"
"973511","-105.03150934","39.53482234","3673"," "," ","","Seramonte","Drive"," ",""," ","3673 Seramonte Drive ","Highlands Ranch","80129","Douglas"
"973512","-104.93511279","39.53445022","10047"," "," ","","Brisbane","Way"," ",""," ","10047 Brisbane Way ","Highlands Ranch","80130","Douglas"
"973513","-104.99566309","39.5346267","731"," "," ","","Mueller","Drive"," ",""," ","731 Mueller Drive ","Highlands Ranch","80129","Douglas"
"973514","-104.94084511","39.53436182","9981"," "," ","","Strathfield","Lane"," ",""," ","9981 Strathfield Lane ","Highlands Ranch","80126","Douglas"
"973515","-104.99340441","39.53464751","411"," "," ","","Winterthur","Way"," ",""," ","411 Winterthur Way ","Highlands Ranch","80129","Douglas"
"973516","-104.99314562","39.53464091","407"," "," ","","Winterthur","Way"," ",""," ","407 Winterthur Way ","Highlands Ranch","80129","Douglas"
"973517","-105.02704989","39.53482101","9977"," "," ","","Deer Creek","Street"," ",""," ","9977 Deer Creek Street ","Highlands Ranch","80129","Douglas"
"973518","-104.92326862","39.53433988","10053"," "," ","","Glenstone","Circle"," ",""," ","10053 Glenstone Circle ","Highlands Ranch","80130","Douglas"
"973519","-105.03040588","39.53480694","3624"," "," ","","Seramonte","Drive"," ",""," ","3624 Seramonte Drive ","Highlands Ranch","80129","Douglas"
"973520","-105.02038462","39.53475407","9897"," "," ","","Spring Hill","Lane"," ",""," ","9897 Spring Hill Lane ","Highlands Ranch","80129","Douglas"
"973521","-104.98755234","39.53465882","10030"," "," ","","Macalister","Trail"," ",""," ","10030 Macalister Trail ","Highlands Ranch","80129","Douglas"
"973522","-104.94781817","39.53436927","9965"," "," ","","Heatherwood","Lane"," ",""," ","9965 Heatherwood Lane ","Highlands Ranch","80126","Douglas"
"973523","-104.98453102","39.53445466","10025"," "," ","","Hughes","Place"," ",""," ","10025 Hughes Place ","Highlands Ranch","80126","Douglas"
"973524","-104.80960586","39.53367676","15575"," "," ","","Rockmont","Court"," ",""," ","15575 Rockmont Court ","Parker","80134","Douglas"
"973525","-104.90547875","39.53426201","9955"," "," ","","Cottoncreek","Drive"," ",""," ","9955 Cottoncreek Drive ","Highlands Ranch","80130","Douglas"
"973526","-104.99287807","39.53462156","399"," "," ","","Winterthur","Way"," ",""," ","399 Winterthur Way ","Highlands Ranch","80129","Douglas"
"973527","-104.79897841","39.53362469","16480"," "," ","","Oakwell","Court"," ",""," ","16480 Oakwell Court ","Parker","80134","Douglas"
