2400011,107-024120-019714,NULL,-106.96279964,40.27041299,24120,,,Cr,25,NULL,NULL,,,24120 Cr 25 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CC08660829EBD5AC0206194E49C224440
2400012,107-001775-019715,NULL,-106.80434847,40.48401298,1775,,,,Alexandre,Way,,,,1775 Alexandre Way ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C9016FE717AB35AC0C8432C23F43D4440
2400013,107-029250-019716,NULL,-106.88236430,40.34200895,29250,,,Cr,14A,NULL,NULL,,,29250 Cr 14A ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C7C4822A878B85AC0482F0CF3C62B4440
2400014,107-031415-019717,NULL,-106.92901529,40.37424914,31415,,,,Deerwood Ranch,Road,NULL,,,31415 Deerwood Ranch Road ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C0C158DFC74BB5AC058FC4D65E72F4440
2400015,107-033125-019718,NULL,-106.80404709,40.41981484,33125,,,,Catamount,Drive,NULL,Unit,A,33125 Catamount Drive Unit A,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CB8ECEB8175B35AC0403C227EBC354440
2400016,107-021930-019719,NULL,-106.91432287,40.39730923,21930,,,,Whitewood,Drive,West,,,21930 Whitewood Drive West ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C4061154484BA5AC0207A6007DB324440
2400017,107-057585-019720,NULL,-106.91083473,40.75630808,57585,,,,Golden Tide,Place,NULL,,,57585 Golden Tide Place ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CE8FBBA1D4BBA5AC0005BFEB3CE604440
2400018,107-050720-019721,NULL,-106.94097881,40.65304378,50720,,,,Schoolhouse,Lane,,,,50720 Schoolhouse Lane ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C34F131FF38BC5AC0F0454BF096534440
2400019,107-006300-019722,NULL,-107.30890711,40.52544929,6300,,,,Homesteader,Lane,,,,6300 Homesteader Lane ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C4C1B5922C5D35AC098AF17EC41434440
2400020,107-022165-019723,NULL,-106.92264622,40.39892328,22165,,,,Whitewood,Drive,West,,,22165 Whitewood Drive West ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C8018BAA20CBB5AC0900C0BEB0F334440
2400021,107-000196-019724,NULL,-107.26285608,40.49518030,196,,North,,3Rd,Street,NULL,,,196 North 3Rd Street ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CA8EF50A2D2D05AC0D8A67511623F4440
2400022,107-022060-019725,NULL,-106.91890792,40.39926009,22060,,,,Whitewood,Drive,West,,,22060 Whitewood Drive West ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C5C672E63CFBA5AC078475EF41A334440
2400023,107-003775-019726,NULL,-106.86042489,40.52005327,3775,,,,Elk River,Road,NULL,,,3775 Elk River Road ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C78F3903311B75AC0C08F071B91424440
2400024,107-024820-019727,NULL,-106.96078318,40.38747587,24820,,,,Creek Ranch,Road,NULL,,,24820 Creek Ranch Road ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010C0862BF787DBD5AC0D8D12ECF98314440
2400025,107-021600-019728,NULL,-106.94321071,40.23234995,21600,,,St Hwy,131,NULL,NULL,,,21600 St Hwy 131 ,NULL,NULL,NULL,NULL,2019-01-30 00:00:00.0000000,ACTIVE,NO CHANGE,Routt,0xAD100000010CD43E75905DBC5AC098F1A1A4BD1D4440
