2359992,055-000340-002050,29,-104.77623161,37.62549779,00340,,,,06Th,Street,E,,,00340 06Th Street E ,WALSENBURG,81089,NULL,42880,NULL,NULL,NULL,Huerfano,0xAD100000010CD09E56C7AD315AC05871BD4F10D04240
2359993,055-000301-002051,29,-104.77769795,37.62548601,00301,,,,05Th,Street,E,,,00301 05Th Street E ,WALSENBURG,81089,NULL,19690,NULL,NULL,NULL,Huerfano,0xAD100000010CA05A9FCDC5315AC0E843FDEC0FD04240
2359994,055-000000-002052,29,-104.78078367,37.62553615,0,,,,Heritage,Park,,,,0 Heritage Park ,WALSENBURG,81089,NULL,60163,NULL,NULL,NULL,Huerfano,0xAD100000010C04C10E5CF8315AC02010899111D04240
2359995,055-000136-002053,29,-104.78306747,37.62547906,00136,,,,04Th,Street,W,,,00136 04Th Street W ,WALSENBURG,81089,NULL,17904,NULL,NULL,NULL,Huerfano,0xAD100000010C48B307C71D325AC080F5ABB20FD04240
2359996,055-000401-002054,29,-104.77434821,37.62544790,00401,,,,06Th,Street,E,,,00401 06Th Street E ,WALSENBURG,81089,NULL,33675,NULL,NULL,NULL,Huerfano,0xAD100000010CC057CAEB8E315AC0D07B3BAD0ED04240
2359997,055-000500-002055,29,-104.77639216,37.62544227,00500,,,,Pinon,Street,W,,,00500 Pinon Street W ,WALSENBURG,81089,NULL,12165,NULL,NULL,NULL,Huerfano,0xAD100000010C482AC068B0315AC0D000FF7D0ED04240
2359998,055-000000-002056,29,-104.78131205,37.62546365,0,,,,Heritage,Park,,,,0 Heritage Park ,WALSENBURG,81089,NULL,60163,NULL,NULL,NULL,Huerfano,0xAD100000010CA0F9450401325AC020CB60310FD04240
2359999,055-000214-002057,29,-104.79322102,37.62567012,00214,,,,Stout,Avenue,,,,00214 Stout Avenue ,WALSENBURG,81089,NULL,307635,NULL,NULL,NULL,Huerfano,0xAD100000010CF0A01522C4325AC008BE5FF515D04240
2360000,055-000223-002058,29,-104.78463138,37.62542355,00223,,,,03Rd,Street,W,,,00223 03Rd Street W ,WALSENBURG,81089,NULL,60262,NULL,NULL,NULL,Huerfano,0xAD100000010C78D5846637325AC0F81BF6E00DD04240
2360001,055-000638-002059,29,-104.77296299,37.62545177,00638,,,,Madison,Avenue,,,,00638 Madison Avenue ,WALSENBURG,81089,NULL,41975,NULL,NULL,NULL,Huerfano,0xAD100000010C5CC4C23978315AC05821BFCD0ED04240
2360002,055-000204-002060,29,-104.79072265,37.62562003,00204,,,,Sproull,Avenue,,,,00204 Sproull Avenue ,WALSENBURG,81089,NULL,148118,NULL,NULL,NULL,Huerfano,0xAD100000010CF4A22E339B325AC0D0FD2B5114D04240
2360003,055-000200-002061,29,-104.77363523,37.62540167,00200,,,,09Th,Street,E,,,00200 09Th Street E ,WALSENBURG,81089,NULL,11602,NULL,NULL,NULL,Huerfano,0xAD100000010C481E593D83315AC010337A290DD04240
2360004,055-000000-002062,29,-104.78095738,37.62546793,0,,,,Heritage,Park,,,,0 Heritage Park ,WALSENBURG,81089,NULL,60163,NULL,NULL,NULL,Huerfano,0xAD100000010C4009AF34FB315AC0C09441550FD04240
