1889998,123-011430-162280,NULL,-104.84324772,40.49335566,11430,NULL, , ,Madaket,Road, ,NULL, ,11430 Madaket Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010C809643C5F7355AC0987F3C47263F4440
1889999,123-011330-162281,NULL,-104.84405275,40.49324070,11330,NULL, , ,Madaket,Road, ,NULL, ,11330 Madaket Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010C9030D1F504365AC0700AD782223F4440
1890000,123-033906-162282,NULL,-104.84656143,40.49299388,33906,NULL, , ,Siasconset,Road, ,NULL, ,33906 Siasconset Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010C48C1FA0F2E365AC078B7656C1A3F4440
1890001,123-011320-162283,NULL,-104.84470462,40.49292253,11320,NULL, , ,Madaket,Road, ,NULL, ,11320 Madaket Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010C846BF7A30F365AC0E8E7E015183F4440
1890002,123-033936-162284,NULL,-104.84228228,40.49279053,33936,NULL, , ,Cliff,Road, ,NULL, ,33936 Cliff Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010C48B9F0F3E7355AC0383697C2133F4440
1890003,123-033838-162285,NULL,-104.86120032,40.49303475,33838,NULL, , ,Winter,Way, ,NULL, ,33838 Winter Way ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CD892F4E71D375AC0D8393BC31B3F4440
1890004,123-033901-162286,NULL,-104.84727512,40.49293396,33901,NULL, , ,Siasconset,Road, ,NULL, ,33901 Siasconset Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CD41271C139365AC0E0A4C275183F4440
1890005,123-011286-162287,NULL,-104.84535463,40.49264475,11286,NULL, , ,Madaket,Road, ,NULL, ,11286 Madaket Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CF0444D4A1A365AC03057B7FB0E3F4440
1890006,123-033933-162288,NULL,-104.84401488,40.49240598,33933,NULL, , ,Cliff,Road, ,NULL, ,33933 Cliff Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CFCBBFC5604365AC038A3B528073F4440
1890007,123-033814-162289,NULL,-104.86197104,40.49266824,33814,NULL, , ,Winter,Way, ,NULL, ,33814 Winter Way ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CC89392882A375AC0B8D8B6C00F3F4440
1890008,123-033876-162290,NULL,-104.84248811,40.49143093,33876,NULL, , ,Cliff,Road, ,NULL, ,33876 Cliff Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CE0004153EB355AC0A8DA6735E73E4440
1890009,123-033858-162291,NULL,-104.84630271,40.49235799,33858,NULL, , ,Siasconset,Road, ,NULL, ,33858 Siasconset Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010C3045D4D229365AC0F8BF2196053F4440
1890010,123-033875-162292,NULL,-104.84713762,40.49245806,33875,NULL, , ,Siasconset,Road, ,NULL, ,33875 Siasconset Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CA092B98037365AC010C4A7DD083F4440
1890011,123-033771-162293,NULL,-104.84504336,40.49172555,33771,NULL, , ,Cliff,Road, ,NULL, ,33771 Cliff Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CD8A6BD3015365AC0D084EADCF03E4440
1890012,123-033766-162294,NULL,-104.84453537,40.49137806,33766,NULL, , ,Cliff,Road, ,NULL, ,33766 Cliff Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CA4B015DE0C365AC0003FE479E53E4440
1890013,123-033847-162295,NULL,-104.84691346,40.49200806,33847,NULL, , ,Siasconset,Road, ,NULL, ,33847 Siasconset Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010C407585D433365AC0483DBB1EFA3E4440
1890014,123-033810-162296,NULL,-104.84614015,40.49181202,33810,NULL, , ,Siasconset,Road, ,NULL, ,33810 Siasconset Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010C2818052927365AC0004036B2F33E4440
1890015,123-033801-162297,NULL,-104.84673368,40.49148624,33801,NULL, , ,Siasconset,Road, ,NULL, ,33801 Siasconset Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CE44C7AE230365AC000357005E93E4440
1890016,123-033770-162298,NULL,-104.84583428,40.49119074,33770,NULL, , ,Siasconset,Road, ,NULL, ,33770 Siasconset Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CE09B1A2622365AC0F89B8956DF3E4440
1890017,123-033781-162299,NULL,-104.90803417,40.49128418,33781,NULL, ,Hwy,257, , ,NULL, ,33781 Hwy 257 ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010C38F3593B1D3A5AC0F8A06066E23E4440
1890018,123-033773-162300,NULL,-104.84654400,40.49107933,33773,NULL, , ,Siasconset,Road, ,NULL, ,33773 Siasconset Road ,Windsor,80550,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Weld,0xAD100000010CE0BAE3C62D365AC0087D05B0DB3E4440
