"1740044","-107.67258956","38.01992335","317"," "," ","","2Nd","Street"," "," "," ","317 2Nd Street ","Ouray","","Ouray"
"1740045","-107.67591158","38.01998884","302"," "," ","","Oak","Street"," "," "," ","302 Oak Street ","Ouray","","Ouray"
"1740046","-107.67120811","38.01996397","325"," "," ","","Main","Street"," "," "," ","325 Main Street ","Ouray","","Ouray"
"1740047","-107.66976756","38.02007936","327"," "," ","","4Th","Street"," "," "," ","327 4Th Street ","Ouray","","Ouray"
"1740048","-107.66907641","38.0201098","330"," "," ","","5Th","Street"," "," "," ","330 5Th Street ","Ouray","","Ouray"
"1740049","-107.66838511","38.02015184","335"," "," ","","5Th","Street"," "," "," ","335 5Th Street ","Ouray","","Ouray"
"1740050","-107.67121442","38.02011568","329"," "," ","","Main","Street"," "," "," ","329 Main Street ","Ouray","","Ouray"
"1740051","-107.67180631","38.02018191","334"," "," ","","Main","Street"," "," "," ","334 Main Street ","Ouray","","Ouray"
"1740052","-107.66975063","38.0202262","335"," "," ","","4Th","Street"," "," "," ","335 4Th Street ","Ouray","","Ouray"
"1740053","-107.6756473","38.02027956","306"," "," ","","Oak","Street"," "," "," ","306 Oak Street ","Ouray","","Ouray"
"1740054","-107.75715997","38.15025087","546"," "," ","","Hyde","Street"," "," "," ","546 Hyde Street ","Ridgway","","Ouray"
"1740055","-107.7636643","38.14999482","240"," ","South","","Amelia","Street"," "," "," ","240 South Amelia Street ","Ridgway","","Ouray"
"1740056","-107.75686095","38.15013417","526"," "," ","","Hyde","Street"," "," "," ","526 Hyde Street ","Ridgway","","Ouray"
"1740057","-107.82604124","38.16680221","2131"," "," ","","Pleasant Hills","Court"," "," "," ","2131 Pleasant Hills Court ","Ridgway","","Ouray"
"1740058","-107.82306222","38.17038147","8807"," "," ","","Pleasant Point","Drive"," "," "," ","8807 Pleasant Point Drive ","Ridgway","","Ouray"
"1740059","-107.82481044","38.17006205","8523"," "," ","","Pleasant Point","Drive"," "," "," ","8523 Pleasant Point Drive ","Ridgway","","Ouray"
"1740060","-107.82312757","38.16950469","8616"," "," ","","Pleasant Point","Drive"," "," "," ","8616 Pleasant Point Drive ","Ridgway","","Ouray"
"1740061","-107.75329003","38.16516023","210"," "," ","","Sweetwater","Drive"," "," "," ","210 Sweetwater Drive ","Ridgway","","Ouray"
"1740062","-107.74836264","38.15908237","171"," "," ","","Rabbit Brush","Court"," "," "," ","171 Rabbit Brush Court ","Ridgway","","Ouray"
"1740063","-107.74566838","38.15872199","330"," "," ","","Terrace","Drive"," "," "," ","330 Terrace Drive ","Ridgway","","Ouray"
"1740064","-107.74765699","38.15808091","200"," "," ","","Rabbit Brush","Court"," "," "," ","200 Rabbit Brush Court ","Ridgway","","Ouray"
"1740065","-107.74137736","38.15793683","615"," "," ","","Terrace","Drive"," "," "," ","615 Terrace Drive ","Ridgway","","Ouray"
"1740066","-107.74362127","38.15769042","495"," "," ","","Park","Lane"," "," "," ","495 Park Lane ","Ridgway","","Ouray"
"1740067","-107.74317159","38.15769168","525"," "," ","","Park","Lane"," "," "," ","525 Park Lane ","Ridgway","","Ouray"
"1740068","-107.74715557","38.15765325","240"," "," ","","Vista","Drive"," "," "," ","240 Vista Drive ","Ridgway","","Ouray"
"1740069","-107.74855239","38.15764363","220"," "," ","","Cimarron","Drive"," "," "," ","220 Cimarron Drive ","Ridgway","","Ouray"
"1740070","-107.75712504","38.1574694","642"," ","North","","Cora","Street"," "," "," ","642 North Cora Street ","Ridgway","","Ouray"
"1740071","-107.75724444","38.15730402","630"," ","North","","Cora","Street"," "," "," ","630 North Cora Street ","Ridgway","","Ouray"
"1740072","-107.75795229","38.15718864","635"," ","North","","Cora","Street"," "," "," ","635 North Cora Street ","Ridgway","","Ouray"
"1740073","-107.75726044","38.15709796","618"," ","North","","Cora","Street"," "," "," ","618 North Cora Street ","Ridgway","","Ouray"
"1740074","-107.74804489","38.1571787","150"," "," ","","Cimarron","Drive"," "," "," ","150 Cimarron Drive ","Ridgway","","Ouray"
"1740075","-107.75781512","38.15703471","621"," ","North","","Cora","Street"," "," "," ","621 North Cora Street ","Ridgway","","Ouray"
"1740076","-107.7400053","38.15720938","711"," "," ","","Terrace","Drive"," "," "," ","711 Terrace Drive ","Ridgway","","Ouray"
"1740077","-107.74286431","38.1572117","560"," "," ","","Park","Lane"," "," "," ","560 Park Lane ","Ridgway","","Ouray"
"1740078","-107.74705663","38.15710367","250"," "," ","","Cimarron","Drive"," "," "," ","250 Cimarron Drive ","Ridgway","","Ouray"
"1740079","-107.75782227","38.15663039","645"," "," ","","Roundhouse","Street"," "," "," ","645 Roundhouse Street ","Ridgway","","Ouray"
"1740080","-107.74660431","38.15691571","280"," "," ","","Cimarron","Drive"," "," "," ","280 Cimarron Drive ","Ridgway","","Ouray"
"1740081","-107.76598851","38.15557587","357"," ","North","","Amelia","Street"," "," "," ","357 North Amelia Street ","Ridgway","","Ouray"
"1740082","-107.74605942","38.15653298","310"," "," ","","Vista","Drive"," "," "," ","310 Vista Drive ","Ridgway","","Ouray"
"1740083","-107.74872832","38.15628122","129"," "," ","","Cimarron","Drive"," "," "," ","129 Cimarron Drive ","Ridgway","","Ouray"
"1740084","-107.74713933","38.15623682","138"," "," ","","Cimarron","Drive"," "," "," ","138 Cimarron Drive ","Ridgway","","Ouray"
"1740085","-107.73993103","38.15664801","718"," "," ","","Terrace","Drive"," "," "," ","718 Terrace Drive ","Ridgway","","Ouray"
"1740086","-107.75726426","38.15384651","350"," ","North","","Cora","Street"," "," "," ","350 North Cora Street ","Ridgway","","Ouray"
"1740087","-107.75655876","38.15384232","345"," ","North","","Lena","Street"," "," "," ","345 North Lena Street ","Ridgway","","Ouray"
"1740088","-107.75905699","38.1536453","707"," "," ","","Charles","Street"," "," "," ","707 Charles Street ","Ridgway","","Ouray"
"1740089","-107.75850056","38.15357361","641"," "," ","","Charles","Street"," "," "," ","641 Charles Street ","Ridgway","","Ouray"
"1740090","-107.75801249","38.15358797","611"," "," ","","Charles","Street"," "," "," ","611 Charles Street ","Ridgway","","Ouray"
"1740091","-107.76371496","38.15324943","1040"," "," ","","Charles","Street"," "," "," ","1040 Charles Street ","Ridgway","","Ouray"
"1740092","-107.76341705","38.15309242","1030"," "," ","","Charles","Street"," "," "," ","1030 Charles Street ","Ridgway","","Ouray"
"1740093","-107.76116886","38.15267587","843"," "," ","","Clinton","Street"," "," "," ","843 Clinton Street ","Ridgway","","Ouray"
"1740094","-107.76087913","38.15262387","833"," "," ","","Clinton","Street"," "," "," ","833 Clinton Street ","Ridgway","","Ouray"
"1740095","-107.76041886","38.15265425","809"," "," ","","Clinton","Street"," "," "," ","809 Clinton Street ","Ridgway","","Ouray"
"1740096","-107.75993861","38.15279264","761"," "," ","","Clinton","Street"," "," "," ","761 Clinton Street ","Ridgway","","Ouray"
"1740097","-107.75778634","38.15267512","609","1/2"," ","","Clinton","Street"," "," "," ","609 1/2 Clinton Street ","Ridgway","","Ouray"
"1740098","-107.7596603","38.152625","755"," "," ","","Clinton","Street"," "," "," ","755 Clinton Street ","Ridgway","","Ouray"
"1740099","-107.7593726","38.15266285","739"," "," ","","Clinton","Street"," "," "," ","739 Clinton Street ","Ridgway","","Ouray"
"1740100","-107.75912975","38.15265225","709"," "," ","","Clinton","Street"," "," "," ","709 Clinton Street ","Ridgway","","Ouray"
"1740101","-107.75742882","38.15257818","555"," "," ","","Clinton","Street"," "," "," ","555 Clinton Street ","Ridgway","","Ouray"
"1740102","-107.7571025","38.15260172","535"," "," ","","Clinton","Street"," "," "," ","535 Clinton Street ","Ridgway","","Ouray"
"1740103","-107.75682847","38.15261834","523"," "," ","","Clinton","Street"," "," "," ","523 Clinton Street ","Ridgway","","Ouray"
"1740104","-107.76471803","38.1518181","1125"," "," ","","Sherman","Street"," "," "," ","1125 Sherman Street ","Ridgway","","Ouray"
"1740105","-107.66968298","38.02311911","615"," "," ","","4Th","Street"," "," "," ","615 4Th Street ","Ouray","","Ouray"
"1740106","-107.67537259","38.02296866","602"," "," ","","Oak","Street"," "," "," ","602 Oak Street ","Ouray","","Ouray"
"1740107","-107.67263977","38.02306998","611"," "," ","","2Nd","Street"," "," "," ","611 2Nd Street ","Ouray","","Ouray"
"1740108","-107.67382355","38.02299582","122"," "," ","","6Th","Avenue"," "," "," ","122 6Th Avenue ","Ouray","","Ouray"
"1740109","-107.67405864","38.02296019","118"," "," ","","6Th","Avenue"," "," "," ","118 6Th Avenue ","Ouray","","Ouray"
"1740110","-107.67461115","38.02296017","96"," "," ","","6Th","Avenue"," "," "," ","96 6Th Avenue ","Ouray","","Ouray"
"1740111","-107.67263981","38.02313832","615"," "," ","","2Nd","Street"," "," "," ","615 2Nd Street ","Ouray","","Ouray"
"1740112","-107.67344521","38.02306643","120"," "," ","","6Th","Avenue"," "," "," ","120 6Th Avenue ","Ouray","","Ouray"
"1740113","-107.67127239","38.02312593","617"," "," ","","Main","Street"," "," "," ","617 Main Street ","Ouray","","Ouray"
"1740114","-107.66895888","38.02304794","614"," "," ","","5Th","Street"," "," "," ","614 5Th Street ","Ouray","","Ouray"
"1740115","-107.75507503","38.15280267","201"," ","North","","Railroad","Street"," "," "," ","201 North Railroad Street ","Ridgway","","Ouray"
