"923396","-104.99957652","39.74769945","1415","","","","Larimer","Street","","","","1415 Larimer Street","","","Denver"
"923397","-105.02345651","39.7577748","2826","","North","","Eliot","Street","","","","2826 North Eliot Street","","","Denver"
"923398","-104.95655128","39.73352971","2538","","East","","11Th","Avenue","","","","2538 East 11Th Avenue","","","Denver"
"923399","-104.94516922","39.71245863","227","","South","","Monroe","Street","","","","227 South Monroe Street","","","Denver"
"923400","-105.04921336","39.72930092","4808","","West","","8Th","Avenue","","","","4808 West 8Th Avenue","","","Denver"
"923401","-105.02121847","39.76309698","2724","","West","","33Rd","Avenue","","","","2724 West 33Rd Avenue","","","Denver"
"923402","-104.99956459","39.7473782","1402","","","","Larimer","Street","","","","1402 Larimer Street","","","Denver"
"923403","-104.99932501","39.74756112","1410","","","","Larimer","Street","","","","1410 Larimer Street","","","Denver"
"923404","-104.99954792","39.74772129","1417","","","","Larimer","Street","","","","1417 Larimer Street","","","Denver"
"923405","-104.9992654","39.74793971","1437","","","","Larimer","Street","","","","1437 Larimer Street","","","Denver"
"923406","-105.01086429","39.76708716","3600","","North","","Tejon","Street","","#","101","3600 North Tejon Street # 101","","","Denver"
"923407","-105.01087487","39.76710094","3600","","North","","Tejon","Street","","#","102","3600 North Tejon Street # 102","","","Denver"
"923408","-104.87759552","39.78429663","4931","","North","","Dallas","Street","","","","4931 North Dallas Street","","","Denver"
"923409","-104.89870245","39.6362857","4400","","South","","Syracuse","Street","","","","4400 South Syracuse Street","","","Denver"
"923410","-104.97315197","39.7430764","1104","","East","","17Th","Avenue","","","","1104 East 17Th Avenue","","","Denver"
"923411","-105.02723049","39.75300506","2431","","North","","Grove","Street","","","","2431 North Grove Street","","","Denver"
"923412","-105.04535028","39.77073655","3879","","North","","Utica","Street","","","","3879 North Utica Street","","","Denver"
"923413","-105.04541646","39.76107909","4512","","West","","31St","Avenue","","","","4512 West 31St Avenue","","","Denver"
"923414","-105.01136522","39.69725778","1913","","West","","Mississippi","Avenue","","","","1913 West Mississippi Avenue","","","Denver"
"923415","-104.86559019","39.75558027","2695","","North","","Havana","Street","","","","2695 North Havana Street","","","Denver"
"923416","-104.91917055","39.7399947","5910","","East","","Colfax","Avenue","","","","5910 East Colfax Avenue","","","Denver"
"923417","-104.92996061","39.67509343","4959","","East","","Iliff","Avenue","","","","4959 East Iliff Avenue","","","Denver"
"923418","-104.98594449","39.74534566","1820","","North","","Lincoln","Street","","","","1820 North Lincoln Street","","","Denver"
"923419","-104.98594768","39.74539509","1822","","North","","Lincoln","Street","","","","1822 North Lincoln Street","","","Denver"
"923420","-105.01675637","39.77156701","2434","","West","","40Th","Avenue","","","","2434 West 40Th Avenue","","","Denver"
"923421","-104.97912421","39.68493842","1738","","South","","Washington","Street","","","","1738 South Washington Street","","","Denver"
"923422","-104.97913509","39.68490828","1740","","South","","Washington","Street","","","","1740 South Washington Street","","","Denver"
"923423","-105.02184195","39.75304369","2450","","North","","Decatur","Street","","","","2450 North Decatur Street","","","Denver"
"923424","-105.02190926","39.75308239","2454","","North","","Decatur","Street","","","","2454 North Decatur Street","","","Denver"
"923425","-105.02190516","39.75316199","2458","","North","","Decatur","Street","","","","2458 North Decatur Street","","","Denver"
"923426","-104.93850041","39.68852627","1531","","South","","Ash","Street","","","","1531 South Ash Street","","","Denver"
"923427","-104.93861071","39.68850758","1533","","South","","Ash","Street","","","","1533 South Ash Street","","","Denver"
"923428","-105.021904","39.75333219","2474","","North","","Decatur","Street","","","","2474 North Decatur Street","","","Denver"
"923429","-104.93867472","39.68850239","1535","","South","","Ash","Street","","","","1535 South Ash Street","","","Denver"
"923430","-105.04763678","39.72898739","4723","","West","","7Th","Avenue","","","","4723 West 7Th Avenue","","","Denver"
"923431","-105.04762633","39.72895441","4721","","West","","7Th","Avenue","","","","4721 West 7Th Avenue","","","Denver"
"923432","-105.04762336","39.72886381","4719","","West","","7Th","Avenue","","","","4719 West 7Th Avenue","","","Denver"
"923433","-105.02721339","39.75290342","2423","","North","","Grove","Street","","","","2423 North Grove Street","","","Denver"
"923434","-104.95696759","39.762884","3248","","North","","Columbine","Street","","","","3248 North Columbine Street","","","Denver"
"923435","-104.96810415","39.7386091","1601","","East","","14Th","Avenue","","","","1601 East 14Th Avenue","","","Denver"
"923436","-104.99948341","39.74778965","1423","","","","Larimer","Street","","#","040","1423 Larimer Street # 040","","","Denver"
"923437","-104.99948341","39.74778965","1423","","","","Larimer","Street","","#","050","1423 Larimer Street # 050","","","Denver"
