"2335085","2901271.01837","1335851.9747","65",""," ","Co Rd","County Road 4984","Drive"," ","","","65 County Road 4984 Drive ","","80447","Grand"
"2335086","2896018.69161","1311626.91475","65",""," ","Co Rd","County Road 6451","Drive"," ","","","65 County Road 6451 Drive ","","80447","Grand"
"2335087","2900086.69782","1319320.6994","65",""," ","Co Rd","County Road 6621","Circle"," ","","","65 County Road 6621 Circle ","","80447","Grand"
"2335088","2921324.29713","1216909.67705","65",""," ","","Discovery","Lane"," ","","","65 Discovery Lane ","","80482","Grand"
"2335089","2920983.27812","1218272.98436","65",""," ","","Englemanand"," "," ","","","65 Englemanand ","","80442","Grand"
"2335090","2904295.09347","1335701.3335","65",""," ","","Foxy","Lane"," ","","","65 Foxy Lane ","","80447","Grand"
"2335091","2917404.65372","1211296.53802","65",""," ","","Lake Trail Ct","Lane"," ","","","65 Lake Trail Ct Lane ","","80482","Grand"
"2335092","2921959.28339","1216633.93876","65",""," ","","Reunion Ct","Court"," ","","","65 Reunion Ct Court ","","80482","Grand"
"2335093","2890540.50076","1298373.40575","650",""," ","Co Rd","County Road 4052","Drive"," ","","","650 County Road 4052 Drive ","","80446","Grand"
"2335094","2900702.12397","1319112.59515","650",""," ","Co Rd","County Road 662","Drive"," ","","","650 County Road 662 Drive ","","80447","Grand"
"2335095","2917187.89398","1212203.94368","650",""," ","","Elk Trl","Trail"," ","","","650 Elk Trl Trail ","","80482","Grand"
"2335096","2918060.35188","1211102.3947","650",""," ","","Vasquez","Road"," ","","","650 Vasquez Road ","","80482","Grand"
"2335097","2879384.74763","1274904.08064","650","","East","","E Garnet","Avenue"," ","","","650 East E Garnet Avenue ","","80446","Grand"
"2335098","2912262.7644","1225022.56831","650-652",""," ","","Wapiti","Drive"," ","","","650-652 Wapiti Drive ","","80442","Grand"
"2335099","2911114.25193","1225130.72754","651",""," ","","Park Pl","Place"," ","","","651 Park Pl Place ","","80442","Grand"
"2335100","2898473.69577","1326968.31891","652",""," ","Co Rd","County Road 464","Road"," ","","","652 County Road 464 Road ","","80447","Grand"
"2335101","2720324.86141","1285270.86005","653",""," ","Co Rd","County Road 134","Road"," ","","","653 County Road 134 Road ","","80459","Grand"
"2335102","2917298.66246","1214369.97839","653",""," ","","Leland Creek","Circle"," ","","","653 Leland Creek Circle ","","80482","Grand"
"2335103","2912043.66543","1224818.73833","653",""," ","","Quail","Drive"," ","","","653 Quail Drive ","","80442","Grand"
