2100016,039-010632-346329,NULL,-104.76775807,38.98564995,10632, ,,,Leadville Creek,Point,,,,10632 Leadville Creek Point ,Colorado Springs,80908,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CB89EC0F222315AC038B814C7297E4340
2100017,039-011980-346330,NULL,-104.58841253,39.00313614,11980, ,,,Conestoga,Trail,South,,,11980 Conestoga Trail South ,Elbert County,80106,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C4414058DA8255AC0B012D5C366804340
2100018,039-003312-346331,NULL,-104.76806483,38.98587976,3312, ,,,Ironton Creek,Point,,,,3312 Ironton Creek Point ,Colorado Springs,80908,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C74A965F927315AC0C858D54E317E4340
2100019,039-000820-346332,NULL,-104.84186789,39.09965870,820, ,,,Lake Woodmoor,Drive,,,,820 Lake Woodmoor Drive ,Monument,80132,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CEC8DD829E1355AC010EDC89DC18C4340
2100020,039-018760-346333,NULL,-104.84852694,39.10410138,18760, ,,,White Fawn,Drive,,,,18760 White Fawn Drive ,Monument,80132,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CAC57F1434E365AC0D0DFB331538D4340
2100021,039-018944-346334,NULL,-104.84282003,39.10652576,18944, ,,,Pebble Beach,Way,,,,18944 Pebble Beach Way ,Monument,80132,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CE0506CC3F0355AC05865D3A2A28D4340
2100022,039-011960-346335,NULL,-104.58838745,39.00456872,11960, ,,,Conestoga,Trail,South,,,11960 Conestoga Trail South ,Elbert County,80106,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C8026DB23A8255AC0107E33B595804340
2100023,039-012440-346336,NULL,-104.58402664,39.00756935,12440, ,,,Conestoga,Trail,North,,,12440 Conestoga Trail North ,Elbert County,80106,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C9CC546B160255AC0E8F05708F8804340
2100024,039-003318-346337,NULL,-104.76799750,38.98590244,3318, ,,,Ironton Creek,Point,,,,3318 Ironton Creek Point ,Colorado Springs,80908,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C7454FADE26315AC0686C180D327E4340
2100025,039-010804-346338,NULL,-104.76892620,38.98604047,10804, ,,,Creede Creek,Point,,,,10804 Creede Creek Point ,Colorado Springs,80908,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C08BB3F1636315AC028BDFB92367E4340
