1280018,059-000443-322318,NULL,105.11124000,39.70869000,443, ,South,NULL,Kline,Street, ,NULL, ,443 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C84BD3F941E475AC0988BF44CB6DA4340
1280019,059-000448-322319,NULL,105.11057000,39.70824000,448, ,South,NULL,Kline,Street, ,NULL, ,448 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CB4F5179D13475AC0E0E2A390A7DA4340
1280020,059-000453-322320,NULL,105.11124000,39.70848000,453, ,South,NULL,Kline,Street, ,NULL, ,453 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C60FC18991E475AC018DAC576AFDA4340
1280021,059-000463-322321,NULL,105.11124000,39.70827000,463, ,South,NULL,Kline,Street, ,NULL, ,463 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C50421A8F1E475AC098B17889A8DA4340
1280022,059-000468-322322,NULL,105.11059000,39.70797000,468, ,South,NULL,Kline,Street, ,NULL, ,468 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CCCE106EE13475AC030EF44929EDA4340
1280023,059-000473-322323,NULL,105.11124000,39.70806000,473, ,South,NULL,Kline,Street, ,NULL, ,473 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C2053E2931E475AC0D0D750CAA1DA4340
1280024,059-000483-322324,NULL,105.11124000,39.70785000,483, ,South,NULL,Kline,Street, ,NULL, ,483 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C1499E3891E475AC048AF03DD9ADA4340
1280025,059-000488-322325,NULL,105.11057000,39.70770000,488, ,South,NULL,Kline,Street, ,NULL, ,488 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010C1013B69A13475AC0D053ECEE95DA4340
1280026,059-000492-322326,NULL,105.11057000,39.70769000,492, ,South,NULL,Kline,Street, ,NULL, ,492 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CC8AD079B13475AC0401DCA7B95DA4340
1280027,059-000493-322327,NULL,105.11124000,39.70764000,493, ,South,NULL,Kline,Street, ,NULL, ,493 South Kline Street ,Lakewood,80226,NULL,NULL,2019-04-29 00:00:00.0000000,ACTIVE,NO CHANGE,Jefferson,0xAD100000010CA8CFAD8E1E475AC080D5DB1D94DA4340
