2090015,039-001247-336328,NULL,-104.80396525,38.92596599,1247, ,,,Willow Bend,Circle,,,C,1247 Willow Bend Circle C,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C30ACA52A74335AC090D5B10D86764340
2090016,039-006490-336329,NULL,-104.80731764,38.92538144,6490, ,,,Yvonne,Way,,APT,5,6490 Yvonne Way APT 5,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CEC779D17AB335AC0D01E20E672764340
2090017,039-006490-336330,NULL,-104.80724133,38.92538456,6490, ,,,Yvonne,Way,,APT,6,6490 Yvonne Way APT 6,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C74DC86D7A9335AC0B86A4E0073764340
2090018,039-006490-336331,NULL,-104.80711322,38.92537903,6490, ,,,Yvonne,Way,,APT,7,6490 Yvonne Way APT 7,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CF04F39BEA7335AC010D5EAD172764340
2090019,039-006490-336332,NULL,-104.80703090,38.92537258,6490, ,,,Yvonne,Way,,APT,8,6490 Yvonne Way APT 8,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C4084ED64A6335AC0D0B5D19B72764340
2090020,039-006470-336333,NULL,-104.80729104,38.92518696,6470, ,,,Yvonne,Way,,APT,3,6470 Yvonne Way APT 3,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C349106A8AA335AC0A862C2866C764340
2090021,039-006470-336334,NULL,-104.80736860,38.92521245,6470, ,,,Yvonne,Way,,APT,4,6470 Yvonne Way APT 4,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010C6C2158EDAB335AC020E4975C6D764340
2090022,039-006470-336335,NULL,-104.80708365,38.92517619,6470, ,,,Yvonne,Way,,APT,5,6470 Yvonne Way APT 5,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CD8652D42A7335AC050226C2C6C764340
2090023,039-006470-336336,NULL,-104.80714291,38.92520038,6470, ,,,Yvonne,Way,,APT,6,6470 Yvonne Way APT 6,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CE0C7C13AA8335AC0B09D55F76C764340
2090024,039-001247-336337,NULL,-104.80389575,38.92596533,1247, ,,,Willow Bend,Circle,,,A,1247 Willow Bend Circle A,Colorado Springs,80918,NULL,NULL,2018-06-21 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,ElPaso,0xAD100000010CEC0E2B0773335AC03833240886764340
