1670019,077-000515-141568,NULL,-108.53209676,39.08061591,515, , , ,Court,Road, ,Unit,103,515 Court Road Unit 103,Grand Junction,81501,NULL,NULL,2019-05-21 00:00:00.0000000,ACTIVE,ADD,Mesa,0xAD100000010CB87A8FDF0D225BC0200D3E9F518A4340
1670020,077-000515-141569,NULL,-108.53254069,39.08064368,515, , , ,Court,Road, ,Unit,204,515 Court Road Unit 204,Grand Junction,81501,NULL,NULL,2019-05-21 00:00:00.0000000,ACTIVE,ADD,Mesa,0xAD100000010C308A872515225BC098F73588528A4340
1670021,077-000515-141570,NULL,-108.53240231,39.08064075,515, , , ,Court,Road, ,Unit,203,515 Court Road Unit 203,Grand Junction,81501,NULL,NULL,2019-05-21 00:00:00.0000000,ACTIVE,ADD,Mesa,0xAD100000010CF07023E112225BC010D7A16F528A4340
1670022,077-000515-141571,NULL,-108.53209588,39.08064115,515, , , ,Court,Road, ,Unit,107,515 Court Road Unit 107,Grand Junction,81501,NULL,NULL,2019-05-21 00:00:00.0000000,ACTIVE,ADD,Mesa,0xAD100000010C2896DEDB0D225BC060D5FC72528A4340
1670023,077-000515-141572,NULL,-108.53222542,39.08064389,515, , , ,Court,Road, ,Unit,108,515 Court Road Unit 108,Grand Junction,81501,NULL,NULL,2019-05-21 00:00:00.0000000,ACTIVE,ADD,Mesa,0xAD100000010CDC5236FB0F225BC05887018A528A4340
1670024,077-000515-141573,NULL,-108.53222222,39.08073568,515, , , ,Court,Road, ,Unit,105,515 Court Road Unit 105,Grand Junction,81501,NULL,NULL,2019-05-21 00:00:00.0000000,ACTIVE,ADD,Mesa,0xAD100000010CAC46C9ED0F225BC000C2FA8B558A4340
1670025,077-000515-141574,NULL,-108.53209260,39.08073523,515, , , ,Court,Road, ,Unit,106,515 Court Road Unit 106,Grand Junction,81501,NULL,NULL,2019-05-21 00:00:00.0000000,ACTIVE,ADD,Mesa,0xAD100000010CC0A31BCE0D225BC060AF3888558A4340
1670026,077-000515-141575,NULL,-108.53241041,39.08074656,515, , , ,Court,Road, ,Unit,206,515 Court Road Unit 206,Grand Junction,81501,NULL,NULL,2019-05-21 00:00:00.0000000,ACTIVE,ADD,Mesa,0xAD100000010C3C9A1A0313225BC0B87E32E7558A4340
1670027,077-000515-141576,NULL,-108.53253693,39.08075153,515, , , ,Court,Road, ,Unit,205,515 Court Road Unit 205,Grand Junction,81501,NULL,NULL,2019-05-21 00:00:00.0000000,ACTIVE,ADD,Mesa,0xAD100000010C4445C21515225BC0A05FF010568A4340
1670028,077-000515-141577,NULL,-108.53209180,39.08075818,515, , , ,Court,Road, ,Unit,102,515 Court Road Unit 102,Grand Junction,81501,NULL,NULL,2019-05-21 00:00:00.0000000,ACTIVE,ADD,Mesa,0xAD100000010C6CA5C0CA0D225BC008FEB648568A4340
