200018,001-006320-346541,NULL,-104.92150039,39.81127859,6320,NULL, ,NULL,Holly,Street,NULL,NULL, ,6320 Holly Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C4493C5DCF93A5AC0606809FAD7E74340
200019,001-006171-346542,NULL,-104.90730721,39.80814404,6171,NULL, ,NULL,Olive,Street,NULL,NULL, ,6171 Olive Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C7C4C3E52113A5AC03064844371E74340
200020,001-005855-346543,NULL,-104.90419165,39.80278955,5855,NULL, ,NULL,Quebec,Street,NULL,NULL, ,5855 Quebec Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CDCBCAA46DE395AC008D2CECEC1E64340
200021,001-005819-346544,NULL,-104.90426312,39.80243785,5819,NULL, ,NULL,Quebec,Street,NULL,NULL, ,5819 Quebec Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C20EB6C72DF395AC0108F9348B6E64340
200022,001-005750-346545,NULL,-104.92117143,39.80078347,5750,NULL, ,NULL,Holly,Street,NULL,NULL, ,5750 Holly Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C00770379F43A5AC030449D1280E64340
200023,001-005850-346546,NULL,-104.91928309,39.80016728,5850,NULL,East,NULL,58Th,Avenue,NULL,NULL, ,5850 East 58Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C9832C388D53A5AC040E8ABE16BE64340
200024,001-006120-346547,NULL,-104.91745334,39.80128826,6120,NULL,East,NULL,58Th,Avenue,NULL,NULL, ,6120 East 58Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CD8CC378EB73A5AC070F2109D90E64340
200025,001-006333-346548,NULL,-104.91514007,39.79888658,6333,NULL,East,NULL,56Th,Avenue,NULL,NULL, ,6333 East 56Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010CD032ABA7913A5AC0A0DC56EA41E64340
200026,001-006475-346549,NULL,-104.91350154,39.79889107,6475,NULL,East,NULL,56Th,Avenue,NULL,NULL, ,6475 East 56Th Avenue ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C90A327CF763A5AC08081071042E64340
200027,001-006370-346550,NULL,-104.91719719,39.81229264,6370,NULL, ,NULL,Kearney,Street,NULL,NULL, ,6370 Kearney Street ,NULL,NULL,NULL,NULL,2019-02-12 00:00:00.0000000,ACTIVE,NO CHANGE,Adams,0xAD100000010C1CC2D75BB33A5AC038F08B34F9E74340
