"1416137","-107.72056425","37.20142191","3269",""," ","Cr","510"," ","",""," ","3269 Cr 510 ","","","La Plata"
"1416138","-107.7946215","37.19819217","5490",""," ","Cr","302"," ","",""," ","5490 Cr 302 ","","","La Plata"
"1416139","-107.71518584","37.19969032","3699",""," ","Cr","510"," ","",""," ","3699 Cr 510 ","","","La Plata"
"1416140","-107.62420755","37.20174096","9118",""," ","Cr","510"," ","",""," ","9118 Cr 510 ","","","La Plata"
"1416141","-107.79632902","37.19807708","5497",""," ","Cr","302"," ","",""," ","5497 Cr 302 ","","","La Plata"
"1416142","-107.67221946","37.20119152","6187",""," ","Cr","510"," ","",""," ","6187 Cr 510 ","","","La Plata"
"1416143","-107.63670742","37.20200951","8462",""," ","Cr","510"," ","",""," ","8462 Cr 510 ","","","La Plata"
"1416144","-107.68952811","37.20099971","5117",""," ","Cr","510"," ","",""," ","5117 Cr 510 ","","","La Plata"
"1416145","-107.60530641","37.20133812","4851",""," ","Cr","516"," ","",""," ","4851 Cr 516 ","","","La Plata"
"1416146","-107.84531565","37.19730548","125",""," ","","Eagle View Place","Place","",""," ","125 Eagle View Placeace Pl ","","","La Plata"
"1416147","-107.63619841","37.20196964","8478",""," ","Cr","510"," ","",""," ","8478 Cr 510 ","","","La Plata"
"1416148","-107.67250039","37.20293537","6233",""," ","Cr","510"," ","",""," ","6233 Cr 510 ","","","La Plata"
"1416149","-107.86962161","37.19687087","9955",""," ","Cr","213"," ","",""," ","9955 Cr 213 ","","","La Plata"
"1416150","-107.63330339","37.20174504","8560",""," ","Cr","510"," ","",""," ","8560 Cr 510 ","","","La Plata"
"1416151","-107.70750943","37.2011636","4135",""," ","Cr","510"," ","",""," ","4135 Cr 510 ","","","La Plata"
"1416152","-107.76015434","37.19868817","2959",""," ","Cr","222"," ","",""," ","2959 Cr 222 ","","","La Plata"
"1416153","-107.75585242","37.2000772","2795",""," ","Cr","222"," ","",""," ","2795 Cr 222 ","","","La Plata"
"1416154","-107.62540729","37.20194906","9030",""," ","Cr","510"," ","",""," ","9030 Cr 510 ","","","La Plata"
"1416155","-107.84447276","37.1976415","127",""," ","","Eagle View","Place","",""," ","127 Eagle View Place ","","","La Plata"
"1416156","-107.72815615","37.19936682","3088",""," ","Cr","510"," ","",""," ","3088 Cr 510 ","","","La Plata"
"1416157","-107.76719455","37.19877791","3353",""," ","Cr","222"," ","",""," ","3353 Cr 222 ","","","La Plata"
"1416158","-107.68063528","37.19992412","5629",""," ","Cr","510"," ","",""," ","5629 Cr 510 ","","","La Plata"
"1416159","-107.69756301","37.19989427","4757",""," ","Cr","510"," ","",""," ","4757 Cr 510 ","","","La Plata"
"1416160","-107.64427872","37.20202536","7996",""," ","Cr","510"," ","",""," ","7996 Cr 510 ","","","La Plata"
"1416161","-107.64199715","37.20185848","7960",""," ","Cr","510"," ","",""," ","7960 Cr 510 ","","","La Plata"
"1416162","-107.64584602","37.20215963","7943",""," ","Cr","510"," ","",""," ","7943 Cr 510 ","","","La Plata"
"1416163","-107.8689646","37.19741307","10023",""," ","Cr","213"," ","",""," ","10023 Cr 213 ","","","La Plata"
"1416164","-107.8197739","37.19868048","897",""," ","Cr","304"," ","",""," ","897 Cr 304 ","","","La Plata"
"1416165","-107.72935227","37.20102344","2926",""," ","Cr","510"," ","",""," ","2926 Cr 510 ","","","La Plata"
"1416166","-107.72753934","37.20006275","2944",""," ","Cr","510"," ","",""," ","2944 Cr 510 ","","","La Plata"
"1416167","-107.8684983","37.19783721","10091",""," ","Cr","213"," ","",""," ","10091 Cr 213 ","","","La Plata"
"1416168","-107.82080694","37.19876676","845",""," ","Cr","304"," ","",""," ","845 Cr 304 ","","","La Plata"
"1416169","-107.82639951","37.19882204","1155",""," ","Cr","301"," ","",""," ","1155 Cr 301 ","","","La Plata"
"1416170","-107.81724075","37.19927283","821",""," ","Cr","304"," ","",""," ","821 Cr 304 ","","","La Plata"
"1416171","-107.82364976","37.19932102","1063",""," ","Cr","301"," ","",""," ","1063 Cr 301 ","","","La Plata"
"1416172","-107.63688364","37.20281676","8453",""," ","Cr","510"," ","",""," ","8453 Cr 510 ","","","La Plata"
"1416173","-107.62545661","37.20316066","9119",""," ","Cr","510"," ","",""," ","9119 Cr 510 ","","","La Plata"
"1416174","-107.86802261","37.1982516","10095",""," ","Cr","213"," ","",""," ","10095 Cr 213 ","","","La Plata"
"1416175","-107.86538019","37.19871569","10161",""," ","Cr","213"," ","",""," ","10161 Cr 213 ","","","La Plata"
"1416176","-107.63282389","37.20326569","8683",""," ","Cr","510"," ","",""," ","8683 Cr 510 ","","","La Plata"
"1416177","-107.62842205","37.20563876","8853",""," ","Cr","510"," ","",""," ","8853 Cr 510 ","","","La Plata"
"1416178","-107.64657119","37.20313907","7951",""," ","Cr","510"," ","",""," ","7951 Cr 510 ","","","La Plata"
"1416179","-107.63894706","37.20314223","8327",""," ","Cr","510"," ","",""," ","8327 Cr 510 ","","","La Plata"
"1416180","-107.76108457","37.2013285","2979",""," ","Cr","222"," ","",""," ","2979 Cr 222 ","","","La Plata"
"1416181","-107.75400525","37.20110239","2484",""," ","Cr","222"," ","",""," ","2484 Cr 222 ","","","La Plata"
"1416182","-107.81658787","37.19967738","777",""," ","Cr","304"," ","",""," ","777 Cr 304 ","","","La Plata"
"1416183","-107.63360268","37.2032548","8681",""," ","Cr","510"," ","",""," ","8681 Cr 510 ","","","La Plata"
"1416184","-107.63064653","37.20540077","8849",""," ","Cr","510"," ","",""," ","8849 Cr 510 ","","","La Plata"
"1416185","-107.86719702","37.19890344","10143",""," ","Cr","213"," ","",""," ","10143 Cr 213 ","","","La Plata"
"1416186","-107.61745632","37.20404596","4040",""," ","Cr","509"," ","",""," ","4040 Cr 509 ","","","La Plata"
"1416187","-107.79614465","37.20030567","5655",""," ","Cr","302"," ","",""," ","5655 Cr 302 ","","","La Plata"
"1416188","-107.63573748","37.20387312","8485",""," ","Cr","510"," ","",""," ","8485 Cr 510 ","","","La Plata"
"1416189","-107.86700135","37.19951392","10257",""," ","Cr","213"," ","",""," ","10257 Cr 213 ","","","La Plata"
"1416190","-107.61446882","37.20330054","4044",""," ","Cr","509"," ","",""," ","4044 Cr 509 ","","","La Plata"
"1416191","-107.818448","37.20079674","831",""," ","Cr","304"," ","",""," ","831 Cr 304 ","","","La Plata"
"1416192","-107.64170581","37.20395136","8307",""," ","Cr","510"," ","",""," ","8307 Cr 510 ","","","La Plata"
"1416193","-107.69784412","37.20334981","4673",""," ","Cr","510"," ","",""," ","4673 Cr 510 ","","","La Plata"
"1416194","-107.63298343","37.20460546","8685",""," ","Cr","510"," ","",""," ","8685 Cr 510 ","","","La Plata"
"1416195","-107.55295614","37.20609533","5417",""," ","Cr","523"," ","",""," ","5417 Cr 523 ","","","La Plata"
"1416196","-107.72781635","37.20343295","2700",""," ","Cr","510"," ","",""," ","2700 Cr 510 ","","","La Plata"
"1416197","-107.82109765","37.20073544","1000",""," ","Cr","301"," ","",""," ","1000 Cr 301 ","","","La Plata"
"1416198","-107.86591413","37.20006444","10261",""," ","Cr","213"," ","",""," ","10261 Cr 213 ","","","La Plata"
"1416199","-107.55216942","37.20633388","5415",""," ","Cr","523"," ","",""," ","5415 Cr 523 ","","","La Plata"
"1416200","-107.54930124","37.20259748","5182",""," ","Cr","523"," ","",""," ","5182 Cr 523 ","","","La Plata"
"1416201","-107.63435768","37.20520071","8687",""," ","Cr","510"," ","",""," ","8687 Cr 510 ","","","La Plata"
"1416202","-107.61925988","37.20570603","4032",""," ","Cr","509"," ","",""," ","4032 Cr 509 ","","","La Plata"
"1416203","-107.86538634","37.20076434","10377",""," ","Cr","213"," ","",""," ","10377 Cr 213 ","","","La Plata"
"1416204","-107.76135251","37.19914883","2999",""," ","Cr","222"," ","",""," ","2999 Cr 222 ","","","La Plata"
"1416205","-107.63856311","37.20575369","8313",""," ","Cr","510"," ","",""," ","8313 Cr 510 ","","","La Plata"
"1416206","-107.63989993","37.20711624","8315",""," ","Cr","510"," ","",""," ","8315 Cr 510 ","","","La Plata"
"1416207","-107.72763276","37.20455538","2616",""," ","Cr","510"," ","",""," ","2616 Cr 510 ","","","La Plata"
"1416208","-107.86474104","37.20132905","10381",""," ","Cr","213"," ","",""," ","10381 Cr 213 ","","","La Plata"
