"490036","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","110","14010 East Harvard Place APT 110","Aurora","80014","Arapahoe"
"490037","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","202","14010 East Harvard Place APT 202","Aurora","80014","Arapahoe"
"490038","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","301","13801 East Yale Avenue APT 301","Aurora","80014","Arapahoe"
"490039","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","308","13801 East Yale Avenue APT 308","Aurora","80014","Arapahoe"
"490040","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","130E","2670 South Abilene Street APT 130E","Aurora","80014","Arapahoe"
"490041","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","207E","2670 South Abilene Street APT 207E","Aurora","80014","Arapahoe"
"490042","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","209E","2670 South Abilene Street APT 209E","Aurora","80014","Arapahoe"
"490043","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","230E","2670 South Abilene Street APT 230E","Aurora","80014","Arapahoe"
"490044","-104.82423598","39.66815017","14076"," ","East"," ","Vassar","Avenue"," ",""," ","14076 East Vassar Avenue ","Aurora","80014","Arapahoe"
"490045","-104.82423771","39.66884025","14096"," ","East"," ","Vassar","Avenue"," ",""," ","14096 East Vassar Avenue ","Aurora","80014","Arapahoe"
"490046","-104.82578244","39.66814926","13956"," ","East"," ","Vassar","Avenue"," ","APT","201","13956 East Vassar Avenue APT 201","Aurora","80014","Arapahoe"
"490047","-104.82518389","39.66814932","13976"," ","East"," ","Vassar","Avenue"," ","APT","203","13976 East Vassar Avenue APT 203","Aurora","80014","Arapahoe"
"490048","-104.82483453","39.66815069","14056"," ","East"," ","Vassar","Avenue"," ","APT","301","14056 East Vassar Avenue APT 301","Aurora","80014","Arapahoe"
"490049","-104.82423598","39.66815017","14076"," ","East"," ","Vassar","Avenue"," ","APT","104","14076 East Vassar Avenue APT 104","Aurora","80014","Arapahoe"
"490050","-104.82423771","39.66884025","14096"," ","East"," ","Vassar","Avenue"," ","APT","103","14096 East Vassar Avenue APT 103","Aurora","80014","Arapahoe"
"490051","-104.82518783","39.66884148","13996"," ","East"," ","Vassar","Avenue"," ","APT","306","13996 East Vassar Avenue APT 306","Aurora","80014","Arapahoe"
"490052","-104.82578638","39.66884125","13936"," ","East"," ","Vassar","Avenue"," ","APT","302","13936 East Vassar Avenue APT 302","Aurora","80014","Arapahoe"
"490053","-104.82443781","39.66998863","2577"," ","South"," ","Blackhawk","Street"," ","APT","102","2577 South Blackhawk Street APT 102","Aurora","80014","Arapahoe"
"490054","-104.82443781","39.66998863","2577"," ","South"," ","Blackhawk","Street"," ","APT","306","2577 South Blackhawk Street APT 306","Aurora","80014","Arapahoe"
"490055","-104.82442821","39.67066539","2537"," ","South"," ","Blackhawk","Street"," ","APT","101","2537 South Blackhawk Street APT 101","Aurora","80014","Arapahoe"
"490056","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","107","14010 East Harvard Place APT 107","Aurora","80014","Arapahoe"
"490057","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","G01","13801 East Yale Avenue APT G01","Aurora","80014","Arapahoe"
"490058","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","109","13801 East Yale Avenue APT 109","Aurora","80014","Arapahoe"
"490059","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","124","13801 East Yale Avenue APT 124","Aurora","80014","Arapahoe"
"490060","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","312","13801 East Yale Avenue APT 312","Aurora","80014","Arapahoe"
"490061","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","414","13801 East Yale Avenue APT 414","Aurora","80014","Arapahoe"
"490062","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","416","13801 East Yale Avenue APT 416","Aurora","80014","Arapahoe"
"490063","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","517","13801 East Yale Avenue APT 517","Aurora","80014","Arapahoe"
"490064","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","530","13801 East Yale Avenue APT 530","Aurora","80014","Arapahoe"
"490065","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","104E","2670 South Abilene Street APT 104E","Aurora","80014","Arapahoe"
"490066","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","224E","2670 South Abilene Street APT 224E","Aurora","80014","Arapahoe"
"490067","-104.82716373","39.66866399","2670"," ","South"," ","Abilene","Street"," ","APT","112W","2670 South Abilene Street APT 112W","Aurora","80014","Arapahoe"
"490068","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","221","13801 East Yale Avenue APT 221","Aurora","80014","Arapahoe"
"490069","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","302","13801 East Yale Avenue APT 302","Aurora","80014","Arapahoe"
"490070","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","316","13801 East Yale Avenue APT 316","Aurora","80014","Arapahoe"
"490071","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","519","13801 East Yale Avenue APT 519","Aurora","80014","Arapahoe"
"490072","-104.82721221","39.66830585","13801"," ","East"," ","Yale","Avenue"," ","APT","526","13801 East Yale Avenue APT 526","Aurora","80014","Arapahoe"
"490073","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","122E","2670 South Abilene Street APT 122E","Aurora","80014","Arapahoe"
"490074","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","206E","2670 South Abilene Street APT 206E","Aurora","80014","Arapahoe"
"490075","-104.82716373","39.66866399","2670"," ","South"," ","Abilene","Street"," ","APT","101W","2670 South Abilene Street APT 101W","Aurora","80014","Arapahoe"
"490076","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","206","14010 East Harvard Place APT 206","Aurora","80014","Arapahoe"
"490077","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","315","14010 East Harvard Place APT 315","Aurora","80014","Arapahoe"
"490078","-104.82495714","39.67140663","14010"," ","East"," ","Harvard","Place"," ","APT","116","14010 East Harvard Place APT 116","Aurora","80014","Arapahoe"
"490079","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","107E","2670 South Abilene Street APT 107E","Aurora","80014","Arapahoe"
"490080","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","211E","2670 South Abilene Street APT 211E","Aurora","80014","Arapahoe"
"490081","-104.82675183","39.66880334","2670"," ","South"," ","Abilene","Street"," ","APT","213E","2670 South Abilene Street APT 213E","Aurora","80014","Arapahoe"
