420018,005-006204-446195,NULL,-105.01021548,39.60414905,6204, ,South, ,Prescott,Street, ,NULL, ,6204 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C7459D75EA7405AC030FA8FC154CD4340
420019,005-006214-446196,NULL,-105.01017932,39.60405816,6214, ,South, ,Prescott,Street, ,NULL, ,6214 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C504124C7A6405AC0409916C751CD4340
420020,005-006224-446197,NULL,-105.01019926,39.60384682,6224, ,South, ,Prescott,Street, ,NULL, ,6224 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C4CF6CA1AA7405AC010B341DA4ACD4340
420021,005-006234-446198,NULL,-105.01008439,39.60382677,6234, ,South, ,Prescott,Street, ,NULL, ,6234 South Prescott Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CC0750139A5405AC038810E324ACD4340
420022,005-005533-446199,NULL,-105.01639378,39.61630475,5533, ,South, ,Prince,Street, ,NULL, ,5533 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CEC7582980C415AC0105EEE12E3CE4340
420023,005-005535-446200,NULL,-105.01646068,39.61629906,5535, ,South, ,Prince,Street, ,NULL, ,5535 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CA05815B10D415AC0B80931E3E2CE4340
420024,005-005543-446201,NULL,-105.01642389,39.61615704,5543, ,South, ,Prince,Street, ,NULL, ,5543 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C94E6CD160D415AC00869D73BDECE4340
420025,005-006004-446202,NULL,-105.01592522,39.60767703,6004, ,South, ,Prince,Street, ,NULL, ,6004 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CB8103BEB04415AC078BF5E5CC8CD4340
420026,005-006008-446203,NULL,-105.01581210,39.60767656,6008, ,South, ,Prince,Street, ,NULL, ,6008 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010CFCB9BB1003415AC040057658C8CD4340
420027,005-006018-446204,NULL,-105.01580495,39.60747315,6018, ,South, ,Prince,Street, ,NULL, ,6018 South Prince Street ,Littleton Co,80120, , ,2019-04-24 00:00:00.0000000,ACTIVE,MODIFY LOCATION,Arapahoe,0xAD100000010C38EAC4F202415AC0A0131EAEC1CD4340
