"1400041","-106.32202935","39.26064319","1869","","","","Silver Eagle","Circle","","","","1869 Silver Eagle Circle ","LEADVILLE","80461","Lake"
"1400042","-106.32323386","39.26086472","1888","","","","Silver Eagle","Court","","","","1888 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400043","-106.32420238","39.25906142","1791","","","","Mountain View","Drive","","","","1791 Mountain View Drive ","LEADVILLE","80461","Lake"
"1400044","-106.32379738","39.25946241","1817","","","","Silver Eagle","Court","","","","1817 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400045","-106.3240927","39.25964979","1825","","","","Silver Eagle","Court","","","","1825 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400046","-106.32346733","39.26017038","1838","","","","Silver Eagle","Court","","","","1838 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400047","-106.32350895","39.2598667","1820","","","","Silver Eagle","Court","","","","1820 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400048","-106.32322894","39.25993183","1800","","","","Silver Eagle","Court","","","","1800 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400049","-106.32251285","39.26030892","1820","","","","Prospector","Drive","","","","1820 Prospector Drive ","LEADVILLE","80461","Lake"
"1400050","-106.32249862","39.25999738","1800","","","","Prospector","Drive","","","","1800 Prospector Drive ","LEADVILLE","80461","Lake"
"1400051","-106.32228996","39.25951834","1800","","","","Silver Eagle","Circle","","","","1800 Silver Eagle Circle ","LEADVILLE","80461","Lake"
"1400052","-106.32200484","39.25959997","1816","","","","Silver Eagle","Circle","","","","1816 Silver Eagle Circle ","LEADVILLE","80461","Lake"
"1400053","-106.32310571","39.25935883","1801","","","","Silver Eagle","Court","","","","1801 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400054","-106.32344512","39.25938939","1809","","","","Silver Eagle","Court","","","","1809 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400055","-106.32412314","39.26076401","1857","","","","Silver Eagle","Court","","","","1857 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400056","-106.32325609","39.26033016","1844","","","","Prospector","Drive","","","","1844 Prospector Drive ","LEADVILLE","80461","Lake"
"1400057","-106.32356211","39.26056328","1852","","","","Silver Eagle","Court","","","","1852 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400058","-106.32412408","39.26050441","1849","","","","Silver Eagle","Court","","","","1849 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400059","-106.32417917","39.26030761","1841","","","","Silver Eagle","Court","","","","1841 Silver Eagle Court ","LEADVILLE","80461","Lake"
"1400060","-106.32419532","39.26004536","1833","","","","Silver Eagle","Court","","","","1833 Silver Eagle Court ","LEADVILLE","80461","Lake"
