1730019,085-000208-035524,NULL,-107.87020535,38.48718385,208, ,North,NULL,Stough,Avenue, , , ,208 North Stough Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C98EB4045B1F75AC0686E8CD75B3E4340
1730020,085-000210-035525,NULL,-107.87031862,38.48729648,210, ,North,NULL,Stough,Avenue, , , ,210 North Stough Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C40955620B3F75AC080A95D885F3E4340
1730021,085-000030-035526,NULL,-107.86872290,38.48577862,30, ,North,NULL,Stough,Avenue, , , ,30 North Stough Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CD8B86DFB98F75AC09047A4CB2D3E4340
1730022,085-000025-035527,NULL,-107.86911517,38.48555705,25, ,North,NULL,Stough,Avenue, , , ,25 North Stough Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C2893BC689FF75AC0202EF888263E4340
1730023,085-066895-035528,NULL,-107.84064079,38.50411595,66895, , ,NULL,La Plaza,Court, , , ,66895 La Plaza Court ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C38DB87E2CCF55AC000294AAC86404340
1730024,085-066898-035529,NULL,-107.84053484,38.50358717,66898, , ,NULL,La Plaza,Court, , , ,66898 La Plaza Court ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C3CC32226CBF55AC038768B5875404340
1730025,085-001814-035530,NULL,-107.86030513,38.49037479,1814, , ,NULL,Locust,Road, , , ,1814 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CDC27C0100FF75AC030E71767C43E4340
1730026,085-001816-035531,NULL,-107.86010628,38.49052094,1816, , ,NULL,Locust,Road, , , ,1816 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C705FB3CE0BF75AC028602131C93E4340
1730027,085-001818-035532,NULL,-107.85990714,38.49065822,1818, , ,NULL,Locust,Road, , , ,1818 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CEC7F738B08F75AC040C0A6B0CD3E4340
1730028,085-000801-035533,NULL,-107.85714101,38.47956111,801, ,South,NULL,Hillcrest,Drive, , , ,801 South Hillcrest Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CB4527A39DBF65AC0B084670F623D4340
1730029,085-001901-035534,NULL,-107.88544771,38.49833495,1901, , ,NULL,6450,Road, , , ,1901 6450 Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C04E85100ABF85AC0280BBD3DC93F4340
1730030,085-066909-035535,NULL,-107.84023382,38.50392562,66909, , ,NULL,La Plaza,Court, , , ,66909 La Plaza Court ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CB4969937C6F55AC0A827A96F80404340
1730031,085-066864-035536,NULL,-107.84116870,38.50437390,66864, , ,NULL,La Plaza,Road, , , ,66864 La Plaza Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C14E7BE88D5F55AC0700228208F404340
1730032,085-066900-035537,NULL,-107.84052991,38.50459650,66900, , ,NULL,La Plaza,Road, , , ,66900 La Plaza Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C084A7611CBF55AC098476D6B96404340
1730033,085-000120-035538,NULL,-107.86955226,38.48653960,120, ,North,NULL,Stough,Avenue, , , ,120 North Stough Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CDC2A0392A6F75AC0D0CB2BBB463E4340
1730034,085-000200-035539,NULL,-107.87005835,38.48705319,200, ,North,NULL,Stough,Avenue, , , ,200 North Stough Avenue ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C4C76B9DCAEF75AC008127C8F573E4340
1730035,085-016672-035540,NULL,-107.86051812,38.44678581,16672, , ,NULL,Woodgate,Road, , , ,16672 Woodgate Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CE4A51B8E12F75AC080DB441430394340
1730036,085-001735-035541,NULL,-107.86237892,38.48972858,1735, , ,NULL,Locust,Road, , , ,1735 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C6049DC0A31F75AC030CA4E3AAF3E4340
1730037,085-001803-035542,NULL,-107.86161719,38.49021209,1803, , ,NULL,Locust,Road, , , ,1803 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C2C69E78F24F75AC008764612BF3E4340
1730038,085-000005-035543,NULL,-107.85880669,38.48884984,5, , ,NULL,Hillcrest Plaza,Way, , , ,5 Hillcrest Plaza Way ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C583CD383F6F65AC0486BDE6E923E4340
1730039,085-000050-035544,NULL,-107.85690458,38.48914367,50, ,North,NULL,Hillcrest,Drive, , , ,50 North Hillcrest Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CE419CB59D7F65AC0D846BC0F9C3E4340
1730040,085-000060-035545,NULL,-107.85689465,38.48951093,60, ,North,NULL,Hillcrest,Drive, , , ,60 North Hillcrest Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C08FE2630D7F65AC0101F8918A83E4340
1730041,085-000100-035546,NULL,-107.85684613,38.48969116,100, ,North,NULL,Hillcrest,Drive, , , ,100 North Hillcrest Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CDC1CA664D6F65AC060826100AE3E4340
1730042,085-000120-035547,NULL,-107.85636406,38.49014353,120, ,North,NULL,Hillcrest,Drive, , , ,120 North Hillcrest Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C4464B37ECEF65AC0B06C2DD3BC3E4340
1730043,085-000345-035548,NULL,-107.85752489,38.48449059,345, ,South,NULL,Hillcrest,Drive, , , ,345 South Hillcrest Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C1C0A9283E1F65AC0D82DD296033E4340
1730044,085-000391-035549,NULL,-107.85737988,38.48377617,391, ,South,NULL,Hillcrest,Drive, , , ,391 South Hillcrest Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C94E25C23DFF65AC0C834D92DEC3D4340
1730045,085-000205-035550,NULL,-107.85749211,38.48509888,205, ,South,NULL,Hillcrest,Drive, , , ,205 South Hillcrest Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CF40018FAE0F65AC068E49385173E4340
1730046,085-000780-035551,NULL,-107.85632209,38.48033859,780, ,South,NULL,Hillcrest,Drive, , , ,780 South Hillcrest Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C6485ABCECDF65AC0A04063897B3D4340
1730047,085-001705-035552,NULL,-107.86264879,38.48952636,1705, , ,NULL,Locust,Road, , , ,1705 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010CFC79BF7635F75AC0C816FD99A83E4340
1730048,085-000002-035553,NULL,-107.85862770,38.48834974,2, , ,NULL,Hillcrest Plaza,Way, , , ,2 Hillcrest Plaza Way ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C2C8E1B95F3F65AC0D006CB0B823E4340
1730049,085-001865-035554,NULL,-107.85788748,38.48931197,1865, ,East,NULL,Main,Street, , , ,1865 East Main Street ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C044F6574E7F65AC090A08793A13E4340
1730050,085-000046-035555,NULL,-107.85690585,38.48884487,46, ,North,NULL,Hillcrest,Drive, , , ,46 North Hillcrest Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C149B1C5FD7F65AC030753C45923E4340
1730051,085-002460-035556,NULL,-107.84807168,38.49221128,2460, , ,NULL,Locust,Road, , , ,2460 Locust Road ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C8C9BF6A146F65AC0984BB294003F4340
1730052,085-000367-035557,NULL,-107.85736389,38.48418310,367, ,South,NULL,Hillcrest,Drive, , , ,367 South Hillcrest Drive ,Montrose,NULL,NULL,NULL,2019-02-11 00:00:00.0000000,ACTIVE,NO CHANGE,Montrose,0xAD100000010C547547E0DEF65AC070C27B83F93D4340
