1770016,101-002008-191684,NULL,-104.57459927,38.28141649,2008,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2008 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CC875073CC6245AC0788D9E7405244340
1770017,101-002035-191685,NULL,-104.57374813,38.28198820,2035,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2035 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C4CB2144AB8245AC0E004813018244340
1770018,101-002038-191686,NULL,-104.57364153,38.28144533,2038,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2038 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CACABF58AB6245AC0E089856606244340
1770019,101-002134-191687,NULL,-104.57176829,38.28155480,2134,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2134 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C88FA0BDA97245AC0A04FDDFC09244340
1770020,101-002620-191688,NULL,-104.56362933,38.28182651,2620,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2620 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C208FBC8012245AC0903D24E412244340
1770021,101-002626-191689,NULL,-104.56344920,38.28182735,2626,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2626 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C64AA3A8D0F245AC030AF29EB12244340
1770022,101-002630-191690,NULL,-104.56318154,38.28182957,2630,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2630 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C10C8922A0B245AC0505CBEFD12244340
1770023,101-002633-191691,NULL,-104.56345301,38.28223358,2633,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2633 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C548C349D0F245AC0F842E23A20244340
1770024,101-002635-191692,NULL,-104.56318884,38.28223617,2635,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2635 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010CE40530490B245AC048649E5020244340
1770025,101-002703-191693,NULL,-104.56252374,38.28224566,2703,NULL,East,NULL,15Th,Street,NULL,NULL,NULL,2703 East 15Th Street,Pueblo,81001,NULL,NULL,2019-02-05 00:00:00.0000000,ACTIVE,NO CHANGE,Pueblo,0xAD100000010C04ED966300245AC0F06B31A020244340
