720017,031-002141-404368,NULL,-104.97000969,39.74901677,2141,NULL,North,NULL,Humboldt,Street,NULL,NULL,NULL,2141 North Humboldt Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C58FC87A3143E5AC0201009C8DFDF4340
720018,031-000120-404369,NULL,-104.92545225,39.71415940,120,NULL,South,NULL,Glencoe,Street,NULL,NULL,NULL,120 South Glencoe Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C9CF0129C3A3B5AC090B6439369DB4340
720019,031-004101-404370,NULL,-105.04255092,39.63383155,4101,NULL,West,NULL,Tufts,Avenue,NULL,NULL,NULL,4101 West Tufts Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C20747E27B9425AC0B818766421D14340
720020,031-001765-404371,NULL,-104.97125308,39.74448169,1765,NULL,North,NULL,Lafayette,Street,NULL,NULL,NULL,1765 North Lafayette Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C083EA702293E5AC038CE132D4BDF4340
720021,031-001485-404372,NULL,-105.04459833,39.68988826,1485,NULL,South,NULL,Tennyson,Street,NULL,NULL,NULL,1485 South Tennyson Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF4FAF0B2DA425AC0508F22424ED84340
720022,031-002040-404373,NULL,-105.01082534,39.67988044,2040,NULL,South,NULL,Tejon,Street,NULL,NULL,NULL,2040 South Tejon Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C443EC35CB1405AC0C815885206D74340
720023,031-001330-404374,NULL,-104.90307969,39.73791012,1330,NULL,North,NULL,Quebec,Street,NULL,NULL,NULL,1330 North Quebec Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF47BC00ECC395AC0103FBAD673DE4340
720024,031-005075-404375,NULL,-105.02428091,39.78882117,5075,NULL,North,NULL,Eliot,Street,NULL,NULL,NULL,5075 North Eliot Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C20D087D18D415AC0F0798F17F8E44340
720025,031-002816-404376,NULL,-104.95368148,39.73997056,2816,NULL,East,NULL,Colfax,Avenue,NULL,NULL,NULL,2816 East Colfax Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C2825101E093D5AC0C0BFF75AB7DE4340
720026,031-002901-404377,NULL,-104.95289334,39.77536148,2901,NULL,East,NULL,42Nd,Avenue,NULL,NULL,NULL,2901 East 42Nd Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB4305C34FC3C5AC0504B7F0B3FE34340
720027,031-002575-404378,NULL,-104.92492837,39.75422153,2575,NULL,North,NULL,Grape,Street,NULL,NULL,NULL,2575 North Grape Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C584BC606323B5AC0C033BC548AE04340
720028,031-002428-404379,NULL,-105.01663527,39.76900796,2428,NULL,West,NULL,38Th,Avenue,NULL,NULL,NULL,2428 West 38Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C2814608D10415AC028B14ADA6EE24340
720029,031-004657-404380,NULL,-105.01734746,39.78130675,4657,NULL,North,NULL,Alcott,Street,NULL,NULL,NULL,4657 North Alcott Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CD43183381C415AC038D80FDC01E44340
720030,031-009350-404381,NULL,-104.87923531,39.65359955,9350,NULL,East,NULL,Girard,Avenue,NULL,NULL,NULL,9350 East Girard Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C4C26366B45385AC08803EB1CA9D34340
720031,031-005250-404382,NULL,-104.81297032,39.78904621,5250,NULL,North,NULL,Altura,Street,NULL,NULL,NULL,5250 North Altura Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CD079ADB407345AC0D0E65077FFE44340
720032,031-001939-404383,NULL,-104.96672977,39.68132217,1939,NULL,South,NULL,Williams,Street,NULL,NULL,NULL,1939 South Williams Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CECA08BE6DE3D5AC058AFA39035D74340
720033,031-002325-404384,NULL,-104.90649647,39.67450786,2325,NULL,South,NULL,Pontiac,Street,NULL,NULL,NULL,2325 South Pontiac Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C14EDC109043A5AC0F0F1094656D64340
720034,031-003590-404385,NULL,-105.03449544,39.63157068,3590,NULL,West,NULL,Union,Avenue,NULL,NULL,NULL,3590 West Union Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CAC71592C35425AC078B5D94ED7D04340
720035,031-000872-404386,NULL,-105.00899383,39.69943317,872,NULL,South,NULL,Raritan,Street,NULL,NULL,NULL,872 South Raritan Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C0C48D95A93405AC06000A90687D94340
720036,031-006964-404387,NULL,-104.90691665,39.65883401,6964,NULL,East,NULL,Eastman,Avenue,NULL,NULL,NULL,6964 East Eastman Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA8FC21EC0A3A5AC0705E41AC54D44340
720037,031-003620-404388,NULL,-104.95206663,39.76733604,3620,NULL,North,NULL,Milwaukee,Street,NULL,NULL,NULL,3620 North Milwaukee Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C4016E3A8EE3C5AC090FA371138E24340
720038,031-001655-404389,NULL,-104.92496795,39.74288925,1655,NULL,North,NULL,Grape,Street,NULL,NULL,NULL,1655 North Grape Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CE8FEC8AC323B5AC0209EA5FE16DF4340
720039,031-003522-404390,NULL,-105.01724407,39.76616425,3522,NULL,North,NULL,Alcott,Street,NULL,NULL,NULL,3522 North Alcott Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C1C38648C1A415AC030A88EA611E24340
720040,031-000801-404391,NULL,-104.94761017,39.72929603,801,NULL,North,NULL,Cook,Street,NULL,NULL,NULL,801 North Cook Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C308622A5A53C5AC0B0F1739259DD4340
720041,031-002635-404392,NULL,-105.02018839,39.72961440,2635,NULL,West,NULL,8Th,Avenue,NULL,NULL,NULL,2635 West 8Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA4C63FC44A415AC02850220164DD4340
720042,031-001617-404393,NULL,-104.98192917,39.68714158,1617,NULL,South,NULL,Pennsylvania,Street,NULL,NULL,NULL,1617 South Pennsylvania Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF8F570EDD73E5AC040806341F4D74340
720043,031-003915-404394,NULL,-105.05009877,39.77141365,3915,NULL,North,NULL,Xavier,Street,NULL,NULL,NULL,3915 North Xavier Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CAC4F73D134435AC0D85DB9AEBDE24340
720044,031-002573-404395,NULL,-104.93283963,39.66921036,2573,NULL,South,NULL,Dexter,Street,NULL,NULL,NULL,2573 South Dexter Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CD0D0FDA4B33B5AC098E05CAFA8D54340
720045,031-002834-404396,NULL,-104.94743269,39.75766913,2834,NULL,North,NULL,Cook,Street,NULL,NULL,NULL,2834 North Cook Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C4C197CBDA23C5AC0D84C3957FBE04340
720046,031-000641-404397,NULL,-104.95239022,39.72636444,641,NULL,North,NULL,Milwaukee,Street,NULL,NULL,NULL,641 North Milwaukee Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C084720F6F33C5AC088638D82F9DC4340
720047,031-003035-404398,NULL,-104.95158200,39.76016594,3035,NULL,North,NULL,Saint Paul,Street,NULL,NULL,NULL,3035 North Saint Paul Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF8BB35B8E63C5AC0E02D0B1E4DE14340
720048,031-000515-404399,NULL,-104.97487929,39.70710991,515,NULL,South,NULL,Corona,Street,NULL,NULL,NULL,515 South Corona Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CBCBA166C643E5AC05810D99382DA4340
720049,031-000843-404400,NULL,-104.94870656,39.73003416,843,NULL,North,NULL,Adams,Street,NULL,NULL,NULL,843 North Adams Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CD095AF9BB73C5AC018585AC271DD4340
720050,031-000730-404401,NULL,-104.93019963,39.72749444,730,NULL,North,NULL,Eudora,Street,NULL,NULL,NULL,730 North Eudora Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB8400564883B5AC0F80EB0891EDD4340
720051,031-004703-404402,NULL,-104.98610446,39.78223694,4703,NULL,North,NULL,Lincoln,Street,NULL,NULL,NULL,4703 North Lincoln Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C2C63DF551C3F5AC038C6025720E44340
720052,031-004477-404403,NULL,-105.02199536,39.77801772,4477,NULL,North,NULL,Decatur,Street,NULL,NULL,NULL,4477 North Decatur Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA4BE365F68415AC06842A71596E34340
720053,031-000418-404404,NULL,-105.04169522,39.70892935,418,NULL,South,NULL,Raleigh,Street,NULL,NULL,NULL,418 South Raleigh Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CACDE7122AB425AC060B66A32BEDA4340
720054,031-002611-404405,NULL,-105.01969454,39.78044886,2611,NULL,West,NULL,46Th,Avenue,NULL,NULL,NULL,2611 West 46Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C08EFDDAC42415AC0C8A788BFE5E34340
720055,031-000792-404406,NULL,-104.98478251,39.70214078,792,NULL,South,NULL,Sherman,Street,NULL,NULL,NULL,792 South Sherman Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C186236AD063F5AC02816CABFDFD94340
720056,031-002060-404407,NULL,-104.96725753,39.67919694,2060,NULL,South,NULL,Gilpin,Street,NULL,NULL,NULL,2060 South Gilpin Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF8AF228CE73D5AC07089D5ECEFD64340
720057,031-004303-404408,NULL,-105.05231131,39.63942576,4303,NULL,South,NULL,Zenobia,Street,NULL,NULL,NULL,4303 South Zenobia Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA831861159435AC000F900B4D8D14340
720058,031-002615-404409,NULL,-105.01846928,39.67550026,2615,NULL,West,NULL,Iliff,Avenue,NULL,NULL,NULL,2615 West Iliff Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C643FC4992E415AC02803E9CA76D64340
720059,031-012921-404410,NULL,-104.84092960,39.78335040,12921,NULL,East,NULL,48Th,Avenue,NULL,NULL,NULL,12921 East 48Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CBC435ECAD1355AC0801066D344E44340
