830000,031-001610-514351,NULL,-105.00660537,39.68733557,1610,NULL,South,NULL,Quivas,Street,NULL,NULL,NULL,1610 South Quivas Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C6CE2EB386C405AC0C81DA79CFAD74340
830001,031-004933-514352,NULL,-104.92964372,39.74951438,4933,NULL,East,NULL,22Nd,Avenue,NULL,NULL,NULL,4933 East 22Nd Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C58825E487F3B5AC030B24E16F0DF4340
830002,031-000355-514353,NULL,-104.94289975,39.72206743,355,NULL,North,NULL,Jackson,Street,NULL,NULL,NULL,355 North Jackson Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C046A3178583C5AC0B01696B46CDC4340
830003,031-002774-514354,NULL,-105.02209738,39.71817435,2774,NULL,West,NULL,1St,Avenue,NULL,NULL,NULL,2774 West 1St Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF853240B6A415AC050EC2523EDDB4340
830004,031-001336-514355,NULL,-104.91365144,39.73746912,1336,NULL,North,NULL,Locust,Street,NULL,NULL,NULL,1336 North Locust Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CD420EA43793A5AC06866606365DE4340
830005,031-004801-514356,NULL,-104.93134861,39.67873773,4801,NULL,East,NULL,Evans,Avenue,NULL,NULL,NULL,4801 East Evans Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C1C3532379B3B5AC0709AC2E0E0D64340
830006,031-000148-514357,NULL,-105.02842627,39.71904544,148,NULL,North,NULL,Hooker,Street,NULL,NULL,NULL,148 North Hooker Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CF0EC69BCD1415AC030DD58AE09DC4340
830007,031-000535-514358,NULL,-104.95372430,39.72488544,535,NULL,North,NULL,Fillmore,Street,NULL,NULL,NULL,535 North Fillmore Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C04D8AAD1093D5AC08838CF0BC9DC4340
830008,031-000835-514359,NULL,-104.93078070,39.72993232,835,NULL,North,NULL,Eudora,Street,NULL,NULL,NULL,835 North Eudora Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CDC8F36E9913B5AC010CA1F6C6EDD4340
830009,031-000877-514360,NULL,-104.97725628,39.70054275,877,NULL,South,NULL,Emerson,Street,NULL,NULL,NULL,877 South Emerson Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA461E95D8B3E5AC0D89C7962ABD94340
830010,031-009145-514361,NULL,-104.88218084,39.65001475,9145,NULL,East,NULL,Kenyon,Avenue,NULL,Ste,101,9145 East Kenyon Avenue Ste 101,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C0C63A2A675385AC0F0B2E1AE33D34340
830011,031-001000-514362,NULL,-104.87262019,39.69813682,1000,NULL,South,NULL,Elmira,Street,NULL,NULL,NULL,1000 South Elmira Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CA03F5702D9375AC0486D148C5CD94340
830012,031-001531-514363,NULL,-104.91551221,39.68869976,1531,NULL,South,NULL,Leyden,Street,NULL,NULL,NULL,1531 South Leyden Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB41C84C0973A5AC050FB505027D84340
830013,031-003315-514364,NULL,-105.03610432,39.76428213,3315,NULL,North,NULL,Meade,Street,NULL,NULL,NULL,3315 North Meade Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CDCA181884F425AC038A230FFD3E14340
830014,031-003386-514365,NULL,-105.03193291,39.76623944,3386,NULL,West,NULL,36Th,Avenue,NULL,NULL,NULL,3386 West 36Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CC8CE51300B425AC010004E2214E24340
830015,031-006422-514366,NULL,-104.91457622,39.66331166,6422,NULL,East,NULL,Bethany,Place,NULL,NULL,NULL,6422 East Bethany Place,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CBC04B86A883A5AC078EF7865E7D44340
830016,031-005050-514367,NULL,-105.10164094,39.62544830,5050,NULL,South,NULL,Garrison,Street,NULL,NULL,NULL,5050 South Garrison Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CDCCAF84881465AC0F0CDA9B00ED04340
830017,031-001616-514368,NULL,-104.93520819,39.74173915,1616,NULL,North,NULL,Clermont,Street,NULL,NULL,NULL,1616 North Clermont Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C90746F73DA3B5AC06000FC4EF1DE4340
830018,031-001457-514369,NULL,-105.03008810,39.69013315,1457,NULL,South,NULL,Irving,Street,NULL,NULL,NULL,1457 South Irving Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C84019EF6EC415AC01820704856D84340
830019,031-008661-514370,NULL,-104.88718463,39.66706304,8661,NULL,East,NULL,Amherst,Drive,NULL,NULL,NULL,8661 East Amherst Drive,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C948978A4C7385AC088C36C4B62D54340
830020,031-007353-514371,NULL,-104.90209955,39.75816496,7353,NULL,East,NULL,29Th,Avenue,NULL,NULL,NULL,7353 East 29Th Avenue,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010CB00AEF00BC395AC008B14C8F0BE14340
830021,031-002801-514372,NULL,-105.02194291,39.73826687,2801,NULL,West,NULL,Howard,Place,NULL,NULL,NULL,2801 West Howard Place,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C6C47548267415AC0983647837FDE4340
830022,031-000424-514373,NULL,-105.03709328,39.70891544,424,NULL,South,NULL,Newton,Street,NULL,NULL,NULL,424 South Newton Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C0887D1B85F425AC088293DB2BDDA4340
830023,031-000505-514374,NULL,-104.98418377,39.70732258,505,NULL,South,NULL,Grant,Street,NULL,NULL,NULL,505 South Grant Street,NULL,NULL,NULL,NULL,2019-01-17 00:00:00.0000000,ACTIVE,MODIFY ATTRIBUTE,Denver,0xAD100000010C2C883CDAFC3E5AC08802068189DA4340
