"2090473","-104.76531278","38.82556738","3650"," ","","","Airport","Road","","APT","11","3650 Airport Road APT 11","Colorado Springs","80910","ElPaso"
"2090474","-104.76695312","38.82300647","3310"," ","","","Valley Hi","Avenue","","APT","B","3310 Valley Hi Avenue APT B","Colorado Springs","80910","ElPaso"
"2090475","-104.76725103","38.82290824","3308"," ","","","Valley Hi","Avenue","","APT","A","3308 Valley Hi Avenue APT A","Colorado Springs","80910","ElPaso"
"2090476","-104.76769595","38.82301116","3302"," ","","","Valley Hi","Avenue","","APT","B","3302 Valley Hi Avenue APT B","Colorado Springs","80910","ElPaso"
"2090477","-104.76718034","38.82432813","418"," ","","","Valley Hi","Circle","","APT","A","418 Valley Hi Circle APT A","Colorado Springs","80910","ElPaso"
"2090478","-104.76718118","38.82411352","416"," ","","","Valley Hi","Circle","","APT","A","416 Valley Hi Circle APT A","Colorado Springs","80910","ElPaso"
"2090480","-104.76573585","38.82565368","3635"," ","","","Michigan","Avenue","","APT","2","3635 Michigan Avenue APT 2","Colorado Springs","80910","ElPaso"
"2090481","-104.76577853","38.82565516","3635"," ","","","Michigan","Avenue","","APT","3","3635 Michigan Avenue APT 3","Colorado Springs","80910","ElPaso"
"2090482","-104.97263467","38.90607603","8174"," ","","","Chipita Park","Road","","APT","1","8174 Chipita Park Road APT 1","Cascade","80809","ElPaso"
"2090483","-104.97265729","38.90611046","8174"," ","","","Chipita Park","Road","","APT","2","8174 Chipita Park Road APT 2","Cascade","80809","ElPaso"
"2090484","-104.97268484","38.90617954","8174"," ","","","Chipita Park","Road","","APT","3","8174 Chipita Park Road APT 3","Cascade","80809","ElPaso"
"2090485","-104.9725823","38.90618623","8174"," ","","","Chipita Park","Road","","APT","4","8174 Chipita Park Road APT 4","Cascade","80809","ElPaso"
"2090486","-104.97201417","38.90368632","8130"," ","","","Chipita Park","Road","","","A","8130 Chipita Park Road A","Cascade","80809","ElPaso"
"2090487","-104.97197498","38.90378768","8130"," ","","","Chipita Park","Road","","","B","8130 Chipita Park Road B","Cascade","80809","ElPaso"
"2090488","-104.84207796","38.84580475","1502"," ","","","Manitou","Boulevard","","APT","A","1502 Manitou Boulevard APT A","Colorado Springs","80904","ElPaso"
"2090489","-104.84024071","38.87568502","2928"," ","","","Straus","Lane","","APT","1","2928 Straus Lane APT 1","Colorado Springs","80907","ElPaso"
"2090490","-104.8402412","38.87563211","2928"," ","","","Straus","Lane","","APT","11","2928 Straus Lane APT 11","Colorado Springs","80907","ElPaso"
"2090491","-104.84023608","38.87578939","2928"," ","","","Straus","Lane","","APT","21","2928 Straus Lane APT 21","Colorado Springs","80907","ElPaso"
"2090492","-104.82203638","38.81009649","1629"," ","South","","Nevada","Avenue","","UNIT","1","1629 South Nevada Avenue UNIT 1","Colorado Springs","80905","ElPaso"
"2090493","-104.82187428","38.81009936","1629"," ","South","","Nevada","Avenue","","UNIT","12","1629 South Nevada Avenue UNIT 12","Colorado Springs","80905","ElPaso"
"2090494","-104.83130747","38.71255332","235"," ","","","Rock Creek Mesa","Road","","APT","B","235 Rock Creek Mesa Road APT B","Colorado Springs","80926","ElPaso"
