520019,013-004425-071273,NULL,-105.20288152,40.05563334,4425,NULL, ,NULL,Driftwood, ,NULL, , ,4425 Driftwood , ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C3457C502FC4C5AC0108650FE1E074440
520020,013-000145-071274,NULL,-105.22803682,39.98956503,145,NULL, ,NULL,Manhattan, ,NULL, , ,145 Manhattan ,Boulder,80303,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CA41EC027984E5AC0801D1A11AAFE4340
520021,013-000000-071275,NULL,-105.20687524,40.05667023, ,NULL, ,NULL,St & Twin,Road,NULL, , , St & Twin Road ,Boulder,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CBC89A5713D4D5AC0688C5CF840074440
520022,013-002316-071276,NULL,-105.26456923,40.01984978,2316,NULL, ,NULL,Walnut, ,NULL, , ,2316 Walnut ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CD0D0CAB3EE505AC070F705708A024440
520023,013-004754-071277,NULL,-105.17891464,40.06123521,4754,NULL, ,NULL,Tanglewood, ,NULL, , ,4754 Tanglewood , ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CD4E46356734B5AC038BF348ED6074440
520024,013-003165-071278,NULL,-105.25592398,39.97425603,3165,NULL, ,NULL,Endicott, ,NULL, , ,3165 Endicott ,Boulder,80305,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C4C04F80E61505AC030A7E26BB4FC4340
520025,013-001765-071279,NULL,-105.24795787,39.97021784,1765,NULL, ,NULL,Gillaspie, ,NULL, , ,1765 Gillaspie ,Boulder,80305,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C803DAA8ADE4F5AC0E065221930FC4340
520026,013-000000-071280,NULL,-105.27043788,40.01876900, ,NULL, ,NULL,St, ,NULL, , , St ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C2054ABDA4E515AC0E896C80567024440
520027,013-000985-071281,NULL,-105.23647292,40.00549408,985,NULL, ,NULL,Waite, ,NULL, , ,985 Waite ,Boulder,80303,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CECD0555F224F5AC0088DB707B4004440
520028,013-000640-071282,NULL,-105.28765021,40.02435861,640,NULL, ,NULL,North, ,NULL, , ,640 North ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C6C6170DC68525AC0C012CC2E1E034440
520029,013-000145-071283,NULL,-105.23121116,39.98939918,145,NULL, ,NULL,Cherokee, ,NULL, , ,145 Cherokee ,Boulder,80303,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C605FE029CC4E5AC0D08AE2A1A4FE4340
520030,013-003826-071284,NULL,-105.25917660,40.04443244,3826,NULL, ,NULL,Northbrook, ,NULL, , ,3826 Northbrook ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C9C5E755996505AC008145DF6AF054440
520031,013-004343-071285,NULL,-105.25080101,40.05387353,4343,NULL, ,NULL,Apple, ,NULL, , ,4343 Apple , ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C5CDDAC1F0D505AC03853F553E5064440
520032,013-000802-071286,NULL,-105.28542139,40.01861498,802,NULL, ,NULL,Pine, ,NULL, , ,802 Pine ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CE020175844525AC028B7BEF961024440
520033,013-003201-071287,NULL,-105.28830088,40.03301709,3201,NULL, ,NULL,7Th, ,NULL, , ,3201 7Th ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CE087858573525AC0B82C71E739044440
520034,013-004273-071288,NULL,-105.26741956,40.05198626,4273,NULL, ,NULL,Vinca, ,NULL, , ,4273 Vinca ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C107FF3661D515AC050AE527CA7064440
520035,013-003800-071289,NULL,-105.29272682,40.04348051,3800,NULL, ,NULL,Lakebriar, ,NULL, , ,3800 Lakebriar ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CB8C94709BC525AC050A4EBC490054440
520036,013-000500-071290,NULL,-105.27903971,39.99831266,500,NULL, ,NULL,Chautauqua, ,NULL, , ,500 Chautauqua ,Boulder,80302,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010CD05461C9DB515AC008F190B5C8FF4340
520037,013-002626-071291,NULL,-105.28113667,40.02469468,2626,NULL, ,NULL, , ,NULL, , ,2626 ,Boulder,80304,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C289EA524FE515AC0A8C9013229034440
520038,013-005120-071292,NULL,-105.20021284,40.06625656,5120,NULL, ,NULL,Williams,Trail,NULL, ,209,5120 Williams Trail 209, ,80301,NULL,NULL,2019-04-25 00:00:00.0000000,ACTIVE,NO CHANGE,Boulder,0xAD100000010C00B77F49D04C5AC0C07753187B084440
