"1420045","-107.81010576","37.6206411","142",""," ","","Engineer","Drive","",""," ","142 Engineer Drive ","","","La Plata"
"1420046","-107.81127578","37.62069715","100",""," ","","Engineer","Drive","",""," ","100 Engineer Drive ","","","La Plata"
"1420047","-107.81005346","37.62084628","158",""," ","","Engineer","Drive","",""," ","158 Engineer Drive ","","","La Plata"
"1420048","-107.81057081","37.62087359","137",""," ","","Engineer","Drive","",""," ","137 Engineer Drive ","","","La Plata"
"1420049","-107.81124576","37.62093643","88",""," ","","Engineer","Drive","",""," ","88 Engineer Drive ","","","La Plata"
"1420050","-107.81080468","37.62095549","85",""," ","","Engineer","Drive","",""," ","85 Engineer Drive ","","","La Plata"
"1420051","-107.80990121","37.62104874","176",""," ","","Engineer","Drive","",""," ","176 Engineer Drive ","","","La Plata"
"1420052","-107.81035008","37.62111815","165",""," ","","Engineer","Drive","",""," ","165 Engineer Drive ","","","La Plata"
"1420053","-107.80978368","37.62123775","190",""," ","","Engineer","Drive","",""," ","190 Engineer Drive ","","","La Plata"
"1420054","-107.8111695","37.62125955","64",""," ","","Engineer","Drive","",""," ","64 Engineer Drive ","","","La Plata"
"1420055","-107.81017436","37.62129721","185",""," ","","Engineer","Drive","",""," ","185 Engineer Drive ","","","La Plata"
"1420056","-107.8106595","37.62132289","59",""," ","","Engineer","Drive","",""," ","59 Engineer Drive ","","","La Plata"
"1420057","-107.80968492","37.62145398","200",""," ","","Engineer","Drive","",""," ","200 Engineer Drive ","","","La Plata"
"1420058","-107.81003715","37.62154102","209",""," ","","Engineer","Drive","",""," ","209 Engineer Drive ","","","La Plata"
"1420059","-107.81027021","37.62161648","219",""," ","","Engineer","Drive","",""," ","219 Engineer Drive ","","","La Plata"
"1420060","-107.8097337","37.62173928","222",""," ","","Engineer","Drive","",""," ","222 Engineer Drive ","","","La Plata"
"1420061","-107.81013918","37.62178548","227",""," ","","Engineer","Drive","",""," ","227 Engineer Drive ","","","La Plata"
"1420062","-107.81006143","37.62211683","245",""," ","","Engineer","Drive","",""," ","245 Engineer Drive ","","","La Plata"
"1420063","-107.81038472","37.62224727","259",""," ","","Engineer","Drive","",""," ","259 Engineer Drive ","","","La Plata"
"1420064","-107.80970754","37.62241483","250",""," ","","Engineer","Drive","",""," ","250 Engineer Drive ","","","La Plata"
"1420065","-107.81041887","37.62256941","287",""," ","","Engineer","Drive","",""," ","287 Engineer Drive ","","","La Plata"
"1420066","-107.81002846","37.62297779","304",""," ","","Engineer","Drive","",""," ","304 Engineer Drive ","","","La Plata"
"1420067","-107.81036256","37.62334672","332",""," ","","Engineer","Drive","",""," ","332 Engineer Drive ","","","La Plata"
"1420068","-107.81097428","37.62332861","337",""," ","","Engineer","Drive","",""," ","337 Engineer Drive ","","","La Plata"
