"1660039","-108.56390554","39.05110963","1641"," "," "," ","Laveta","Street"," ",""," ","1641 Laveta Street ","Grand Junction","81503","Mesa"
"1660040","-108.56389773","39.05022996","1681"," "," "," ","Laveta","Street"," ",""," ","1681 Laveta Street ","Grand Junction","81503","Mesa"
"1660041","-108.56143849","39.05048766","1675"," "," "," ","Aspen","Street"," ",""," ","1675 Aspen Street ","Grand Junction","81503","Mesa"
"1660042","-108.56183257","39.05084717","705"," "," "," ","Grand Mesa","Avenue"," ",""," ","705 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660043","-108.56513351","39.05179749","1609"," "," "," ","Dolores","Street"," ",""," ","1609 Dolores Street ","Grand Junction","81503","Mesa"
"1660044","-108.56539663","39.05160034","1619"," "," "," ","Dolores","Street"," ",""," ","1619 Dolores Street ","Grand Junction","81503","Mesa"
"1660045","-108.56514123","39.05070818","1661"," "," "," ","Dolores","Street"," ",""," ","1661 Dolores Street ","Grand Junction","81503","Mesa"
"1660046","-108.56515775","39.05045287","1673"," "," "," ","Dolores","Street"," ",""," ","1673 Dolores Street ","Grand Junction","81503","Mesa"
"1660047","-108.56514244","39.05031305","1681"," "," "," ","Dolores","Street"," ",""," ","1681 Dolores Street ","Grand Junction","81503","Mesa"
"1660048","-108.56576673","39.05091815","1654"," "," "," ","Canon","Avenue"," ",""," ","1654 Canon Avenue ","Grand Junction","81503","Mesa"
"1660049","-108.56576116","39.05111075","1642"," "," "," ","Canon","Avenue"," ",""," ","1642 Canon Avenue ","Grand Junction","81503","Mesa"
"1660050","-108.56576165","39.051389","1630"," "," "," ","Canon","Avenue"," ",""," ","1630 Canon Avenue ","Grand Junction","81503","Mesa"
"1660051","-108.56516853","39.05092578","1651"," "," "," ","Dolores","Street"," ",""," ","1651 Dolores Street ","Grand Junction","81503","Mesa"
"1660052","-108.56556949","39.05032551","416"," "," "," ","Santa Clara","Avenue"," ",""," ","416 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660053","-108.56587559","39.05030761","414"," "," "," ","Santa Clara","Avenue"," ",""," ","414 Santa Clara Avenue ","Grand Junction","81503","Mesa"
"1660054","-108.56518428","39.05110536","1645"," "," "," ","Dolores","Street"," ",""," ","1645 Dolores Street ","Grand Junction","81503","Mesa"
"1660055","-108.56518426","39.0512386","1641"," "," "," ","Dolores","Street"," ",""," ","1641 Dolores Street ","Grand Junction","81503","Mesa"
"1660056","-108.56519007","39.05139185","1631"," "," "," ","Dolores","Street"," ",""," ","1631 Dolores Street ","Grand Junction","81503","Mesa"
"1660057","-108.56582642","39.05052958","1670"," "," "," ","Canon","Avenue"," ",""," ","1670 Canon Avenue ","Grand Junction","81503","Mesa"
"1660058","-108.56577481","39.05064174","1668"," "," "," ","Canon","Avenue"," ",""," ","1668 Canon Avenue ","Grand Junction","81503","Mesa"
"1660059","-108.5681401","39.05030816","1685"," "," "," ","Clymer","Way"," ",""," ","1685 Clymer Way ","Grand Junction","81503","Mesa"
"1660060","-108.56841487","39.05005216","1713"," "," "," ","Clymer","Way"," ",""," ","1713 Clymer Way ","Grand Junction","81503","Mesa"
"1660061","-108.56866714","39.04981303","1729"," "," "," ","Clymer","Way"," ",""," ","1729 Clymer Way ","Grand Junction","81503","Mesa"
"1660062","-108.56911091","39.04940628","1755"," "," "," ","Clymer","Way"," ",""," ","1755 Clymer Way ","Grand Junction","81503","Mesa"
"1660063","-108.56781435","39.05086296","1621"," "," "," ","Clymer","Way"," ",""," ","1621 Clymer Way ","Grand Junction","81503","Mesa"
"1660064","-108.56708265","39.05256153","1533"," "," "," ","High","Street"," ",""," ","1533 High Street ","Grand Junction","81503","Mesa"
"1660065","-108.56499331","39.05227725","498"," "," "," ","Grand Mesa","Avenue"," ",""," ","498 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660066","-108.56556867","39.05260854","402"," "," "," ","Grand Mesa","Avenue"," ",""," ","402 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660067","-108.56630921","39.05233345","360"," "," "," ","Grand Mesa","Avenue"," ",""," ","360 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660068","-108.56551034","39.05220582","444"," "," "," ","Grand Mesa","Avenue"," ",""," ","444 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660069","-108.56597322","39.05224754","412"," "," "," ","Grand Mesa","Avenue"," ",""," ","412 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660070","-108.56388315","39.05220209","560"," "," "," ","Grand Mesa","Avenue"," ",""," ","560 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660071","-108.56422869","39.05232174","550"," "," "," ","Grand Mesa","Avenue"," ",""," ","550 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660072","-108.56450707","39.0523586","540"," "," "," ","Grand Mesa","Avenue"," ",""," ","540 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660073","-108.56480492","39.05218019","538"," "," "," ","Grand Mesa","Avenue"," ",""," ","538 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660074","-108.56334467","39.05166916","605"," "," "," ","Grand Mesa","Avenue"," ",""," ","605 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660075","-108.56317841","39.05151559","625"," "," "," ","Grand Mesa","Avenue"," ",""," ","625 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660076","-108.56587083","39.05179394","1610"," "," "," ","Canon","Avenue"," ",""," ","1610 Canon Avenue ","Grand Junction","81503","Mesa"
"1660077","-108.56585463","39.05165798","1620"," "," "," ","Canon","Avenue"," ",""," ","1620 Canon Avenue ","Grand Junction","81503","Mesa"
"1660078","-108.56558354","39.05174136","425"," "," "," ","Grand Mesa","Avenue"," ",""," ","425 Grand Mesa Avenue ","Grand Junction","81503","Mesa"
"1660079","-108.5643726","39.04970903","1714"," "," "," ","Dolores","Street"," ",""," ","1714 Dolores Street ","Grand Junction","81503","Mesa"
